Vibhutis Vibhutis | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 5637 | align_1: 1-1 | align_2: 2-5 | ner_entity: Vibhutis-none |    The Vibhutis of the Lord , Siddhis and Riddhis are theirs though they do not want them . ||| Die Vibhutis ( Gnade ) des Herrn , Siddhis und Riddhis ( acht / vier okkulte Kräfte ) gehören ihnen , obwohl sie sie nicht begehren .

Riddhis Riddhis | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 5637 | align_1: 8-10 | align_2: 9-18 | ner_entity: Riddhis-Riddhis |    The Vibhutis of the Lord , Siddhis and Riddhis are theirs though they do not want them . ||| Die Vibhutis ( Gnade ) des Herrn , Siddhis und Riddhis ( acht / vier okkulte Kräfte ) gehören ihnen , obwohl sie sie nicht begehren .

Allaah Allaah | w_freq: 34 - 17 | wiki_freq: 28 - 0 | sentence_idx: 8059 | align_1: 6-0 | align_2: 7-5 | ner_entity: Allaah-Allaah |    If he were to swear by Allaah , Allaah would fulfill his oath . ||| Allaah ( ta ’ aala ) schwört auf Seine Geschöpfe nach Belieben .

Allaah Allaah | w_freq: 34 - 17 | wiki_freq: 28 - 0 | sentence_idx: 8059 | align_1: 8-0 | align_2: 9-6 | ner_entity: Allaah-Allaah |    If he were to swear by Allaah , Allaah would fulfill his oath . ||| Allaah ( ta ’ aala ) schwört auf Seine Geschöpfe nach Belieben .

al-Hadid:20 3:185 | w_freq: 2 - 11 | wiki_freq: 0 - 0 | sentence_idx: 12919 | align_1: 18-17 | align_2: 19-21 | ner_entity: al-Hadid:20-none |    Allah says , “ And the life of this world is only a deceiving enjoyment . ” [ al-Hadid:20 ] ||| Allah sagt : „ Und das diesseitige Leben ist nur trügerischer Genuß . “ ( Aal Imraan 3:185 , ungefähre Bedeutung ) .

al-Hadid:20 Imraan | w_freq: 2 - 2 | wiki_freq: 0 - 14 | sentence_idx: 12919 | align_1: 18-16 | align_2: 19-21 | ner_entity: al-Hadid:20-Aal Imraan |    Allah says , “ And the life of this world is only a deceiving enjoyment . ” [ al-Hadid:20 ] ||| Allah sagt : „ Und das diesseitige Leben ist nur trügerischer Genuß . “ ( Aal Imraan 3:185 , ungefähre Bedeutung ) .
