Allah Allah | w_freq: 1378 - 1180 | wiki_freq: 12189 - 1130 | sentence_idx: 9161 | align_1: 0-0 | align_2: 1-4 | entity: Allah - Allah |    Allah knows what we will do before we do it . ||| Allah ( swt ) weiß was wir machen werden bevor es geschieht . 

Vilnius Vilnius | w_freq: 15 - 13 | wiki_freq: 13386 - 7195 | sentence_idx: 100555 | align_1: 9-8 | align_2: 10-13 | entity: Vilnius - Vilnius |    “ There is no plan for how to evacuate Vilnius if an accident occurs . ||| „ Es gibt keinen Plan dafür , wie Vilnius evakuiert werden sollte , wenn ein Unfall passiert . 

Allah Allahs | w_freq: 1378 - 215 | wiki_freq: 12189 - 337 | sentence_idx: 115754 | align_1: 6-5 | align_2: 7-9 | entity: Allah - Allahs |    The Sultan is the Shadow of Allah on Earth . ||| Der Sultan ist der Schatten Allahs ( swt ) auf Erden . 

Allah Allah | w_freq: 1378 - 1180 | wiki_freq: 12189 - 1130 | sentence_idx: 169716 | align_1: 0-0 | align_2: 1-4 | entity: Allah - Allah |    Allah swore by time through the ages ||| Allah ( t ) schwört bei der Zeit . 

Bunyan Bunyan | w_freq: 5 - 5 | wiki_freq: 1841 - 159 | sentence_idx: 183528 | align_1: 1-1 | align_2: 2-11 | entity: John Bunyan - John Bunyan |    John Bunyan said , “ He who runs from God in the morning will scarcely find Him the rest of the day . ” ||| John Bunyan , der Autor der bekannten Pilgerreise , hat einmal gesagt : „ Wer morgens vor Gott wegläuft , wird Ihn den Rest des Tages kaum noch finden . “ 

Dollar Dollars | w_freq: 129 - 211 | wiki_freq: 10594 - 503 | sentence_idx: 219036 | align_1: 15-17 | align_2: 16-21 | entity: Dollar - Dollars |    Indeed , it is a curious phenomenon , but such is the power of the Dollar as one political analyst describes , ||| Es ist in der Tat ein seltsames Phänomen , aber so ist nun einmal die Macht des Dollars , der , wie ein politischer Analyst beschreibt , 

Agricole Agricole | w_freq: 5 - 5 | wiki_freq: 1027 - 415 | sentence_idx: 223502 | align_1: 9-10 | align_2: 10-15 | entity: Crédit Agricole - Crédit Agricole |    It was acquired by another French bank ( Crédit Agricole ) in 2003 . ||| Es war erworben von einer anderen französischen Bank ( Crédit Agricole ( Crédit Agricole ) ) 2003. 

Bunyan Bunyan | w_freq: 5 - 5 | wiki_freq: 1841 - 159 | sentence_idx: 242827 | align_1: 1-1 | align_2: 2-13 | entity: John Bunyan - John Bunyan |    John Bunyan said , “ He who runs from God in the morning will scarcely find Him the rest of the day . ” ||| John Bunyan , der Autor der bekannten „ Pilgerreise “ , hat einmal gesagt : „ Wer morgens vor Gott wegläuft , wird Ihn den Rest des Tages kaum noch finden . “ 

Weir Weir | w_freq: 8 - 6 | wiki_freq: 11014 - 1150 | sentence_idx: 250238 | align_1: 0-0 | align_2: 1-4 | entity: Weir - Weir |    Weir : Rodney , we need the shield up in 40 seconds or we ’re dead . ||| Weir ( über Funk ): Rodney , der Schild muss in vierzig Sekunden stehen , oder wir sind tot ! 

DeLorean DeLorean | w_freq: 11 - 8 | wiki_freq: 961 - 154 | sentence_idx: 470779 | align_1: 11-9 | align_2: 12-16 | entity: DeLorean - DeLorean |    And what might that do to Marty and the undamaged future DeLorean now in 1885 ? ||| Und was würde dann mit Marty und dem unbeschädigten DeLorean aus der Zukunft , der sich jetzt im Jahr 1885 befindet , geschehen ? 

Googlebot Googlebot | w_freq: 4 - 4 | wiki_freq: 33 - 17 | sentence_idx: 476004 | align_1: 7-6 | align_2: 8-11 | entity: Googlebot - Googlebot |    We are now ready to welcome Mr. Googlebot but he seems to be a little shy ... ||| Wir sind nun bereit , Mr. Googlebot willkommen zu heißen , doch er scheint ein wenig schüchtern zu sein ... 

Allah Allah | w_freq: 1378 - 1180 | wiki_freq: 12189 - 1130 | sentence_idx: 560552 | align_1: 0-0 | align_2: 1-6 | entity: Allah - Allah |    Allah says in the Quran when speaking of the story of Moses , ||| Allah ( Gebriesen sei ER ) sagt im Qur ’ an über Mose , Allahs Friede auf ihm : 

Astraea Astraea | w_freq: 2 - 4 | wiki_freq: 486 - 158 | sentence_idx: 568368 | align_1: 7-6 | align_2: 8-11 | entity: 5 Astraea - Astraea |    Fifteen years later , he found 5 Astraea , the first new asteroid in 38 years . ||| Fünfzehn Jahre später fand er 5 Astraea ( 5 Astraea ) , der erste neue Asteroid in 38 Jahren . 

