café Café | w_freq: 82 - 139 | wiki_freq: 10709 - 11741 | sentence_idx: 438 | align_1: 8-6 | align_2: 9-11 |    For instance , think of a small neighborhood café that you love . ||| Denken Sie beispielsweise an ein kleines Café in der Nachbarschaft , das sie lieben . 

justifies rechtfertigt | w_freq: 59 - 79 | wiki_freq: 1891 - 1067 | sentence_idx: 995 | align_1: 9-11 | align_2: 10-16 |    Benji Dunn : Oh , and I suppose that justifies bombing factories or bringing down civilian aircraft . ||| Benji Dunn : Oh , und ich nehme an , das rechtfertigt es , Fabriken zu bombardieren oder zivile Flugzeuge zu stürzen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 1889 | align_1: 0-0 | align_2: 1-4 |    Remember back in 2005 , when you used to buy CDs ? ||| Denken Sie daran , bereits im Jahr 2005 , als Sie verwendet , um CDs zu kaufen ? 

Painthall painthall | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 2491 | align_1: 9-8 | align_2: 10-13 |    They have set up a task force called Operation Painthall and are believed to be focusing the investigation on seven or eight crimes . ||| Sie haben eine task force namens " operation painthall " ins leben gerufen und sollen die ermittlungen auf sieben oder acht verbrechen konzentrieren . 

behave wagen | w_freq: 269 - 178 | wiki_freq: 8294 - 1771 | sentence_idx: 2630 | align_1: 5-6 | align_2: 6-13 |    How dare the American people behave as if they are independent and free ! ||| Wie können die amerikanischen Bürger es wagen , sich so zu verhalten , als ob sie unabhängig und frei wären ! 

Notice Beachten | w_freq: 98 - 420 | wiki_freq: 4779 - 65 | sentence_idx: 3520 | align_1: 0-0 | align_2: 1-4 |    Notice these two competing lines share only one common connection , Syria . ||| Beachten Sie , dass diese beiden konkurrierenden Linien nur eine einzige gemeinsame Verbindung miteinander teilen : Syrien . 

Remember Erinnere | w_freq: 1149 - 66 | wiki_freq: 9753 - 36 | sentence_idx: 3780 | align_1: 1-1 | align_2: 2-5 |    “ Remember that you are mortal , so seize the day ” ( Carpe diem ) . ||| " Erinnere dich daran , dass du sterblich bist , also nimm den Tag " ( Carpe diem ) . 

Asians Asiaten | w_freq: 69 - 63 | wiki_freq: 6413 - 6860 | sentence_idx: 3962 | align_1: 14-15 | align_2: 15-20 |    Yellen should have taken the gold deal offered to her last week by the Asians while she had the chance . ||| Yellen hätte das Gold-Angebot annehmen sollen , dass ihr in der letzten Woche von den Asiaten gemacht worden war , solange sie die Gelegenheit dazu hatte . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 4735 | align_1: 0-0 | align_2: 1-4 |    Remember that all you want to do here is just open the lines of communication with your ex-girlfriend . ||| Denken sie daran , dass alles , was sie hier tun wollen , ist nur öffnen sie die linien der kommunikation mit ihrer ex-freundin . 

please bitte | w_freq: 937 - 1151 | wiki_freq: 10803 - 1693 | sentence_idx: 5770 | align_1: 5-5 | align_2: 6-9 |    551 User not local ; please try ||| 551 Benutzer nicht lokal ; bitte [ Weiterleitungspfad ] versuchen 

enjoyment Nutzniesserei | w_freq: 150 - 2 | wiki_freq: 6917 - 0 | sentence_idx: 5918 | align_1: 15-9 | align_2: 16-13 |    Truly , this life of the world is nothing but a ( quick passing ) enjoyment , and verily , the hereafter that is the home that will remain forever . " ||| Dieses irdische Leben ist nur eine ( vorübergehende ) Nutzniesserei ( Versorgung ) ; Doch das Jenseits ist wahrlich der Ort ( wo man ewig bleiben wird ) , wo das Urteil gefällt wird “ . 

announce ankündigen | w_freq: 318 - 56 | wiki_freq: 14722 - 354 | sentence_idx: 6087 | align_1: 10-9 | align_2: 11-13 |    Together with the Linux Foundation , we are pleased to announce that this year 's Open Source Summit North America and Europe each will have their own database track . ||| Zusammen mit der Linux Foundation freuen wir uns , ankündigen zu dürfen , dass der diesjährige Open Source Summit North America und Europe jeweils einen eigenen Datenbank-Track haben wird . 

suppose Nehmen | w_freq: 197 - 569 | wiki_freq: 5598 - 469 | sentence_idx: 6319 | align_1: 2-0 | align_2: 3-5 |    Then further suppose that later that morning , the hundredth monkey learned to wash potatoes . ||| Nehmen wir weiter an , dass später an diesem Morgen der einhundertste Affe lernte , Kartoffeln zu waschen . 

Whence Woher | w_freq: 8 - 235 | wiki_freq: 146 - 529 | sentence_idx: 6479 | align_1: 0-0 | align_2: 1-4 |    Whence indeed , since all this happened before even the second interview with Moroni had taken place , and between three and four years before the translation of the Book of Mormon began . ||| Woher , in der Tat , da dies alles doch noch vor dem zweiten Interview mit Moroni geschah , und zwischen drei und vier Jahren , bevor die Übersetzung des Buches Mormon begann . 

reconcile Einklang | w_freq: 58 - 388 | wiki_freq: 11184 - 4275 | sentence_idx: 6599 | align_1: 6-7 | align_2: 7-11 |    “ How is it possible to reconcile what you have written with the teaching of the Church , with a tradition of the Church ? ” he said in the film . ||| " Wie ist es möglich , in Einklang zu bringen , was Sie mit der Lehre der Kirche geschrieben haben , mit einer Tradition der Kirche ? " , Sagte er in dem Film . 

pretending tust | w_freq: 42 - 260 | wiki_freq: 6763 - 122 | sentence_idx: 6749 | align_1: 15-15 | align_2: 16-20 |    You ’re taking activity from a place where it is regulated and taxed , and pretending its happening elsewhere . ||| Du nimmst aktivität von einem ort , wo es reguliert und besteuert wird , und tust so , als ob es woanders passiert . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 7202 | align_1: 0-0 | align_2: 1-4 |    Remember that Egypt is a 3rd world country , and has many poor people who think that all tourists are rich , no matter where they come from in the world ! ||| Denken Sie daran , dass ägypten ist ein Land der Dritten Welt , und hat viele Arme Leute , die denken , dass alle Touristen sind Reich , egal wo Sie herkommen in der Welt ! 

Carrie Carrie | w_freq: 62 - 36 | wiki_freq: 14505 - 1782 | sentence_idx: 7249 | align_1: 11-12 | align_2: 12-16 |    “ Every time you see her speaking , that ’s really Carrie speaking . ||| Jedes Mal , wenn man sie sprechen sieht , ist das wirklich Carrie , die da spricht . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 7454 | align_1: 0-0 | align_2: 1-5 |    Remember , even if we can not necessarily smell much , they can smell everything . ||| Denken Sie daran , dass , selbst wenn wir nicht unbedingt viel riechen können , sie alles riechen können . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 8084 | align_1: 0-0 | align_2: 1-4 |    Remember what we said about the interior being spartan ? ||| Denken Sie daran , was wir gesagt haben über das Innere ist spartanisch ? 

hominoid hominoide | w_freq: 1 - 1 | wiki_freq: 104 - 0 | sentence_idx: 8094 | align_1: 14-13 | align_2: 15-17 |    We are speaking here primarily of the inhabitants of the 12th Planet , whose hominoid form we have referred to as the Greek God form . ||| Wir sprechen hier primär von den Bewohnern des 12ten Planeten , auf deren hominoide ( menschenartige ) Form wir uns als die Form des Griechischen Gottes bezogen haben . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 8660 | align_1: 0-0 | align_2: 1-4 |    Remember if you ’re continuously producing useful information for other people to read , you ’re already in a minority . ||| Denken Sie daran , wenn Sie kontinuierlich produzieren nützliche Informationen für andere zu lesen , sind Sie bereits in einer Minderheit . 

delighted freue | w_freq: 288 - 565 | wiki_freq: 6960 - 346 | sentence_idx: 8822 | align_1: 3-2 | align_2: 4-6 |    " I am delighted that the high quality we offer in all our study programs is also reflected in this year 's Financial Times European Business School Ranking . ||| „ Ich freue mich sehr , dass die hohe Qualität , die wir in all unseren Studienprogrammen anbieten , sich auch im diesjährigen Financial Times European Business School Ranking widerspiegelt . 

greetings Grüße | w_freq: 59 - 47 | wiki_freq: 1769 - 467 | sentence_idx: 10300 | align_1: 18-16 | align_2: 19-20 |    " I would like to express two sentiments for my Muslim brothers and sisters : Firstly , my greetings as they celebrate the feast of sacrifice . ||| ›Ich möchte gegenüber meinen muslimischen Brüdern und Schwestern zwei Gefühle zum Ausdruck bringen : Zunächst meine Grüße an sie , während sie das Opferfest feiern . 

1348 1348 | w_freq: 5 - 5 | wiki_freq: 2231 - 2721 | sentence_idx: 10699 | align_1: 11-11 | align_2: 12-16 |    A report of the Medical Faculty of Paris prepared in October 1348 says : ||| Ein Bericht der Medizinischen Fakultät von Paris welcher im Oktober von 1348 vorbereitet worden war , sagt : 

acknowledges räumt | w_freq: 123 - 53 | wiki_freq: 7220 - 1301 | sentence_idx: 12668 | align_1: 1-1 | align_2: 2-5 |    James acknowledges some people say he ’s mentally ill , which he rejects . ||| James räumt ein , dass einige leute sagen , dass er psychisch krank ist , was er ablehnt . 

shortcomings Unzulänglichkeiten | w_freq: 123 - 31 | wiki_freq: 6041 - 927 | sentence_idx: 13567 | align_1: 4-4 | align_2: 5-10 |    But it has revealed shortcomings which are putting it in danger today . ||| Aber es hat auch Unzulänglichkeiten an den Tag gelegt , die es heute in Gefahr bringen . 

souls Seelen | w_freq: 507 - 499 | wiki_freq: 12467 - 4834 | sentence_idx: 13909 | align_1: 15-15 | align_2: 16-19 |    ... The same creator who names the stars also knows the names of the seven souls we mourn today . ||| Der gleiche Schöpfer , der die Sterne benennt , kennt auch die Namen der sieben Seelen , um die wir heute trauern . 

secrets Masturbationsgeheimnisse | w_freq: 464 - 1 | wiki_freq: 12646 - 0 | sentence_idx: 14194 | align_1: 6-6 | align_2: 7-11 |    ( Check out these five masturbation secrets you do n’t know about . ) ||| ( Sehen Sie sich diese fünf Masturbationsgeheimnisse an , von denen Sie nichts wissen . ) 

beware Achten | w_freq: 47 - 136 | wiki_freq: 717 - 556 | sentence_idx: 15191 | align_1: 2-0 | align_2: 3-5 |    So do beware that movies might suddenly disappear from the service . ||| Achten Sie also darauf , dass Filme plötzlich aus dem Dienst verschwinden können . 

salesman verkäufer | w_freq: 42 - 22 | wiki_freq: 9497 - 0 | sentence_idx: 15638 | align_1: 14-19 | align_2: 15-23 |    The second time I went back , Jack still was not there but another salesman I spoke to said I could get a 15 % refund when I talk to Jack . ||| Das zweite mal , als ich zurück ging , war jack immer noch nicht da , aber ein anderer verkäufer , mit dem ich gesprochen habe , sagte , dass ich eine rückerstattung von 15 % bekommen könnte , wenn ich mit jack rede . 

mindful denken | w_freq: 41 - 5370 | wiki_freq: 1521 - 6052 | sentence_idx: 16313 | align_1: 2-1 | align_2: 3-5 |    Please be mindful that there are several small animals here so there are some routines that we will show you for their safety . ||| Bitte denken Sie daran , dass es hier mehrere kleine Tiere gibt , so dass wir Ihnen einige Routinen zeigen , um Ihre Sicherheit zu gewährleisten . 

doubts bezweifelt | w_freq: 374 - 46 | wiki_freq: 12620 - 2388 | sentence_idx: 16354 | align_1: 1-1 | align_2: 2-5 |    Begalskaya doubts the situation can change anytime soon — according to her , society 's mentality should change first . ||| Begalskaya bezweifelt , dass sich die situation bald ändern kann - ihrer meinung nach sollte sich die mentalität der gesellschaft zuerst ändern . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 17044 | align_1: 0-0 | align_2: 1-4 |    Remember that you are taking care of two people – your baby and yourself . ||| Denken Sie daran , dass Sie auf zwei Personen aufpassen - Ihr Baby und Sie selbst . 

Skin haut | w_freq: 58 - 34 | wiki_freq: 9388 - 409 | sentence_idx: 17474 | align_1: 6-6 | align_2: 7-10 |    The role of mothers in The Skin I Live In is significantly larger and more important than in Mygale . ||| Die rolle der mütter in der haut , in der ich lebe , ist bedeutend größer und wichtiger als in mygale . 

guess raten | w_freq: 641 - 173 | wiki_freq: 8827 - 640 | sentence_idx: 17893 | align_1: 1-1 | align_2: 2-5 |    And guess what the Navy does . ||| Und raten Sie mal , was die Marine macht . 

deeds Taten | w_freq: 225 - 435 | wiki_freq: 11313 - 7864 | sentence_idx: 18212 | align_1: 11-10 | align_2: 12-15 |    What will they do to convert words and conclusions into the deeds that the European Union will need so badly in the future ? ||| Was werden sie tun , um Worten und Schlussfolgerungen jene Taten folgen zu lassen , die die Europäische Union in Zukunft so dringend benötigt ? 

Someone Jemand | w_freq: 414 - 387 | wiki_freq: 6575 - 506 | sentence_idx: 18943 | align_1: 0-0 | align_2: 1-4 |    Someone at this level of moral and intellectual development is not going to understand Ron Paul , much less support him . ||| Jemand , der sich auf dieser Ebene der moralischen und intellektuellen Entwicklung befindet , wird einen Ron Paul nicht verstehen und ihn noch weniger unterstützen . 

grills Grills | w_freq: 4 - 3 | wiki_freq: 1321 - 137 | sentence_idx: 19910 | align_1: 9-8 | align_2: 10-13 |    It ’s hard to directly compare it to other grills I ’ve used . ||| Es ist schwer , es direkt mit anderen Grills zu vergleichen , die ich verwendet habe . 

dared gewagt | w_freq: 86 - 55 | wiki_freq: 2947 - 955 | sentence_idx: 20227 | align_1: 8-8 | align_2: 9-12 |    Neither the Democrats nor Republicans have so far dared reveal what really happened in Benghazi . ||| Weder die Demokraten noch die Republikaner haben bisher gewagt , das zu enthüllen , was wirklich in Benghazi geschehen ist . 

cop Polizisten | w_freq: 28 - 181 | wiki_freq: 7018 - 13956 | sentence_idx: 21121 | align_1: 6-6 | align_2: 7-11 |    But yesterday Dr. Almore called a cop just because I looked at his house . ||| Aber gestern hat Dr. Almore einen Polizisten auf mich gehetzt , bloß weil ich auf sein Haus geschaut habe . 

smokers Raucher | w_freq: 120 - 120 | wiki_freq: 3058 - 774 | sentence_idx: 22063 | align_1: 3-3 | align_2: 4-7 |    Current and former smokers wondering if this test is right for them should talk with their doctor . ||| Aktuelle und ehemalige Raucher , die sich fragen , ob dieser Test für sie richtig ist , sollten mit ihrem Arzt sprechen . 

puzzle Puzzle | w_freq: 137 - 64 | wiki_freq: 13032 - 681 | sentence_idx: 22137 | align_1: 7-6 | align_2: 8-11 |    It ’s hard to imagine the whole puzzle when you ’ve only seen three pieces . ||| Es ist schwer , das ganze Puzzle , sich vorzustellen , wenn man nur drei Stücke gesehen haben . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 22528 | align_1: 0-0 | align_2: 1-4 |    Remember that there will always be a tomorrow for those who choose to preserve their capital today . ||| Denken Sie daran , dass es für diejenigen , die heute ihr Kapital bewahren wollen , immer ein Morgen geben wird . 

Consider Schauen | w_freq: 340 - 467 | wiki_freq: 6355 - 614 | sentence_idx: 22627 | align_1: 0-0 | align_2: 1-5 |    Consider what evolutionary researchers say about the following topics . * ||| Schauen wir uns an , was Evolutionsforscher zu den folgenden Themen sagen . * 

ruin stürzen | w_freq: 214 - 117 | wiki_freq: 13801 - 4146 | sentence_idx: 23043 | align_1: 22-25 | align_2: 23-31 |    We ca n’t democratise capitalism because more than ever it is a monstrous and destructive force which will drag the world to ruin unless we destroy it . ||| Wir können den Kapitalismus nicht demokratisieren , weil er mehr denn je eine monströse und zerstörerische Kraft ist , die die Welt in den Ruin stürzen wird , es sei denn , wir zerstören ihn . 

MondayMotivation MondayMotivation | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 23418 | align_1: 8-8 | align_2: 9-12 |    Our Ultimate Guy Search Finalists Are the # MondayMotivation You Did n't Know You Needed ||| Unsere Ultimate Guy Search Finalisten sind die # MondayMotivation , von der Sie nicht wussten , dass Sie sie brauchen 

nowhere nirgendwo | w_freq: 228 - 201 | wiki_freq: 10006 - 1233 | sentence_idx: 25599 | align_1: 4-5 | align_2: 5-10 |    They say there is nowhere like India and so this is true of this tropical paradise . ||| Sie sagen , dass es nirgendwo etwas Vergleichbares gibt , wie Indien und das ist die Wahrheit über dieses tropische Paradies . 

disagreement Meinungsverschiedenheit | w_freq: 70 - 28 | wiki_freq: 13984 - 345 | sentence_idx: 25613 | align_1: 9-9 | align_2: 10-14 |    We argue because our first instinct to solve a disagreement is to argue ! ||| Wir argumentieren , weil unser erster Instinkt , eine Meinungsverschiedenheit zu lösen , darin besteht , zu argumentieren ! 

wonder fragen | w_freq: 1132 - 3134 | wiki_freq: 10438 - 2859 | sentence_idx: 26738 | align_1: 2-1 | align_2: 3-5 |    You may wonder why it ’s better to find new casinos instead of choosing an internet operator already established in the market . ||| Sie fragen sich vielleicht , warum es besser ist , neue casinos zu finden , anstatt einen internet-betreiber zu wählen , der bereits auf dem markt etabliert ist . 

