Hades Hades | w_freq: 10 - 12 | wiki_freq: 3363 - 992 | sentence_idx: 63369 | align_1: 8-7 | align_2: 9-11 | entity: Hades - Hades |    And its rider 's name was Death and Hades followed him . " ) . ||| " Sein Name war Tod und der Hades ( Vergessenheit ) folgte ihm . 

Al-Haq Al-Haq | w_freq: 2 - 2 | wiki_freq: 128 - 14 | sentence_idx: 174715 | align_1: 11-10 | align_2: 12-15 | entity: Al-Haq - Al-Haq |    The following statistics were provided by Birzeit , Adalah , and Al-Haq to illustrate the extent to which this policy is affecting the university and its faculty : ||| » Die folgenden Statistiken wurden von Birzeit , Adalah und Al-Haq zur Verfügung gestellt , um zu veranschaulichen , in welchem Ausmaß diese Politik die Universität und ihre Fakultät betrifft : 

Thunberg Thunberg | w_freq: 17 - 13 | wiki_freq: 1179 - 666 | sentence_idx: 264246 | align_1: 23-21 | align_2: 24-26 | entity: Greta Thunberg - Greta Thunberg |    " Away from camera flashes we need to make sure that the enthusiasm that this Parliament showed today in the presence of Greta Thunberg remains and is transformed into real action . ||| „ Abseits der Blitzlichter müssen wir dafür sorgen , dass der Enthusiasmus , den dieses Parlament heute in Anwesenheit von Greta Thunberg gezeigt hat , erhalten bleibt und in echte Taten umgesetzt wird . 

Colosseum Kolosseum | w_freq: 24 - 23 | wiki_freq: 2094 - 424 | sentence_idx: 493709 | align_1: 6-5 | align_2: 7-10 | entity: Colosseum - Kolosseum |    You have n't truly seen the Colosseum unless you 've explored the tunnels beneath the amphitheatre . ||| Sie haben nicht wirklich das Kolosseum gesehen , es sei denn , Sie die Tunnel unterhalb des Amphitheaters erkundet haben . 

Peleg Peleg | w_freq: 4 - 4 | wiki_freq: 472 - 99 | sentence_idx: 498085 | align_1: 8-3 | align_2: 9-9 | entity: Peleg - Peleg |    The name of ha'echad , the one was Peleg , for in his days the earth was divided . ||| Der erste hieß Peleg - » Teilung « - , denn zu seinen Lebzeiten wurde das Land geteilt . 

Ishmael Ismael | w_freq: 7 - 8 | wiki_freq: 3118 - 1010 | sentence_idx: 591445 | align_1: 5-3 | align_2: 6-11 | entity: Ishmael - Ismael |    “ You will name him Ishmael , for the Lord has heard of your misery . ” ||| Den solle sie Ismael ( " Gott hört " ) nennen , " denn der HERR hat auf dein Elend gehört . " 

Bhakti Bhakti | w_freq: 5 - 6 | wiki_freq: 2081 - 204 | sentence_idx: 596470 | align_1: 8-9 | align_2: 9-13 | entity: Bhakti - Bhakti |    As with most things on the path of Bhakti , there are no prescribed rules as to how one should perform rituals , as each person has a unique and different relationship to God . ||| Wie bei den meisten Dingen auf dem Weg des Bhakti , der Hingabe , gibt keine vorgeschriebenen Regeln , wie man Rituale durchführen sollte , da jeder Mensch eine einzigartige und unterschiedliche Beziehung zu Gott hat . 

ESF ESF | w_freq: 36 - 23 | wiki_freq: 696 - 246 | sentence_idx: 730012 | align_1: 12-14 | align_2: 13-19 | entity: ESF - ESF |    It also serves as a forum for discussing issues relevant to the ESF between stakeholders in the different countries . ||| Er dient auch als Forum für die Erörterung von Fragen , die für den ESF von Bedeutung sind , zwischen den Akteuren in den verschiedenen Ländern . 

Midian Midians | w_freq: 7 - 1 | wiki_freq: 333 - 4 | sentence_idx: 850225 | align_1: 39-37 | align_2: 40-45 | entity: Midian - Midians |    And if they reject thee , already before them did the people of Noah and ‘ Ad and Thamud reject ( prophets ) , And the people of Abraham and the people of Lot , And the dwellers of Midian . ||| Und wenn sie dich der Lüge zeihen , so hat schon vor ihnen das Volk Noahs und Ads und Thamuds ( 43. ) und das Volk Abrahams und das Volk Lots ( 44. ) und die Bewohner Midians ( ihre Propheten ) der Lüge geziehen . 

Lampedusa Lampedusa | w_freq: 27 - 26 | wiki_freq: 524 - 485 | sentence_idx: 872267 | align_1: 9-10 | align_2: 10-14 | entity: Lampedusa - Lampedusa |    We currently have 100 activists from 20 countries on Lampedusa monitoring how many people die every year . ||| Wir sind momentan mit 100 Aktivisten aus 20 Ländern auf Lampedusa , um darauf hinzuweisen , wie viele Menschen jedes Jahr sterben . 

Jaisalmer Jaisalmer | w_freq: 2 - 3 | wiki_freq: 842 - 88 | sentence_idx: 935922 | align_1: 8-8 | align_2: 9-13 | entity: Jaisalmer - Jaisalmer |    There are two other airports in Kota and Jaisalmer , but are not open for commercial / civilian flights . ||| Es gibt zwei andere Flughäfen in Kota und Jaisalmer ( Jaisalmer Flughafen ) , aber ist für kommerzielle / zivile Flüge noch nicht offen . 

Blueprint Blueprint | w_freq: 15 - 16 | wiki_freq: 1688 - 194 | sentence_idx: 943807 | align_1: 9-7 | align_2: 10-12 | entity: Blueprint - Blueprint |    That 's why , in 2015 , we launched Blueprint – a free global education and certification programme , available in 15 languages . ||| Deshalb haben wir 2015 das Projekt „ Blueprint “ ins Leben gerufen – ein kostenloses und globales Bildungs- und Zertifizierungsprogramm , das in 15 Sprachen verfügbar ist . 

Gor Gor | w_freq: 26 - 21 | wiki_freq: 1212 - 216 | sentence_idx: 989290 | align_1: 10-9 | align_2: 11-14 | entity: Gor - Gor |    We must also consider the barbarian cultures outside of civilized Gor as they do not have a caste system . ||| Wir müssen auch die barbarischen Kulturen außerhalb des zivilisierten Gor in Betracht ziehen , da sie ebenfalls kein Kasten-System besitzen . 

Gaia Gaia | w_freq: 207 - 167 | wiki_freq: 4660 - 1629 | sentence_idx: 994645 | align_1: 4-3 | align_2: 5-8 | entity: Gaia - Gaia |    What is happening on Gaia is indeed a miracle . ||| Was da auf Gaia vor sich geht , ist in der Tat ein Wunder . 

