Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?

Saqar Saqar | w_freq: 6 - 7 | wiki_freq: 30 - 1 | sentence_idx: 10297 | align_1: 7-8 | align_2: 8-17 | ner_entity: Saqar-Saqar |    And what can let you know What Saqar is ? ||| „ Und wie kannst du wissen , was Saqar ( ein anderer Name für die Hölle ) ist ?

Xiongnu-Qiang Xiongnu-Qiang | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 16066 | align_1: 4-4 | align_2: 5-9 | ner_entity: Xiongnu-Qiang-Xiongnu-Qiang |    They repelled a joint Xiongnu-Qiang invasion of this northwestern territory in 111 BCE . ||| Sie trieben einen gemeinsamen Xiongnu-Qiang ( Qiang Leute ) Invasion dieses nordwestlichen Territoriums in 111 BCE zurück .

L’Informale L'Informale | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 17048 | align_1: 5-4 | align_2: 6-9 | ner_entity: L’Informale-none |    Q : It seems to L’Informale that these changes swept away old paradigms , changing the landscape of the Arab-Israeli conflict and offering Israel its best opportunity . ||| F : Es scheint L'Informale so zu sein , dass diese Veränderungen alte Paradigmen wegfegten , was die Landschaft des arabisch-israelischen Konflikts verändert und Israel seine günstigste Gelegenheit bietet .

Terrors Terror | w_freq: 4 - 276 | wiki_freq: 543 - 4817 | sentence_idx: 17902 | align_1: 1-1 | align_2: 2-6 | ner_entity: New Terrors-Neuer Terror |    New Terrors ( Published in US as two separate volumes , New Terrors 1 and New Terrors 2 ) ( 1980 ) ||| Neuer Terror ( Neuer Terror ) ( Veröffentlicht in den Vereinigten Staaten als zwei getrennte Volumina , Neuer Terror 1 und Neuer Terror 2 ) ( 1980 )

Spezia Spezia | w_freq: 4 - 5 | wiki_freq: 2733 - 1494 | sentence_idx: 22802 | align_1: 13-11 | align_2: 14-16 | ner_entity: La Spezia-La Spezia |    In July 1897 , he carried out a series of tests at La Spezia in his home country , for the Italian government . ||| Im Juli 1897 führte er eine Reihe von Tests an La Spezia ( La Spezia ) in seinem Heimatland für die italienische Regierung aus .

Passover Adha | w_freq: 19 - 1 | wiki_freq: 3664 - 4 | sentence_idx: 26052 | align_1: 11-17 | align_2: 12-22 | ner_entity: none-Adha |    The Lord said to Moses and Aaron : This is the Passover statute . ||| Und der Herr sprach zu Musa ( Moses ) und Aaron : " Dies ist die Weise Adha ( Passah ) zu halten .

McCudden McCudden | w_freq: 1 - 2 | wiki_freq: 244 - 19 | sentence_idx: 32710 | align_1: 5-5 | align_2: 6-10 | ner_entity: James McCudden-James McCudden |    A typical example is James McCudden 's grave , though there are many others . ||| Ein typisches Beispiel ist James McCudden ( James McCudden ) 's Grab , obwohl es viele andere gibt .

Baidoun Baidoun | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 35510 | align_1: 2-4 | align_2: 3-8 | ner_entity: Baidoun-Baidoun |    A decision Baidoun says she ’ll regret for a long time . ||| Eine Entscheidung , die Baidoun getroffen hat , besagt , dass sie es für lange Zeit bereuen wird .

Peronist Peronist | w_freq: 3 - 1 | wiki_freq: 1138 - 18 | sentence_idx: 38404 | align_1: 2-2 | align_2: 3-6 | ner_entity: Peronist-Peronist |    His namesake Peronist movement , to the present day a struggle of ideologically diverse and competing interests , remains the central political development of Argentina since 1945 . ||| Sein Namensvetter Peronist ( Peronism ) Bewegung , zu heutiger Tag Kampf ideologisch verschiedene und konkurrierende Interessen , bleibt politische Hauptentwicklung Argentinien seit 1945.

Daimler Daimler | w_freq: 75 - 64 | wiki_freq: 4540 - 3443 | sentence_idx: 44675 | align_1: 4-3 | align_2: 5-8 | ner_entity: Daimler-Daimler |    This situation has moved Daimler to develop a new standard – MBN 10544 . ||| Diesen Fakt hat Daimler zum Gegenstand genommen , um eine neue Norm – MBN 10544 – zu entwickeln .

BELVUE BELVUE | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 46102 | align_1: 0-0 | align_2: 1-4 | ner_entity: BELVUE-BELVUE |    BELVUE Slow Breakfast : you only pay for what you eat . ||| BELVUE “ SLOW ” Frühstück : Sie zahlen nur für das was SIE essen .

Telegram telegram | w_freq: 49 - 7 | wiki_freq: 3264 - 7 | sentence_idx: 53149 | align_1: 5-5 | align_2: 6-9 | ner_entity: Telegram-telegram |    1 reason for me to Telegram was to build a means of communication that ca n’t be accessed by the Russian security agencies . ||| Ein grund für mich , telegram zu starten , war der aufbau eines kommunikationsmittels , auf das die russischen sicherheitsbehörden nicht zugreifen können .

prednisone Prednison | w_freq: 9 - 11 | wiki_freq: 406 - 113 | sentence_idx: 57996 | align_1: 4-3 | align_2: 5-8 | ner_entity: none-Prednison |    Could it be the prednisone I 'm on for my stupid asthma , the same medication I 'm pretty sure is responsible for me catching yet another cold ? ||| Könnte es das Prednison sein , in dem ich für mein dummes Asthma bin , das gleiche Medikament , von dem ich ziemlich sicher bin , dass es für mich verantwortlich ist , dass ich noch einmal erkältet bin ?

Joacim Joacim | w_freq: 1 - 1 | wiki_freq: 177 - 76 | sentence_idx: 58719 | align_1: 5-8 | align_2: 6-12 | ner_entity: Joacim-Joacim |    “ It all started with Joacim suggesting we should try to write a song together with our long time producer James Michael . ||| " Es fing alles damit an , dass Joacim ( v. ) vorschlug , wir sollten mal versuchen , einen Song mit unserem langjährigen Produzenten James Michael zusammen zu schreiben .

