Penny Penny | w_freq: 50 - 111 | wiki_freq: 14299 - 2199 | sentence_idx: 8365 | align_1: 8-8 | align_2: 9-12 | entity: Penny - Penny |    ‘ I ’m really close with her mum Penny , but that ’s it . ||| „ Ich bin wirklich nah mit ihrer Mutter Penny [ Adkins ] , aber das ist es . 

Goldman Goldman | w_freq: 68 - 65 | wiki_freq: 13785 - 1956 | sentence_idx: 21234 | align_1: 10-8 | align_2: 11-13 | entity: Emma Goldman - Emma Goldman |    Discussion groups organised by the Villagers were frequented by Emma Goldman , among others . ||| Von den Dorfbewohnern organisierte Diskussionsgruppen wurden von Emma Goldman ( Emma Goldman ) , unter anderen oft besucht . 

McCudden McCudden | w_freq: 1 - 2 | wiki_freq: 244 - 19 | sentence_idx: 32710 | align_1: 5-5 | align_2: 6-10 | entity: James McCudden - James McCudden |    A typical example is James McCudden 's grave , though there are many others . ||| Ein typisches Beispiel ist James McCudden ( James McCudden ) 's Grab , obwohl es viele andere gibt . 

Goldman Goldman | w_freq: 68 - 65 | wiki_freq: 13785 - 1956 | sentence_idx: 48754 | align_1: 10-8 | align_2: 11-13 | entity: Emma Goldman - Emma Goldman |    Discussion groups organised by the Villagers were frequented by Emma   Goldman , among others . ||| Von den Dorfbewohnern organisierte Diskussionsgruppen wurden von Emma Goldman ( Emma Goldman ) , unter anderen oft besucht . 

Hades Hades | w_freq: 10 - 12 | wiki_freq: 3363 - 992 | sentence_idx: 63369 | align_1: 8-7 | align_2: 9-11 | entity: Hades - Hades |    And its rider 's name was Death and Hades followed him . " ) . ||| " Sein Name war Tod und der Hades ( Vergessenheit ) folgte ihm . 

Guadeloupe Guadeloupe | w_freq: 5 - 6 | wiki_freq: 6254 - 1314 | sentence_idx: 66825 | align_1: 6-5 | align_2: 7-10 | entity: Guadeloupe - Guadeloupe |    It is also felt in neighboring Guadeloupe , where one person is killed . ||| Es wird auch im benachbarten Guadeloupe ( Guadeloupe ) gefühlt , wo eine Person getötet wird . 

Allah Allahs | w_freq: 728 - 112 | wiki_freq: 12189 - 337 | sentence_idx: 72687 | align_1: 15-12 | align_2: 16-16 | entity: Allah - Allahs |    106And the others , they are the ones who are left to the command of Allah . ||| 106 Und ( wieder ) andere werden zurückgestellt , bis die Anordnung Allahs ( ergeht ) . 

Response Response | w_freq: 83 - 39 | wiki_freq: 13554 - 1026 | sentence_idx: 86305 | align_1: 12-11 | align_2: 13-17 | entity: Cold Response - Cold Response |    Norway is hosting Europe ’s biggest annual military exercise codenamed ‘ Cold Response ’ . ||| Norwegen veranstaltet Europas größte jährliche Militärübung unter dem Namen „ Cold Response “ - „ Kalte Antwort “ . 

Casadesus Casadesus | w_freq: 2 - 3 | wiki_freq: 295 - 159 | sentence_idx: 117702 | align_1: 12-13 | align_2: 13-18 | entity: Marius Casadesus - Marius Casadesus |    It was later discovered that Casadesus and his brothers , notably Marius Casadesus , wrote these works . ||| Es war später entdeckt , dass Casadesus und seine Brüder , namentlich Marius Casadesus ( Marius Casadesus ) , diese Arbeiten schrieben . 

Allah Allah | w_freq: 728 - 635 | wiki_freq: 12189 - 1130 | sentence_idx: 132156 | align_1: 1-0 | align_2: 2-4 | entity: Allah - Allah |    And Allah said : “ Thus and We caused the Children of Israel to inherit them ” ( 26 : 59 ) . ||| Allah -erhaben ist Er- sagte : „ Und Wir ließen die Kinder lsra ´ ils das Meer durchschreiten . 

Boniperti Boniperti | w_freq: 1 - 2 | wiki_freq: 89 - 39 | sentence_idx: 170026 | align_1: 26-29 | align_2: 27-34 | entity: Giampiero Boniperti - Giampiero Boniperti |    His phone calls , every morning at 6 am , from wherever he was , whatever was he doing , to the club 's president Giampiero Boniperti , were legendary . ||| Seine Anrufe , jeden Morgen um 6:00 Uhr , von wo auch immer er war , was auch immer war er das Tun , zu Präsident des Klubs Giampiero Boniperti ( Giampiero Boniperti ) , waren legendär . 

Al-Haq Al-Haq | w_freq: 2 - 2 | wiki_freq: 128 - 14 | sentence_idx: 174715 | align_1: 11-10 | align_2: 12-15 | entity: Al-Haq - Al-Haq |    The following statistics were provided by Birzeit , Adalah , and Al-Haq to illustrate the extent to which this policy is affecting the university and its faculty : ||| » Die folgenden Statistiken wurden von Birzeit , Adalah und Al-Haq zur Verfügung gestellt , um zu veranschaulichen , in welchem Ausmaß diese Politik die Universität und ihre Fakultät betrifft : 

Thunberg Thunberg | w_freq: 17 - 13 | wiki_freq: 1179 - 666 | sentence_idx: 264246 | align_1: 23-21 | align_2: 24-26 | entity: Greta Thunberg - Greta Thunberg |    " Away from camera flashes we need to make sure that the enthusiasm that this Parliament showed today in the presence of Greta Thunberg remains and is transformed into real action . ||| „ Abseits der Blitzlichter müssen wir dafür sorgen , dass der Enthusiasmus , den dieses Parlament heute in Anwesenheit von Greta Thunberg gezeigt hat , erhalten bleibt und in echte Taten umgesetzt wird . 

Allah Allah | w_freq: 728 - 635 | wiki_freq: 12189 - 1130 | sentence_idx: 284278 | align_1: 4-0 | align_2: 5-16 | entity: Allah - Allah |    Therefore , Moses is Allah . ||| Allah ist Er (= El oder Al ) , der Gott ( ilah ) = Moses . 

Ponte Ponte | w_freq: 4 - 4 | wiki_freq: 5337 - 3984 | sentence_idx: 293206 | align_1: 12-8 | align_2: 13-14 | entity: Carla Del Ponte - Carla Del Ponte |    Altogether , more than 11,000 deaths have been reported to Carla Del Ponte by her prosecutors . ||| Zusammen sind mehr als 11.000 Todesfälle Carla Del Ponte ( Carla Del Ponte ) von ihren Anklägern berichtet worden . 

Unicode Unicode | w_freq: 13 - 13 | wiki_freq: 8526 - 1604 | sentence_idx: 479104 | align_1: 21-17 | align_2: 22-23 | entity: Unicode - Unicode |    It is extremely difficult to render the full Qur’an , with all the points , in computer code , such as Unicode . ||| Es ist äußerst schwierig , den vollen Quran , mit allen Punkten , im Computercode , wie Unicode ( Unicode ) zu machen . 

Colosseum Kolosseum | w_freq: 24 - 23 | wiki_freq: 2094 - 424 | sentence_idx: 493709 | align_1: 6-5 | align_2: 7-10 | entity: Colosseum - Kolosseum |    You have n't truly seen the Colosseum unless you 've explored the tunnels beneath the amphitheatre . ||| Sie haben nicht wirklich das Kolosseum gesehen , es sei denn , Sie die Tunnel unterhalb des Amphitheaters erkundet haben . 

Scientists Scientists | w_freq: 262 - 20 | wiki_freq: 9644 - 469 | sentence_idx: 495344 | align_1: 4-4 | align_2: 5-10 | entity: Federation of American Scientists - Federation of American Scientists |    The Federation of American Scientists , learn more about them here , here and here . ||| The Federation of American Scientists ( Vereinigung Amerikanischer Wissenschaftler ) – mehr über sie erfahrt hier , hier und hier . 

Peleg Peleg | w_freq: 4 - 4 | wiki_freq: 472 - 99 | sentence_idx: 498085 | align_1: 8-3 | align_2: 9-9 | entity: Peleg - Peleg |    The name of ha'echad , the one was Peleg , for in his days the earth was divided . ||| Der erste hieß Peleg - » Teilung « - , denn zu seinen Lebzeiten wurde das Land geteilt . 

Win Win | w_freq: 105 - 29 | wiki_freq: 10035 - 912 | sentence_idx: 500854 | align_1: 3-4 | align_2: 4-9 | entity: Ne Win - Ne Win |    During Gen. Ne Win ’s isolationist rule ( 1962–1988 ) , the city ’s infrastructure deteriorated . ||| Während des Generals Ne Win ( Ne Gewinn ) 's isolationistische Regel ( 1962 - 1988 ) verschlechterte sich die Infrastruktur der Stadt . 

Assagioli Assagioli | w_freq: 5 - 5 | wiki_freq: 91 - 37 | sentence_idx: 522228 | align_1: 13-12 | align_2: 14-20 | entity: Roberto Assagioli - Roberto Assagioli |    * [ WEB The Will Project ] was a project proposed by Roberto Assagioli to explore all aspects and manifestations of the Will . ||| [ WEB war Das Wille-Projekt ] ein Projekt , das von Roberto Assagioli ( Roberto Assagioli ) vorgeschlagen ist , um alle Aspekte und Manifestationen des Willens zu erforschen . 

