67:6 67,6 | w_freq: 1 - 1 | wiki_freq: 0 - 145 | sentence_idx: 41 | align_1: 0-0 | align_2: 1-4 |    67:6 And for those who disbelieve in their Lord there is the doom of hell , a hapless journey 's end ! ||| 67,6 - 7 : Und für diejenigen , die ihren Herrn verleugnen , wird es die Strafe der Hölle geben – ein schlimmer Ausgang ! 

sage Weisen | w_freq: 15 - 106 | wiki_freq: 7104 - 4120 | sentence_idx: 692 | align_1: 7-7 | align_2: 8-12 |    Did you know there 's an inner sage waiting to tell you why you 're feeling sad ? ||| Wusstest du , dass du einen inneren Weisen hast , der darauf wartet , dir zu sagen , warum du betrübt und traurig bist ? 

unionists Gewerkschafter | w_freq: 16 - 14 | wiki_freq: 2829 - 3044 | sentence_idx: 775 | align_1: 14-13 | align_2: 15-17 |    This year ’s report again records an extensive list of violations suffered by trade unionists struggling to defend workers ’ interests , this time in 140 countries . ||| Der Bericht für dieses Jahr verzeichnet erneut eine umfassende Liste von Übergriffen auf Gewerkschafter , die einen Kampf um die Verteidigung der Interessen von Beschäftigten führen , diesmal in 140 Ländern . 

Phenomena Naturphänomene | w_freq: 5 - 10 | wiki_freq: 1030 - 175 | sentence_idx: 1304 | align_1: 6-3 | align_2: 7-7 |    10 of the Most Incredible Natural Phenomena to See Before You Die ( or They ’re Gone ) ||| 10 der unglaublichsten Naturphänomene , die es zu sehen gibt , bevor man stirbt ( oder sie gehen … 

outfits Outfits | w_freq: 61 - 50 | wiki_freq: 7120 - 431 | sentence_idx: 1436 | align_1: 23-22 | align_2: 24-27 |    You need to make sure it is large enough for your use ; many people use this mirror to check out their full outfits before they leave for the day so the bigger , the better ! ||| Sie müssen sicherstellen , dass es groß genug für Ihren Gebrauch ist ; viele Leute benutzen diesen Spiegel , um ihre vollen Outfits heraus zu überprüfen , bevor sie für den Tag verlassen , also das größere , das bessere ! 

Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 1636 | align_1: 7-5 | align_2: 8-9 |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 ! 

FEDS FEDS | w_freq: 2 - 2 | wiki_freq: 18 - 0 | sentence_idx: 2063 | align_1: 21-20 | align_2: 22-24 |    We had received much information from various groups that they were real , but we did not have anything from the FEDS stating as such ( FRB ) . ||| Wir hatten viele Informationen von unterschiedlichen Gruppen bekommen , dass sie echt waren , aber wir hatten nichts von den FEDS , als die Erklärung als solche ( FRB ) .. 

non-Deuteronomic non-Deuteronomic | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 3396 | align_1: 14-14 | align_2: 15-21 |    1 - 43 , 48 - 52 , xxxiv . must be separated as non-Deuteronomic . ||| 1 - 43 , 48 - 52 , XXXIV . must be separated as non-Deuteronomic . müssen getrennt werden als Nicht-Deuteronomic . 

Remember Erinnert | w_freq: 921 - 69 | wiki_freq: 9753 - 103 | sentence_idx: 3461 | align_1: 0-0 | align_2: 1-4 |    Remember that your current physical incarnation , which appears so important to you , is a mere fraction of your SELF and less than a millisecond of Gaia ’s ‘ time . ’ ||| Erinnert euch daran , dass eure gegenwärtige physische Inkarnation , die so wichtig für euch aussieht , ein reiner Bruchteil von eurem SELBST und weniger als eine Milli-Sekunde der „ Zeit “ Gaias ist . 

Remember Erinnert | w_freq: 921 - 69 | wiki_freq: 9753 - 103 | sentence_idx: 3462 | align_1: 0-0 | align_2: 1-4 |    Remember that your current physical incarnation , which appears so important to you , is a mere fraction of your SELF and less than a millisecond of Gaia ’s ‘ time . ’ ||| Erinnert euch daran , dass eure gegenwärtige physische Inkarnation , die so wichtig für euch aussieht , ein reiner Bruchteil von eurem SELBST und weniger als eine Milli-Sekunde der " Zeit " Gaias ist . 

cakes Kuchen | w_freq: 29 - 157 | wiki_freq: 5725 - 2151 | sentence_idx: 3529 | align_1: 6-5 | align_2: 7-10 |    It ’s definitely an area sugar-free cakes that we still want to add and develop more products . ” ||| Es ist definitiv ein zuckerfreier Kuchen aus der Gegend , den wir noch hinzufügen und weitere Produkte entwickeln wollen . “ 

snipe verbogen | w_freq: 3 - 1 | wiki_freq: 1327 - 406 | sentence_idx: 3731 | align_1: 7-6 | align_2: 8-12 |    They deny and resent and begrudge and snipe . ||| Da wird gelogen , gehetzt und verbogen , was die Lügen hergeben . 

Remember Denken | w_freq: 921 - 1820 | wiki_freq: 9753 - 11243 | sentence_idx: 3932 | align_1: 0-0 | align_2: 1-4 |    Remember that you can not do things the same , or not can ten pounds and am almost worn ||| Denken Sie daran , dass Sie nicht Dinge das gleiche tun kann , oder nicht , kann zehn Pfund und bin fast verschlissen 

sins Verfehlungen | w_freq: 339 - 13 | wiki_freq: 8639 - 1127 | sentence_idx: 4604 | align_1: 10-8 | align_2: 11-14 |    Now will he remember their iniquity , and visit their sins : they shall return to Egypt . ||| Jetzt gedenkt Er ihrer Vergehungen und sucht ihre Verfehlungen heim ( und zwar so ): Sie , ja sie werden nach Ägypten zurückkehren . 

CBD CBD | w_freq: 326 - 238 | wiki_freq: 7202 - 348 | sentence_idx: 5712 | align_1: 5-4 | align_2: 6-8 |    What ’s possibly dangerous about CBD is that it takes full control of this enzyme and requires all of its attention . ||| Was möglicherweise gefährlich an CBD sein könnte , ist , dass es die volle Kontrolle über dieses Enzym übernimmt und seine ganze Aufmerksamkeit benötigt . 

underscore glossary | w_freq: 27 - 1 | wiki_freq: 1405 - 5 | sentence_idx: 6176 | align_1: 5-5 | align_2: 6-10 |    They are followed by an underscore , then the name . ||| Dem folgt ein [ [ glossary : Identifier ] ] , also der Name . 

lotteries Lotterien | w_freq: 43 - 41 | wiki_freq: 1349 - 401 | sentence_idx: 6457 | align_1: 11-11 | align_2: 12-16 |    Later on ( and even today ) , Americans used statewide lotteries to finance educational infrastructure . ||| Die Amerikaner verwendeten später ( und verwenden sogar noch heute ) Lotterien im ganzen Staat , um die erzieherische Infrastruktur zu finanzieren . 

complain beschweren | w_freq: 241 - 157 | wiki_freq: 5283 - 507 | sentence_idx: 6503 | align_1: 8-8 | align_2: 9-12 |    We import condoms from China and some men complain they are too small . ” ... ||| Wir importieren Kondome aus China und einige Männer beschweren sich , dass sie zu klein sind . “ 

forget vergessen | w_freq: 1729 - 2021 | wiki_freq: 12667 - 8668 | sentence_idx: 6715 | align_1: 22-18 | align_2: 23-23 |    My take on this is that there may be a lot of kids at BHS who do drugs , but do n't forget we have what , about 4,000 students , and the percentage of total students into drugs is probably no higher than in other places . ||| Ich nehme an , dass es viele kinder an der bhs gibt , die drogen nehmen , aber vergessen wir nicht , dass wir was haben , ungefähr 4000 studenten , und der prozentsatz der gesamten studenten in drogen ist wahrscheinlich nicht höher als an anderen orten . 

Practices Alphabetisierungspraktiken | w_freq: 47 - 2 | wiki_freq: 5396 - 0 | sentence_idx: 8594 | align_1: 6-4 | align_2: 7-8 |    What Does n't Work : Literacy Practices We Should Abandon ||| Was nicht funktioniert : Alphabetisierungspraktiken , auf die wir verzichten sollten 

Specify Geben | w_freq: 7 - 268 | wiki_freq: 32 - 549 | sentence_idx: 9534 | align_1: 0-0 | align_2: 1-4 |    Specify how many servers ( here : nodes ) should be connected via the cloud . ||| Geben Sie an , wie viele Server ( hier : nodes ) über die Cloud verbunden werden sollen . 

Remembering Denken | w_freq: 27 - 1820 | wiki_freq: 1779 - 11243 | sentence_idx: 10138 | align_1: 0-0 | align_2: 1-4 |    Remembering that some of these can vary between Mountain Bike variants , let ’s now see the most common protective gear : ||| Denken Sie daran , dass einige von diesen können variieren zwischen Mountain Bike-Varianten , lasst uns jetzt die häufigste Schutzausrüstung sehen : 

Remember Denken | w_freq: 921 - 1820 | wiki_freq: 9753 - 11243 | sentence_idx: 10795 | align_1: 0-0 | align_2: 1-4 |    Remember that sex toys are n’t made for certain kinds of people ; they ’re made to stimulate nerve endings . ||| Denken Sie daran , dass Sexspielzeug nicht für bestimmte Arten von Menschen gemacht sind ; sie sind gemacht , um Nervenenden zu stimulieren . 

presume nehme | w_freq: 38 - 405 | wiki_freq: 1181 - 1825 | sentence_idx: 11102 | align_1: 8-7 | align_2: 9-11 |    I am not an expert , but I presume plastic can be cheaper to manufacture ... ||| Ich bin kein Experte , aber ich nehme an , dass Kunststoff billiger in der Herstellung sein kann ... 

Remember Denken | w_freq: 921 - 1820 | wiki_freq: 9753 - 11243 | sentence_idx: 11114 | align_1: 0-0 | align_2: 1-4 |    Remember that your Fundamental Human Rights include the right to set your own priorities , the right to say “ no ” without feeling guilty , and the right to choose your own happy and healthy life . ||| Denken sie daran , dass ihre grundlegenden menschenrechte das recht , ihre eigenen prioritäten zu setzen , das recht , " nein " zu sagen , ohne sich schuldig zu fühlen , und das recht , ihr eigenes glückliches und gesundes leben zu wählen , gehören . 

sins Sünden | w_freq: 339 - 291 | wiki_freq: 8639 - 2147 | sentence_idx: 11126 | align_1: 11-14 | align_2: 12-18 |    I want to be Muslim but I know there are some sins I can not stop doing . ||| 7. Ich möchte Muslim werden , aber ich weiß , es gibt ein paar Sünden , mit denen ich nicht aufhören kann . 

vowing schwören | w_freq: 3 - 72 | wiki_freq: 2060 - 1308 | sentence_idx: 12527 | align_1: 3-1 | align_2: 4-6 |    Both of them vowing to meet again when the time is right , staying single and unmarried for 50 years until Setsuna finally returned to her ? ||| Beide schwören sich , sich wieder zu treffen , wenn die zeit gekommen ist , bleiben single und unverheiratet für 50 jahre , bis setsuna schließlich zu ihr zurückkehrt . 

Remember Erinnern | w_freq: 921 - 158 | wiki_freq: 9753 - 488 | sentence_idx: 12894 | align_1: 12-13 | align_2: 13-17 |    And that 's really important , because here 's another thing : Remember how we were talking about the operating system only being able to concentrate on one thing at a time ? ||| Und das ist wirklich wichtig , denn hier ist noch eine Sache : Erinnern Sie sich , wie wir darüber gesprochen haben , dass das Betriebssystem sich nur auf eine Sache gleichzeitig konzentrieren kann ? 

Guess Raten | w_freq: 31 - 57 | wiki_freq: 2796 - 1118 | sentence_idx: 13450 | align_1: 0-0 | align_2: 1-4 |    Guess it means you are just as big of a fan of watching free porn in high definition as we are . ||| Raten sie mal , es bedeutet , dass sie genauso groß von einem fan sind , kostenlose pornos in high definition zu beobachten , wie wir sind . 

spiritually spirituell | w_freq: 103 - 106 | wiki_freq: 3204 - 495 | sentence_idx: 15000 | align_1: 7-5 | align_2: 8-10 |    It is not a matter of repeating spiritually what others have done before us , for our adventure begins beyond that . ||| Es geht nicht darum , spirituell das zu wiederholen , was andere vor uns getan haben , denn unser Abenteuer beginnt jenseits dessen . 

HealthCare.gov HealthCare.gov | w_freq: 2 - 2 | wiki_freq: 94 - 0 | sentence_idx: 15299 | align_1: 7-6 | align_2: 8-11 |    “ They ’ve also provided tools at HealthCare.gov to inform patients of their insurance and cost assistance options and prepare them to enroll in a plan beginning in 2014 . ||| " Sie haben auch Tools bei HealthCare.gov zur Verfügung gestellt , um Patienten über ihre Versicherungs- und Kostenunterstützungsoptionen zu informieren und sie darauf vorzubereiten , sich ab 2014 in einen Plan einzuschreiben . 

imagine stell | w_freq: 1130 - 25 | wiki_freq: 9379 - 61 | sentence_idx: 15492 | align_1: 1-1 | align_2: 2-5 |    Now imagine that you can not meet these demands for a month . ||| Nun stell dir vor , dass Sie nicht diese Forderungen für einen Monat erfüllen . 

wondered fragte | w_freq: 276 - 1248 | wiki_freq: 4051 - 4807 | sentence_idx: 15627 | align_1: 8-9 | align_2: 9-14 |    Like many tourists who come here , I wondered where the name Lena ( both for the river and the pillars ) comes from . ||| Wie viele Touristen , die hier her kommen , fragte auch ich mich , woher der Name Lena ( sowohl für den Fluss als auch für die Felsen ) kommt . 

USER Anwender | w_freq: 9 - 191 | wiki_freq: 94 - 3662 | sentence_idx: 16460 | align_1: 7-7 | align_2: 8-13 |    “ Material data provided by a Data-Providing USER must not be used for cost and market research studies . ||| " Materialdaten , die von einem Daten-bereitstellenden Anwender zur Verfügung gestellt werden , dürfen nicht für Kosten- und Marktforschungsstudien verwendet werden . 

Korah Korah | w_freq: 12 - 13 | wiki_freq: 379 - 13 | sentence_idx: 16932 | align_1: 0-0 | align_2: 1-4 |    Korah was a man from the people of Moses . ||| Korah ( Qarûn ) gehörte zum Volk von Moses . 

Stopped aufgehört | w_freq: 14 - 312 | wiki_freq: 694 - 1045 | sentence_idx: 17151 | align_1: 2-2 | align_2: 3-7 |    Why I Stopped Reading Internet Comments ||| Warum ich aufgehört habe , Internet-Kommentare zu lesen 

Keep Bleibt | w_freq: 584 - 51 | wiki_freq: 13153 - 490 | sentence_idx: 17278 | align_1: 10-10 | align_2: 11-15 |    We also say to our good and holy priests : Keep doing what you are doing right . ||| Doch gegenüber unseren guten und frommen Priestern sagen wir : Bleibt dabei , das zu tun , was richtig ist . 

deception Nutznießung | w_freq: 95 - 21 | wiki_freq: 8023 - 217 | sentence_idx: 17856 | align_1: 10-9 | align_2: 11-17 |    The life of this world is only the enjoyment of deception . ” [ 3:185 ] ||| Und das diesseitige Leben ist nichts anderes als eine Nutznießung , durch die man sich betören lässt . ” 

deception Nutznießung | w_freq: 95 - 21 | wiki_freq: 8023 - 217 | sentence_idx: 17857 | align_1: 10-9 | align_2: 11-17 |    The life of this world is only the enjoyment of deception . ” [ 3:185 ] ||| Und das diesseitige Leben ist nichts anderes als eine Nutznießung , durch die man sich betören lässt . “ 

deception Nutznießung | w_freq: 95 - 21 | wiki_freq: 8023 - 217 | sentence_idx: 17858 | align_1: 10-9 | align_2: 11-17 |    The life of this world is only the enjoyment of deception . ” [ 3:185 ] ||| Und das diesseitige Leben ist nichts anderes als eine Nutznießung , durch die man sich betören lässt . " 

Trend Beauty-Trend | w_freq: 63 - 1 | wiki_freq: 2542 - 0 | sentence_idx: 18419 | align_1: 6-5 | align_2: 7-9 |    Miss Universe Reveals the French Beauty Trend Americans Are Totally Behind On ||| Miss Universe enthüllt den französischen Beauty-Trend , den die Amerikaner total hinter sich haben 

secessionists Sezessionisten | w_freq: 4 - 4 | wiki_freq: 591 - 134 | sentence_idx: 19838 | align_1: 13-13 | align_2: 14-34 |    Cedda : The war was very dirty , between the army and the secessionists ... 35 members of my family are here with me now . ||| Cedda : Der Krieg war sehr schmutzig , zwischen der Armee und den Sezessionisten (= die Gruppierungen der UCK , die für eine Lostrennung des Kosovo von Jugoslawien kämpfen . d. Übers . ) … 35 Mitglieder meiner Familie sind jetzt hier bei mir . 

Moderators moderatoren | w_freq: 8 - 14 | wiki_freq: 258 - 0 | sentence_idx: 20035 | align_1: 9-9 | align_2: 10-13 |    The User List on the left shows seven IU Moderators currently in the room , along with a list of members . ||| Die benutzerliste auf der linken seite zeigt sieben iu moderatoren , die sich derzeit im raum befinden , zusammen mit einer liste von mitgliedern . 

