Cuju Cuju | w_freq: 1 - 1 | wiki_freq: 87 - 13 | sentence_idx: 34776 | align_1: 0-0 | align_2: 1-4 | entity: Cuju - Cuju |    Cuju is a very old football game : ||| Cuju ( cuju ) ist ein sehr altes Fußballspiel : 

WordPress WordPress | w_freq: 155 - 77 | wiki_freq: 674 - 173 | sentence_idx: 254761 | align_1: 5-5 | align_2: 6-9 | entity: WordPress - WordPress |    Flexibility : Its scalability makes WordPress what it is ! ||| Flexibilität : Die Skalierbarkeit macht WordPress zu dem , was es ist ! 

penn penn | w_freq: 2 - 10 | wiki_freq: 60 - 4 | sentence_idx: 267410 | align_1: 36-36 | align_2: 37-42 | entity: kal penn - kal penn |    It ’s time to keep working toward creating a more representative culture in our country for people of all backgrounds , and we ’re so excited to do that with amazing , super-smart people like kal penn helping to lead the way . ||| Es ist zeit , weiter daran zu arbeiten , eine repräsentativere kultur in unserem land für menschen aller herkunft zu schaffen , und wir sind so aufgeregt , dies mit erstaunlichen , superklugen leuten wie kal penn zu tun , die dabei helfen , den weg zu weisen . 

Seveso Seveso | w_freq: 4 - 4 | wiki_freq: 250 - 100 | sentence_idx: 315721 | align_1: 14-10 | align_2: 15-16 | entity: Seveso - Seveso |    In 1976 , large amounts of dioxins were released in an industrial accident at Seveso , although no immediate human fatalities or birth defects occurred . ||| 1976 wurden große Beträge von Dioxinen bei einem Industrieunfall an Seveso ( Seveso Katastrophe ) veröffentlicht , obwohl keine unmittelbaren menschlichen Schicksalsschläge oder Geburtsdefekte vorkamen . 

Kundalini Kundalini | w_freq: 23 - 26 | wiki_freq: 446 - 90 | sentence_idx: 425904 | align_1: 11-10 | align_2: 12-15 | entity: Kundalini - Kundalini |    For the effects of these activities upon the transformative infusion of Kundalini flowing through and upon you . ||| Für die Effekte dieser Tätigkeiten auf die transformative Infusion der Kundalini , die durch dich hindurch und auf dir fließt . 

DCO DCO | w_freq: 3 - 2 | wiki_freq: 356 - 25 | sentence_idx: 459190 | align_1: 17-11 | align_2: 18-16 | entity: DCO - DCO |    Over the past two decades , tens of thousands of Palestinians have sought the services of the DCO also to facilitate travel arrangements and overcome bureaucratic hurdles . ||| In den letzten zwei Jahrzehnten haben Zehntausende Palästinenser die Dienste des DCO in Anspruch genommen , auch um Reiseregelungen zu erleichtern und bürokratische Hürden zu überwinden . 

USAA USAA | w_freq: 15 - 14 | wiki_freq: 208 - 13 | sentence_idx: 466532 | align_1: 4-6 | align_2: 5-11 | entity: USAA - USAA |    When I first joined USAA I loved the company , over the last 3 - 5 years , they have really took a turn for the worst . ||| Als ich das erste Mal bei USAA angefangen habe , habe ich die Firma geliebt , in den letzten 3 - 5 Jahren haben sie wirklich das Schlimmste erlebt . 

Acquia Acquia | w_freq: 12 - 10 | wiki_freq: 51 - 15 | sentence_idx: 518746 | align_1: 8-8 | align_2: 9-13 | entity: Acquia - Acquia |    Learn how state and local governments partner with Acquia to a build an interactive and mobile experience . ||| Erfahren Sie , wie Landes- und Lokalregierungen mit Acquia eine Partnerschaft eingehen , um ein interaktives und mobiles Erlebnis zu entwickeln . 

Newmarch Newmarch | w_freq: 2 - 3 | wiki_freq: 223 - 30 | sentence_idx: 570632 | align_1: 14-10 | align_2: 15-15 | entity: Rosa Newmarch - Rosa Newmarch |    In the same year , he went to England at the invitation of Rosa Newmarch . ||| In dasselbe Jahr er ging nach England an Einladung Rosa Newmarch ( Rosa Newmarch ) . 

Higueras Higueras | w_freq: 2 - 3 | wiki_freq: 202 - 67 | sentence_idx: 581625 | align_1: 18-17 | align_2: 19-22 | entity: José Higueras - José Higueras |    During his rise in 1989 ( including his French Open title ) , he was coached by José Higueras . ||| Während seines Anstiegs 1989 ( einschließlich seines französischen Offenen Titels ) , er war trainiert von José Higueras ( José Higueras ) . 

