Abu Mazen: To the extent , that when Abu Mazen came to power , he had no power . ||| Bis zu dem Grad , dass , als Abu Masen an die Macht kam , er keine Macht hatte .

Abu Mazen: Had he not been killed , he would probably be serving today as the President of the Palestinian Authority instead of Abu Mazen ( Mahmoud Abbas ) . ||| Wäre er nicht ermordet worden , würde er wahrscheinlich heute als Präsident der palästinensischen Behörde anstelle von Abu Mazen ( Mahmoud Abbas ) dienen .

Abu Mazen: Abu Mazen could not remember whether he was ever treated by him as a child , before his family had to flee in 1948 . ||| Abu Mazen konnte sich nicht erinnern , ob er als Kind jemals von ihm behandelt worden war , bevor seine Familie 1948 fliehen musste .

Abu Mazen: Abu Mazen is a Good Guy , mainly because he is not Arafat . ||| Abu Mazen ist ein guter Kerl , hauptsächlich weil er nicht Arafat ist .

Abu Mazen: Had he not been killed , he would probably be serving today as the President of the Palestinian Authority instead of Abu Mazen ( Mahmoud Abbas ) . ||| Wäre er nicht ermordet worden , würde er wahrscheinlich heute als Präsident der palästinensischen Behörde anstelle von Abu Mazen ( ( Mahmoud Abbas ) dienen .

Abu Mazen: So we are sending the army to do what it can not do , because Abu Mazen does not do it either . ||| Also schicken wir die Armee , dass sie tut , was sie nicht tun kann – denn Abu Mazen kann es auch nicht .

Abu Mazen: So we are sending the army to do what it can not do , because Abu Mazen does not do it either . ||| Also schicken wir die Armee , dass sie tut , was sie nicht tun kann - denn Abu Mazen kann es auch nicht .

Abu Mazen: I would advise Abu Mazen not to turn his back when Sharon is around . ||| Ich würde Abu Mazen raten , ihm nicht den Rücken zuzuwenden , wenn Sharon in der Nähe ist .

Abu Mazen: They may well ask themselves : Abu Mazen wants credit ? ||| Sie werden sich selbst fragen : Abu Mazen möchte Kredit ?

Abu Mazen: The main thing is to make sure the blame falls on Abu Mazen . ||| Hauptsache ist , abzusichern , dass die Schuld auf Abu Mazen fällt .

Abu Mazen: “ Abu Mazen brought that upon himself . ||| “ Abu Mazen brachte das auf sich selbst .

Abu Mazen: But the most serious failure of Abu Mazen , in the eyes of his people , is on the national level : in the first 100 days he has not obtained one single significant concession , neither from Israel nor from the US . ||| Aber das größte Versäumnis von Abu Mazen liegt in den Augen des Volkes auf nationaler Ebene : In den ersten hundert Tagen hat er nicht eine einzige bedeutsame Konzession erreicht , weder von Israel noch von den USA .

Abu Mazen: But the most serious failure of Abu Mazen , in the eyes of his people , is on the national level : in the first 100 days he has not obtained one single significant concession , neither from Israel nor from the US . ||| Aber das größte Versäumnis von Abu Mazen liegt in den Augen des Volkes auf nationaler Ebene : in den ersten hundert Tagen hat er nicht eine einzige bedeutsame Konzession erreicht , weder von Israel noch von den USA .

