Aad Ad | w_freq: 8 - 35 | wiki_freq: 187 - 1905 | sentence_idx: 1591 | align_1: 6-1 | align_2: 7-9 | ner_entity: Aad-Ad |    [ And remember when ] ' Aad denied ; and how [ severe ] were My punishment and warning . ||| L’ Ad ( peuple ) ( trop ) a rejeté ( Vérité ): alors combien terrible était Ma pénalité et mon avertissement ?

1:37 1:37 | w_freq: 12 - 8 | wiki_freq: 115 - 2 | sentence_idx: 6611 | align_1: 0-0 | align_2: 1-4 | ner_entity: 1:37-none |    1:37 Upon finding him , they said to him , “ Everyone is looking for you . ” ||| 1:37 et , l' ayant trouvé , ils lui disent : Tout le monde te cherche .

Shu'aib aïb | w_freq: 3 - 2 | wiki_freq: 29 - 0 | sentence_idx: 9231 | align_1: 11-7 | align_2: 12-11 | ner_entity: Shu'aib-none |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 92 – Ceux qui avaient traité Chou’ aïb de menteur n’ avaient jamais été là .

Shu'aib Chou’ | w_freq: 3 - 1 | wiki_freq: 29 - 0 | sentence_idx: 9231 | align_1: 11-6 | align_2: 12-11 | ner_entity: Shu'aib-Chou’ |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 92 – Ceux qui avaient traité Chou’ aïb de menteur n’ avaient jamais été là .

ALL QU`EST | w_freq: 183 - 1 | wiki_freq: 1658 - 0 | sentence_idx: 9504 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-QU`EST |    WHAT ALL HAPPENED 153 BC Find out what all happened 153 BC ||| QU`EST -CE QUE tout cela est arrivé 153 BC Découvrez ce que tout cela est arrivé 153 BC

Sacrédeus B5 | w_freq: 1 - 11 | wiki_freq: 0 - 286 | sentence_idx: 17428 | align_1: 0-1 | align_2: 1-9 | ner_entity: Sacrédeus-B5 |    Sacrédeus , on behalf of the PPE-DE Group , on the Presidential Elections in the ROC on Taiwan ||| - B5 - 0449/2001 de M. van den Bos , au nom du groupe ELDR , sur les élections présidentielles au Tchad ;

owe devons | w_freq: 321 - 6563 | wiki_freq: 4342 - 2005 | sentence_idx: 19548 | align_1: 9-9 | align_2: 10-13 | ner_entity: none-Lui devons TOUT |    But , on the contrary , you and I owe Him and His glorified Son everything . ||| Mais , au contraire , vous et moi Lui devons TOUT , à Lui et à Son Fils glorifié .

Vecchio Vecchio | w_freq: 4 - 4 | wiki_freq: 1684 - 1639 | sentence_idx: 22023 | align_1: 3-3 | align_2: 4-7 | ner_entity: none-Vecchio |    Why Borges / Vecchio say 40 % is not clear . ||| Pourquoi Borges / Vecchio a -t -il déclaré que 40 % n' est pas clair .

Diderot Diderot | w_freq: 6 - 6 | wiki_freq: 1987 - 4036 | sentence_idx: 25990 | align_1: 1-1 | align_2: 2-7 | ner_entity: Denis Diderot-Denis Diderot |    Denis Diderot said , “ Only passions , great passions , can elevate the soul to great things . ” ||| Denis Diderot a , un jour , dit : « Seules les passions , les grandes passions peuvent élever l’ âme aux grandes choses » .

ClimateAction ClimateAction | w_freq: 4 - 4 | wiki_freq: 0 - 0 | sentence_idx: 27788 | align_1: 13-13 | align_2: 14-21 | ner_entity: none-ClimateAction |    “ What will the Arctic look like in 10 more years ? # ClimateAction becomes more urgent every day . ||| “ De quoi aura l’ air l’ Arctique dans 10 ans ? # ClimateAction ( Des actions pour le climat ) deviennent plus urgentes chaque jour .

ClimateAction ClimateAction | w_freq: 4 - 4 | wiki_freq: 0 - 0 | sentence_idx: 30365 | align_1: 12-13 | align_2: 13-21 | ner_entity: none-ClimateAction |    What will the Arctic look like in 10 more years ? # ClimateAction becomes more urgent every day . ||| “ De quoi aura l’ air l’ Arctique dans 10 ans ? # ClimateAction ( Des actions pour le climat ) deviennent plus urgentes chaque jour .

bondmen serviteurs | w_freq: 4 - 315 | wiki_freq: 39 - 3869 | sentence_idx: 31352 | align_1: 3-2 | align_2: 4-10 | ner_entity: none-Mes serviteurs |    Few of My bondmen are thankful . ” ||| Parmi Mes serviteurs , il y en a peu qui soient reconnaissants . "

