Novecento Novecento | w_freq: 1 - 1 | wiki_freq: 278 - 136 | sentence_idx: 36726 | align_1: 3-1 | align_2: 4-7 | entity: Novecento - Novecento |    ‘ Please , Novecento , just the normal notes , OK ? ’ ||| " Novecento , s' il te plaît , que les notes normales , d' accord ? " 

Gracias Gracias | w_freq: 4 - 5 | wiki_freq: 878 - 165 | sentence_idx: 46474 | align_1: 3-2 | align_2: 4-7 | entity: Gracias - Gracias |    “ Why was Gracias allowed to speak at the papal summit ? ||| « Pourquoi Gracias a -t -il été autorisé à prendre la parole au sommet papal ? 

Gracias Gracias | w_freq: 4 - 5 | wiki_freq: 878 - 165 | sentence_idx: 46475 | align_1: 3-2 | align_2: 4-7 | entity: Gracias - Gracias |    “ Why was Gracias allowed to speak at the papal summit ? ||| « Pourquoi Gracias a -t -il été autorisé à prendre la parole au sommet papal ? 

Samaria Samarie | w_freq: 30 - 30 | wiki_freq: 1734 - 746 | sentence_idx: 52242 | align_1: 3-4 | align_2: 4-8 | entity: Samaria - Samarie |    And they possessed Samaria , and they lived in its cities . ||| Ils prirent possession de Samarie [ Shomerown ] , et ils habitèrent dans ses villes . 

Padang Padang | w_freq: 4 - 4 | wiki_freq: 2706 - 325 | sentence_idx: 175051 | align_1: 2-1 | align_2: 3-6 | entity: Gunung Padang - Gunung Padang |    Was Gunung Padang constructed in response to some kind of global or regional catastrophe ? ||| Gunung Padang a -t -il été construit en réponse à une sorte de catastrophe mondiale ou régionale ? 

Georgians Géorgiens | w_freq: 20 - 21 | wiki_freq: 3432 - 1103 | sentence_idx: 201196 | align_1: 13-18 | align_2: 14-24 | entity: Georgians - Géorgiens |    If there is no salt or bread on the table , then for Georgians there is " nothing to eat " . ||| S' il n' y a pas de sel ou de pain sur la table , alors pour les Géorgiens c' est qu’ il n’ y a " rien à manger " . 

Inman Inman | w_freq: 5 - 5 | wiki_freq: 2972 - 175 | sentence_idx: 209400 | align_1: 6-5 | align_2: 7-10 | entity: Bobby Ray Inman - Bobby Ray Inman |    K : Why was Bobby Ray Inman so helpful ? ||| KC : Pourquoi Bobby Ray Inman s’ est -il montré si serviable ? 

Schutz Schutz | w_freq: 3 - 3 | wiki_freq: 817 - 155 | sentence_idx: 210264 | align_1: 1-0 | align_2: 2-5 | entity: Schutz - Schutz |    Was Schutz right too early with the one that is not without mentioning the future Panamera ? ||| Schutz a -t -il eu raison trop tôt avec celle qui n’ est pas sans évoquer la future Panamera ? 

Hermione Hermione | w_freq: 17 - 18 | wiki_freq: 2714 - 1353 | sentence_idx: 282631 | align_1: 2-1 | align_2: 3-6 | entity: Hermione - Hermione |    Or has Hermione mistakenly assumed you still want to know as much as I can tell you ? " ||| Ou Hermione a -t -elle par erreur supposé que vous voulez toujours en savoir autant que je peux vous en dire ? " 

Chaturbate Chaturbate | w_freq: 9 - 5 | wiki_freq: 24 - 6 | sentence_idx: 308232 | align_1: 5-8 | align_2: 6-12 | entity: Chaturbate - Chaturbate |    6 ) Has anyone from Chaturbate bought you anything ? ||| 7 ) Est -ce que quelqu’ un de Chaturbate t’ as déjà acheté quelque chose ? 

Siddhartha Siddhartha | w_freq: 3 - 3 | wiki_freq: 1299 - 229 | sentence_idx: 317928 | align_1: 6-6 | align_2: 7-11 | entity: Siddhartha - Siddhartha |    But he has given to me Siddhartha myself . ” ||| Mais il m’ a donné à Siddhartha , à moi - même . » 

Crispus Crispus | w_freq: 1 - 1 | wiki_freq: 605 - 174 | sentence_idx: 346637 | align_1: 6-5 | align_2: 7-10 | entity: Crispus - Crispus |    Why , for example , was Crispus poisoned in Pola , of all places ? ||| Pourquoi , par exemple , Crispus a -t -il été empoisonné à Pola , de tous les endroits ? 

Hillman Hillman | w_freq: 3 - 3 | wiki_freq: 4667 - 660 | sentence_idx: 372505 | align_1: 1-1 | align_2: 2-6 | entity: James Hillman - James Hillman |    James Hillman once said to me : “ It is important to be Protestant once a week ” . ||| James Hillman m’ a dit une fois : « Il est important d’ être protestant une fois par semaine » . 

Cyberpunk Cyberpunk | w_freq: 11 - 11 | wiki_freq: 662 - 138 | sentence_idx: 446979 | align_1: 13-17 | align_2: 14-22 | entity: Cyberpunk - Cyberpunk |    When asked , during a 2005 interview , " Why was your book Cyberpunk never published when you sold it to a publisher in 1989 ? " ||| Lorsqu’ on lui a demandé , lors d’ une interview en 2005 , " Pourquoi votre livre Cyberpunk n’ a -t -il jamais été publié quand vous l' avez vendu à un éditeur en 1989 ? " 

