Anyway Quoi | w_freq: 214 - 547 | wiki_freq: 1705 - 4268 | sentence_idx: 765 | align_1: 0-0 | align_2: 1-5 |    Anyway , “ we ” – as in mankind ’s best hope – should “ avoid carrying on in the role of Frankenstein . ” ||| Quoi qu’ il en soit , « nous » – en tant que meilleur espoir de l’ humanité – devrions « éviter de continuer dans le rôle de Frankenstein » . 

spies espions | w_freq: 88 - 95 | wiki_freq: 7964 - 2621 | sentence_idx: 1379 | align_1: 5-5 | align_2: 6-10 |    “ We spotted five Alliance spies during the night . ” ||| « Nous avons repéré cinq espions de l’ Alliance au cours de la nuit . » 

Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 2576 | align_1: 5-5 | align_2: 6-9 |    Someday Never Comes ( with Dawes ) ||| Someday Never Comes ( avec Dawes ( en ) ) 

BP BP | w_freq: 52 - 52 | wiki_freq: 12097 - 2564 | sentence_idx: 2975 | align_1: 1-1 | align_2: 2-7 |    Why BP was not more aggressive in planning for such a catastrophe ? ||| Pourquoi BP n’ a -t -il pas été plus agressif dans ses planifications pour une telle catastrophe ? 

swear Jurez | w_freq: 249 - 4 | wiki_freq: 5814 - 14 | sentence_idx: 4903 | align_1: 2-0 | align_2: 3-7 |    Do you swear to tell the truth , the whole truth , and nothing but the truth ? ” ||| Jurez -vous , par la présente , à dire la vérité , toute la vérité et rien que la vérité ? " 

recycling recyclage | w_freq: 201 - 203 | wiki_freq: 12393 - 4186 | sentence_idx: 5276 | align_1: 5-9 | align_2: 6-14 |    This system continued until water recycling became the responsibility of the local authorities . ||| Ce système a continué jusqu’ à ce que le recyclage de l’ eau est devenue la responsabilité des autorités locales . 

intolerance intolérance | w_freq: 87 - 93 | wiki_freq: 4085 - 1409 | sentence_idx: 6350 | align_1: 6-6 | align_2: 7-10 |    He has practiced a politics of intolerance for diversity , and attacks on some minority groups threaten the safety of every minority group . ” ||| Il a pratiqué une politique d’ intolérance à l’ égard de la diversité , et les attaques contre certains groupes minoritaires menacent la sécurité de chaque groupe minoritaire . » 

E-58 E-58 | w_freq: 22 - 26 | wiki_freq: 5 - 2 | sentence_idx: 7566 | align_1: 0-0 | align_2: 1-4 |    E-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ? 

Fortunately Heureusement | w_freq: 584 - 872 | wiki_freq: 4543 - 2215 | sentence_idx: 8036 | align_1: 0-0 | align_2: 1-5 |    Fortunately , at least 28 independent studies from around the world have confirmed his findings . ||| Heureusement à l’ heure actuelle , au moins 28 études indépendantes du monde entier ont confirmé ses conclusions . 

tranquility calme | w_freq: 74 - 488 | wiki_freq: 1611 - 10742 | sentence_idx: 10031 | align_1: 7-7 | align_2: 8-15 |    There is , for example , no tranquility in this world except in His remembrance . ||| Alors , il n’ y a de calme ( de la tranquillité d’ esprit ) dans cette vie d’ ici bas qu’ avec son rappel . 

tranquility tranquillité | w_freq: 74 - 112 | wiki_freq: 1611 - 1994 | sentence_idx: 10031 | align_1: 7-11 | align_2: 8-15 |    There is , for example , no tranquility in this world except in His remembrance . ||| Alors , il n’ y a de calme ( de la tranquillité d’ esprit ) dans cette vie d’ ici bas qu’ avec son rappel . 

mercy souffle | w_freq: 378 - 196 | wiki_freq: 9717 - 7308 | sentence_idx: 10110 | align_1: 13-10 | align_2: 14-16 |    a fulfillment ofHis word which He sent down to Mary , and a mercy from Him . ||| Sa parole qu’ Il envoya à Marie , et un souffle ( de vie ) venant de Lui . 

mercy souffle | w_freq: 378 - 196 | wiki_freq: 9717 - 7308 | sentence_idx: 10111 | align_1: 13-10 | align_2: 14-16 |    a fulfillment ofHis word which He sent down to Mary , and a mercy from Him . ||| Sa parole qu' Il envoya à Marie , et un souffle ( de vie ) venant de Lui . 

mercy souffle | w_freq: 378 - 196 | wiki_freq: 9717 - 7308 | sentence_idx: 10112 | align_1: 13-9 | align_2: 14-15 |    a fulfillment ofHis word which He sent down to Mary , and a mercy from Him . ||| Sa parole qu´Il envoya à Marie , et un souffle ( de vie ) venant de Lui . 

mercy souffle | w_freq: 378 - 196 | wiki_freq: 9717 - 7308 | sentence_idx: 10113 | align_1: 13-10 | align_2: 14-16 |    a fulfillment ofHis word which He sent down to Mary , and a mercy from Him . ||| Sa parole qu’ Il envoya à Marie , et un souffle ( de vie ) venant de lui . 

Anyway Quoi | w_freq: 214 - 547 | wiki_freq: 1705 - 4268 | sentence_idx: 11740 | align_1: 0-0 | align_2: 1-6 |    Anyway this assumption shall be proven by this first grand test of the Martingale system . ||| Quoi qu' il en soit , cette hypothèse doit être prouvée par cette premier grand test du système Martingale . 

inhabitest habites | w_freq: 5 - 10 | wiki_freq: 0 - 26 | sentence_idx: 11786 | align_1: 8-9 | align_2: 9-13 |    But thou are holy , O thou that inhabitest the praises of Israel . ||| Et toi , tu es saint , toi qui habites [ au milieu des ] louanges d' Israël . 

reliance dépendance | w_freq: 14 - 229 | wiki_freq: 9149 - 10555 | sentence_idx: 12361 | align_1: 1-1 | align_2: 2-5 |    The reliance on Israel for most domestic connections and all international connections did not however end with the advent of Paltel . ||| La dépendance à l’ égard d’ Israël pour la plupart des connexions domestiques et pour toutes les connexions internationales n’ a cependant pas pris fin avec l’ avènement de Paltel . 

please Pouvez | w_freq: 1077 - 665 | wiki_freq: 10803 - 60 | sentence_idx: 13003 | align_1: 2-0 | align_2: 3-8 |    Can you please ask Matthew if this portends danger to us ? ” ||| Pouvez -vous , s’ il vous plaît , demander à Matthieu si cela comporte pour nous un danger ? » 

Deliveroo Deliveroo | w_freq: 5 - 5 | wiki_freq: 179 - 78 | sentence_idx: 13696 | align_1: 6-5 | align_2: 7-12 |    What improvements did your partnership with Deliveroo make for your restaurant ? * ||| Quelles améliorations votre partenariat avec Deliveroo vous a -t -il permis de faire pour votre restaurant ? * 

Khaba'ith ith | w_freq: 2 - 2 | wiki_freq: 0 - 3 | sentence_idx: 15094 | align_1: 10-13 | align_2: 11-21 |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba’ ith . [ contre les djinns mâles et femelles]. » 

Khaba'ith Khaba’ | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 15094 | align_1: 10-12 | align_2: 11-21 |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba’ ith . [ contre les djinns mâles et femelles]. » 

please Vous | w_freq: 1077 - 22427 | wiki_freq: 10803 - 6197 | sentence_idx: 15438 | align_1: 2-0 | align_2: 3-6 |    You will please produce me a technical drawing to explain me what it a gas chamber was " . ||| Vous allez , svp , me produire un dessin technique pour m’ expliquer ce que c’ était une chambre à gaz » . 

Almighty Omnipotent | w_freq: 125 - 4 | wiki_freq: 2790 - 12 | sentence_idx: 15508 | align_1: 17-14 | align_2: 18-20 |    ( I saw no temple in the city , for its temple is the Lord God the Almighty and the Lamb . ||| Je n' ai vu aucun temple dans la ville , car le Seigneur Dieu Omnipotent [ Lui - même ] et l' Agneau [ Lui - même ] en sont le temple . 

falsehood parejure | w_freq: 172 - 1 | wiki_freq: 1199 - 0 | sentence_idx: 15533 | align_1: 2-7 | align_2: 3-11 |    And can falsehood save ? ||| Celui - ci peut -il mentir ( parejure ) pour se sauver ? 

strangest étranges | w_freq: 26 - 279 | wiki_freq: 760 - 4267 | sentence_idx: 17241 | align_1: 2-3 | align_2: 3-7 |    Among the strangest were people who made soup using the airline water . ||| Parmi les plus étranges , il y avait des gens qui faisaient de la soupe en utilisant l’ eau de la compagnie aérienne . 

Someone Quelqu’ | w_freq: 387 - 234 | wiki_freq: 6575 - 65 | sentence_idx: 17612 | align_1: 1-1 | align_2: 2-7 |    " Someone once told me that a mission is not just the best two years of your life but the best two years for your life , " Limb said . ||| « Quelqu’ un m’ a dit une fois que la mission n’ est pas seulement les deux meilleures années de votre vie , mais les deux meilleures années de votre vie , » Limb dit . 

941 941 | w_freq: 4 - 4 | wiki_freq: 1247 - 577 | sentence_idx: 19233 | align_1: 3-4 | align_2: 4-8 |    Lastly , paragraph 941 refers to pages 94 and 95 of the Debates of February 5 , 1973 : ||| Finalement , au paragraphe 941 , on se reporte aux pages 94 et 95 des Débats du 5 février 1973 : 

Marxist marxiste | w_freq: 103 - 86 | wiki_freq: 14902 - 4984 | sentence_idx: 19622 | align_1: 1-1 | align_2: 2-5 |    The Marxist seeks a good use of economy . ||| Le marxiste , lui , cherche un bon usage de l’ économie . 

remanufacturing remanufacturing | w_freq: 1 - 1 | wiki_freq: 136 - 3 | sentence_idx: 20122 | align_1: 5-7 | align_2: 6-12 |    Today , our commitment to remanufacturing Volvo Genuine Parts is stronger than ever : which is good news for you , your car and the environment . ||| Aujourd’hui , notre engagement en faveur du remanufacturing des pièces d’ origine Volvo est plus fort que jamais : ce qui est une bonne nouvelle pour vous , pour votre voiture et pour l’ environnement . 

hopefully espérons | w_freq: 147 - 1032 | wiki_freq: 3850 - 195 | sentence_idx: 20337 | align_1: 6-8 | align_2: 7-12 |    We released a few cute and hopefully funny animations with Jimmy , our mascot . ||| Nous avons publié quelques animations mignonnes et , espérons - le , drôles avec Jimmy , notre mascotte . 

