Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 2576 | align_1: 5-5 | align_2: 6-9 | entity: Dawes - Dawes |    Someday Never Comes ( with Dawes ) ||| Someday Never Comes ( avec Dawes ( en ) ) 

E-58 E-58 | w_freq: 22 - 26 | wiki_freq: 5 - 2 | sentence_idx: 7566 | align_1: 0-0 | align_2: 1-4 | entity: none - E-58 |    E-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ? 

Deliveroo Deliveroo | w_freq: 5 - 5 | wiki_freq: 179 - 78 | sentence_idx: 13696 | align_1: 6-5 | align_2: 7-12 | entity: Deliveroo - Deliveroo |    What improvements did your partnership with Deliveroo make for your restaurant ? * ||| Quelles améliorations votre partenariat avec Deliveroo vous a -t -il permis de faire pour votre restaurant ? * 

Khaba'ith ith | w_freq: 2 - 2 | wiki_freq: 0 - 3 | sentence_idx: 15094 | align_1: 10-13 | align_2: 11-21 | entity: Al- Khaba'ith - none |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba’ ith . [ contre les djinns mâles et femelles]. » 

Khaba'ith Khaba’ | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 15094 | align_1: 10-12 | align_2: 11-21 | entity: Al- Khaba'ith - Khaba’ |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba’ ith . [ contre les djinns mâles et femelles]. » 

Almighty Omnipotent | w_freq: 125 - 4 | wiki_freq: 2790 - 12 | sentence_idx: 15508 | align_1: 17-14 | align_2: 18-20 | entity: none - Seigneur Dieu Omnipotent |    ( I saw no temple in the city , for its temple is the Lord God the Almighty and the Lamb . ||| Je n' ai vu aucun temple dans la ville , car le Seigneur Dieu Omnipotent [ Lui - même ] et l' Agneau [ Lui - même ] en sont le temple . 

941 941 | w_freq: 4 - 4 | wiki_freq: 1247 - 577 | sentence_idx: 19233 | align_1: 3-4 | align_2: 4-8 | entity: 941 - none |    Lastly , paragraph 941 refers to pages 94 and 95 of the Debates of February 5 , 1973 : ||| Finalement , au paragraphe 941 , on se reporte aux pages 94 et 95 des Débats du 5 février 1973 : 

412 412 | w_freq: 8 - 9 | wiki_freq: 3702 - 950 | sentence_idx: 21186 | align_1: 7-8 | align_2: 8-12 | entity: 412 - none |    Alice : Put the money in locker 412 please ! ||| Alice : Mettez l’ argent dans le casier 412 s’ il vous plaît ! 

E-5 E-5 | w_freq: 31 - 34 | wiki_freq: 264 - 32 | sentence_idx: 24116 | align_1: 0-0 | align_2: 1-4 | entity: none - E-5 |    E-5 I remember very well first time seeing Brother Evans . ||| E-5 ( 9 ) Je me souviens très bien de la première fois que j' ai vu frère Evans . 

E-53 E-53 | w_freq: 23 - 24 | wiki_freq: 3 - 1 | sentence_idx: 24341 | align_1: 0-0 | align_2: 1-4 | entity: none - E-53 |    E-53 No wonder we ca n't have healing campaigns . ||| E-53 Il n’ est pas étonnant que nous ne puissions pas avoir des campagnes de guérison . 

Vanuatu Vanuatu | w_freq: 36 - 37 | wiki_freq: 7792 - 2468 | sentence_idx: 25887 | align_1: 9-10 | align_2: 10-14 | entity: Vanuatu - Vanuatu |    He said that the people of Timor Leste and Vanuatu share the same way and it ’s good that both people share the same information on the maritime border . ||| IL dit que la population de Timor Leste et du Vanuatu , ils ont partager le même façon et c' est bon que tous les deux partager les même information dans la frontière maritime . 

E-12 E-12 | w_freq: 22 - 25 | wiki_freq: 30 - 3 | sentence_idx: 29084 | align_1: 0-0 | align_2: 1-5 | entity: none - E-12 |    E-12 No rain , and she must have prayed all night long . ||| E-12 Il n’ y avait pas de pluie , et elle devait avoir prié toute la nuit durant . 

Buffon Buffon | w_freq: 7 - 7 | wiki_freq: 2008 - 1930 | sentence_idx: 32194 | align_1: 2-6 | align_2: 3-11 | entity: Buffon - Buffon |    I mean Buffon showed me his real rabbits . ||| C’ est - à - dire Buffon , il m’ a montré ses vrais lapins . 

tomorrow demain | w_freq: 1534 - 1541 | wiki_freq: 4903 - 2889 | sentence_idx: 34049 | align_1: 7-9 | align_2: 8-13 | entity: tomorrow - none |    It was n’t very productive and if tomorrow is dry I will be facing completely new conditions . ||| Il n' a pas été très productif et si demain , la piste est sèche , je ferais face à des conditions complètement nouvelles . 

Cosmogonies Cosmogonies | w_freq: 2 - 2 | wiki_freq: 4 - 14 | sentence_idx: 42225 | align_1: 2-3 | align_2: 3-7 | entity: Cosmogonies - Cosmogonies |    In all Cosmogonies “ Water ” plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important . 

Whisky Whisky | w_freq: 10 - 13 | wiki_freq: 2415 - 437 | sentence_idx: 61863 | align_1: 3-3 | align_2: 4-11 | entity: Scotch Whisky - Scotch Whisky |    When was Scotch Whisky first distilled ? ||| Quand le Scotch Whisky a -t -il été distillé pour la première fois ? 

Contextor Contextor | w_freq: 1 - 1 | wiki_freq: 0 - 3 | sentence_idx: 62513 | align_1: 2-2 | align_2: 3-6 | entity: Contextor - Contextor |    Thus , Contextor first worked for our fraud department . ||| Ainsi , Contextor a tout d’ abord collaboré pour le compte de notre département des fraudes . 

Taren Taren | w_freq: 1 - 1 | wiki_freq: 123 - 22 | sentence_idx: 66680 | align_1: 4-4 | align_2: 5-8 | entity: Taren - Taren |    So , yes , Taren , we need to all work together , and if we put all our energy together , maybe we can to some small extent , compensate for the loss of Aaron . ||| Donc , oui , Taren [ 1 ] , nous devons tous travailler ensemble , et si nous mettons toute notre énergie ensemble , nous pourrons peut-être , dans une faible mesure , compenser la perte d’ Aaron . 

Maybe Peut | w_freq: 1233 - 2696 | wiki_freq: 6736 - 3705 | sentence_idx: 67101 | align_1: 11-11 | align_2: 12-15 | entity: none - Peut |    2008 - 15 , 16 , 18 April - Illinois - Maybe we had a comet fragment impact or two or three over a period of several nights ? ||| 2008 - 15 , 16 , 18 avril - Illinois - Peut - être avons -nous eu un impact de fragment de comète , ou deux ou trois , sur une période de plusieurs nuits ? 

Ra’ad ad | w_freq: 1 - 111 | wiki_freq: 29 - 9222 | sentence_idx: 71394 | align_1: 1-2 | align_2: 2-6 | entity: Ra’ad - Ra’ ad |    A Ra’ad being inspected by an Iranian military officer . ||| Un Ra’ ad en train d’ être inspecté par un officier iranien . 

Ra’ad Ra’ | w_freq: 1 - 3 | wiki_freq: 29 - 78 | sentence_idx: 71394 | align_1: 1-1 | align_2: 2-6 | entity: Ra’ad - Ra’ ad |    A Ra’ad being inspected by an Iranian military officer . ||| Un Ra’ ad en train d’ être inspecté par un officier iranien . 

KeepFighting KeepFighting | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 71783 | align_1: 7-7 | align_2: 8-15 | entity: Michael # KeepFighting - Michael # KeepFighting |    We ’re all with you Michael # KeepFighting . " ||| Nous sommes tous avec toi Michael # KeepFighting ( Continue à te battre ) » . 

Gorbachev Gorbatchev | w_freq: 30 - 24 | wiki_freq: 5506 - 1621 | sentence_idx: 73122 | align_1: 2-1 | align_2: 3-6 | entity: Gorbachev - Gorbatchev |    How could Gorbachev go home and say , ‘ Germany is reunited . ||| Comment Gorbatchev a -t -il pu rentrer chez lui et dire : « L’ Allemagne est réunie . 

covenant Sourate | w_freq: 82 - 28 | wiki_freq: 5181 - 144 | sentence_idx: 77712 | align_1: 8-10 | align_2: 9-15 | entity: none - Sourate |    The Quran reminds the Bani Israel of their covenant : ||| Et je les encourage à lire dans le Coran la Sourate ( chapitre ) Israéli . 

Messenger Messenger | w_freq: 84 - 41 | wiki_freq: 8006 - 869 | sentence_idx: 86956 | align_1: 14-19 | align_2: 15-26 | entity: Messenger - Messenger |    Disappearing messages gives people another fun option to choose from when they communicate on Messenger . " ||| “ Des messages qui disparaissent donnent aux gens le choix d’ une autre option amusante quand ils communiquent sur Messenger ” , a -t -elle ajouté . 

