Marxist marxiste | w_freq: 103 - 86 | wiki_freq: 14902 - 4984 | sentence_idx: 19622 | align_1: 1-1 | align_2: 2-5 | entity: Marxist - none |    The Marxist seeks a good use of economy . ||| Le marxiste , lui , cherche un bon usage de l’ économie . 

Cosmogonies Cosmogonies | w_freq: 2 - 2 | wiki_freq: 4 - 14 | sentence_idx: 42225 | align_1: 2-3 | align_2: 3-7 | entity: Cosmogonies - Cosmogonies |    In all Cosmogonies “ Water ” plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important . 

Whisky Whisky | w_freq: 10 - 13 | wiki_freq: 2415 - 437 | sentence_idx: 61863 | align_1: 3-3 | align_2: 4-11 | entity: Scotch Whisky - Scotch Whisky |    When was Scotch Whisky first distilled ? ||| Quand le Scotch Whisky a -t -il été distillé pour la première fois ? 

Ra’ad ad | w_freq: 1 - 111 | wiki_freq: 29 - 9222 | sentence_idx: 71394 | align_1: 1-2 | align_2: 2-6 | entity: Ra’ad - Ra’ ad |    A Ra’ad being inspected by an Iranian military officer . ||| Un Ra’ ad en train d’ être inspecté par un officier iranien . 

Ra’ad Ra’ | w_freq: 1 - 3 | wiki_freq: 29 - 78 | sentence_idx: 71394 | align_1: 1-1 | align_2: 2-6 | entity: Ra’ad - Ra’ ad |    A Ra’ad being inspected by an Iranian military officer . ||| Un Ra’ ad en train d’ être inspecté par un officier iranien . 

Gorbachev Gorbatchev | w_freq: 30 - 24 | wiki_freq: 5506 - 1621 | sentence_idx: 73122 | align_1: 2-1 | align_2: 3-6 | entity: Gorbachev - Gorbatchev |    How could Gorbachev go home and say , ‘ Germany is reunited . ||| Comment Gorbatchev a -t -il pu rentrer chez lui et dire : « L’ Allemagne est réunie . 

Iraqis Irakiens | w_freq: 92 - 84 | wiki_freq: 3367 - 562 | sentence_idx: 89476 | align_1: 3-2 | align_2: 4-7 | entity: Iraqis - Irakiens |    Why did the Iraqis not withdraw partially from Kuwait before January 15 , 1991 ? ||| Pourquoi les Irakiens ne se sont -ils pas retirés partiellement du Koweït avant le 15 janvier 1991 ? 

Micro Micro | w_freq: 25 - 17 | wiki_freq: 6908 - 1108 | sentence_idx: 127253 | align_1: 2-2 | align_2: 3-6 | entity: SSi Micro - SSi Micro |    As SSi Micro noted , this principle comes from environmental law and has not been considered in this context before . ||| Comme SSi Micro l’ a fait remarquer , ce principe découle du droit de l’ environnement et n’ a pas été examiné dans ce contexte auparavant . 

Muhammed Mohammed | w_freq: 12 - 162 | wiki_freq: 3787 - 11328 | sentence_idx: 154532 | align_1: 11-12 | align_2: 12-16 | entity: Muhammed - Mohammed |    Ask him : “ Have you any qualms in agreeing that Muhammed was an Arab ? ” ||| Demandez - leur alors " Aurez -vous quelque inquiétude à admettre que Mohammed ( ? ) fut un arabe ? " 

10.3 10.2 | w_freq: 18 - 11 | wiki_freq: 5212 - 73 | sentence_idx: 181625 | align_1: 0-0 | align_2: 1-5 | entity: 10.3 - none |    10.3 EU Users and Commercial E-mails . ||| 10.2 Utilisateurs de l’ Union européenne et e-mails commerciaux . 

E.J. E.J. | w_freq: 3 - 3 | wiki_freq: 1481 - 85 | sentence_idx: 201881 | align_1: 3-2 | align_2: 4-7 | entity: E.J. - E.J. Gold |    So why is E.J. not better known , even in his own country ? ||| Pourquoi donc E.J. Gold n' est -il pas mieux connu , même dans son propre pays ? 

Coulson Coulson | w_freq: 6 - 6 | wiki_freq: 3470 - 209 | sentence_idx: 233260 | align_1: 8-8 | align_2: 9-12 | entity: Coulson - Coulson |    " In their hands that 's catastrophic ; Coulson please tell me you know where it is . " ||| " Dans leurs mains c’ est catastrophique ; Coulson s’ il vous plaît me dire vous savez où il est . " 

Lemire Lemire | w_freq: 9 - 9 | wiki_freq: 730 - 408 | sentence_idx: 306303 | align_1: 1-1 | align_2: 2-5 | entity: Vincent Lemire - Vincent Lemire |    Vincent Lemire is impressed by the political maturity of Palestinian civil society .... ||| Vincent Lemire , lui , est impressionné par la maturité politique de la société civile palestinienne … . 

Hamdan Hamdan | w_freq: 2 - 1 | wiki_freq: 1987 - 351 | sentence_idx: 339233 | align_1: 5-6 | align_2: 6-10 | entity: Hamdan - Hamdan |    For almost a decade , Hamdan was banned from visiting her husband on security grounds . ||| Pendant près d’ une décennie , Hamdan n’ a pas été autorisée à rendre visite à son mari pour des raisons de sécurité . 

Doom Doom | w_freq: 14 - 16 | wiki_freq: 11984 - 1544 | sentence_idx: 360213 | align_1: 9-10 | align_2: 10-17 | entity: Victor Von Doom - Victor Von Doom |    " He ’s Victor Domashev , not Victor Von Doom in our story . ||| " Il est Victor Domashev , et non Victor Von Doom [ son nom en VO ] dans notre histoire . 

Aoun Aoun | w_freq: 7 - 6 | wiki_freq: 1013 - 589 | sentence_idx: 371010 | align_1: 13-14 | align_2: 14-19 | entity: Aoun - général Aoun |    The question of the Presidency of FPM has become a priority for General Aoun two months ago . ||| La question de la présidence du CPL est devenue une priorité pour le général Aoun , il y a deux mois . 

Secondly Deuxièmement | w_freq: 434 - 870 | wiki_freq: 5254 - 989 | sentence_idx: 371294 | align_1: 0-0 | align_2: 1-5 | entity: Secondly - none |    Secondly only through sacrifice – the willingness to be arrested and go to prison – do people take seriously what you are saying . ||| Deuxièmement , ce n’ est que par le sacrifice – la volonté d’ être arrêté et d’ aller en prison – que les gens prennent au sérieux ce que vous dites . 

Filipinos Philippins | w_freq: 27 - 30 | wiki_freq: 7096 - 506 | sentence_idx: 412789 | align_1: 1-1 | align_2: 2-7 | entity: Filipinos - Philippins |    Are Filipinos joining this alliance ? ||| Les Philippins sont -ils en train de rejoindre cette alliance ? 

Rudd Rudd | w_freq: 12 - 12 | wiki_freq: 7338 - 876 | sentence_idx: 413199 | align_1: 1-1 | align_2: 2-6 | entity: Louis Rudd - Louis Rudd |    Louis Rudd being a day or two behind him . ||| Louis Rudd , lui , se trouve un jour ou deux derrière lui . 

Shia Chiites | w_freq: 30 - 5 | wiki_freq: 14006 - 88 | sentence_idx: 436538 | align_1: 6-8 | align_2: 7-12 | entity: Shia - Chiites |    So will many other Kurds and Shia outside Iraq welcome his end . ||| De même , de nombreux autres Kurdes et Chiites , à l’ extérieur de l’ Irak , se réjouiront de cette fin . 

Shia Chiites | w_freq: 30 - 5 | wiki_freq: 14006 - 88 | sentence_idx: 436539 | align_1: 6-8 | align_2: 7-12 | entity: Shia - Chiites |    So will many other Kurds and Shia outside Iraq welcome his end . ||| De même , de nombreux autres Kurdes et Chiites , à l' extérieur de l' Irak , se réjouiront de cette fin . 

Capulets Capulet | w_freq: 2 - 2 | wiki_freq: 132 - 142 | sentence_idx: 497855 | align_1: 6-6 | align_2: 7-10 | entity: Capulets - Capulet |    The day is hot , the Capulets abroad . ||| La journée est chaude , les Capulet , à l’ étranger ; 

FAB FAB | w_freq: 1 - 4 | wiki_freq: 816 - 181 | sentence_idx: 525885 | align_1: 13-16 | align_2: 14-21 | entity: FAB - FAB |    For the first reference period , there shall be no mandatory national / FAB environment KPI . ||| Pour la première période de référence , il n’ y a pas de KPI national / FAB obligatoire en matière d’ environnement . 

PSI PSI | w_freq: 13 - 13 | wiki_freq: 2751 - 1161 | sentence_idx: 538962 | align_1: 4-4 | align_2: 5-9 | entity: PSI - PSI |    Will the collaboration with PSI continue ? ||| La collaboration avec le PSI va -t -elle se poursuivre ? 

Mare Mare | w_freq: 12 - 12 | wiki_freq: 13835 - 4999 | sentence_idx: 546196 | align_1: 3-5 | align_2: 4-9 | entity: John Mare - John Mare |    Trade consultant John Mare agreed that initially SADC should play more of a coordination role . ||| Consultant en commerce , John Mare , est d’ accord qu’ au début , la SADC devrait jouer beaucoup plus un rôle de coordination . 

