BP BP | w_freq: 52 - 52 | wiki_freq: 12097 - 2564 | sentence_idx: 2975 | align_1: 1-1 | align_2: 2-7 | entity: BP - BP |    Why BP was not more aggressive in planning for such a catastrophe ? ||| Pourquoi BP n’ a -t -il pas été plus agressif dans ses planifications pour une telle catastrophe ? 

Deliveroo Deliveroo | w_freq: 5 - 5 | wiki_freq: 179 - 78 | sentence_idx: 13696 | align_1: 6-5 | align_2: 7-12 | entity: Deliveroo - Deliveroo |    What improvements did your partnership with Deliveroo make for your restaurant ? * ||| Quelles améliorations votre partenariat avec Deliveroo vous a -t -il permis de faire pour votre restaurant ? * 

Buffon Buffon | w_freq: 7 - 7 | wiki_freq: 2008 - 1930 | sentence_idx: 32194 | align_1: 2-6 | align_2: 3-11 | entity: Buffon - Buffon |    I mean Buffon showed me his real rabbits . ||| C’ est - à - dire Buffon , il m’ a montré ses vrais lapins . 

AOM AOM | w_freq: 2 - 2 | wiki_freq: 236 - 231 | sentence_idx: 90905 | align_1: 1-1 | align_2: 2-6 | entity: AOM - AOM |    The AOM visited Macedonia on 13 and 14 March to assess the improvement of the legal protection system for asylum . ||| L’ AOM s’ est r endue en Macédoine les 13 et 14 mars dernier afin d’ évaluer l’ amélioration du système de protection juridique relatif à l’ asile . 

Kalamata Kalamata | w_freq: 2 - 2 | wiki_freq: 960 - 291 | sentence_idx: 145074 | align_1: 3-2 | align_2: 4-7 | entity: Kalamata - Kalamata |    " Everybody in Kalamata talking about your music competition . ||| " À Kalamata , tout le monde parle de votre concours de musique . 

Pentagon Pentagone | w_freq: 227 - 220 | wiki_freq: 9756 - 1316 | sentence_idx: 159123 | align_1: 6-8 | align_2: 7-13 | entity: Pentagon - Pentagone |    Renovation to revolution : Was the Pentagon attacked from within ? ||| De la rénovation à la révolution : Le Pentagone a -t -il été attaqué de l’ intérieur ? 

Jotham Jotham | w_freq: 3 - 3 | wiki_freq: 243 - 38 | sentence_idx: 165833 | align_1: 12-12 | align_2: 13-17 | entity: Jotham - Jotham |    The sermon ends with a question : “ How many blessings did Jotham fail to receive , simply because he neglected church ? ” ||| Le sermon se termine par une question : " Combien de bénédictions Jotham n' a -t -il pas reçu , simplement parce qu' il a négligé l' église ? " 

Hamas Hamas | w_freq: 839 - 842 | wiki_freq: 10491 - 2724 | sentence_idx: 184034 | align_1: 8-10 | align_2: 9-16 | entity: Hamas - Hamas |    MEQ : Are such attacks as those by Hamas legitimate " resistance " ? ||| MEQ : les attaques telles que celles effectuées par le Hamas sont - elles de la légitime " résistance " ? 

