vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 

dependence dépendance | w_freq: 162 - 332 | wiki_freq: 13273 - 10555 | sentence_idx: 1714 | align_1: 2-4 | align_2: 3-8 |    Moreover , dependence on critical natural resources extends to Europe , which needs to secure the import of these minerals at a reasonable price . ||| En outre , la dépendance à l’ égard de ressources naturelles critiques s’ étend à l’ Europe , qui doit assurer l’ importation de ces minéraux à un prix raisonnable . 

Anyhow Quoi | w_freq: 12 - 506 | wiki_freq: 258 - 4268 | sentence_idx: 2301 | align_1: 0-0 | align_2: 1-5 |    Anyhow , this is no longer the main problem on the way of peace . ||| Quoi qu’ il en soit , ce n’ est plus le problème principal sur la voie de la paix . 

11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue . 

provoke provoquer | w_freq: 101 - 237 | wiki_freq: 5107 - 12388 | sentence_idx: 2841 | align_1: 2-2 | align_2: 3-8 |    Shall we provoke the Lord with jealousy ? ||| Voulons -nous provoquer [ e ] la jalousie du Seigneur ? 

Golem golem | w_freq: 2 - 1 | wiki_freq: 1143 - 146 | sentence_idx: 3458 | align_1: 5-5 | align_2: 6-10 |    Was it because the Magma Golem beat her up ? ||| Est -ce parce que le golem de magma l’ a battue ? 

1.5-degree 1,5 | w_freq: 1 - 168 | wiki_freq: 4 - 10921 | sentence_idx: 4946 | align_1: 1-3 | align_2: 2-8 |    A 1.5-degree world helps no one , and that includes every one of us here and every Canadian we represent . ||| Un objectif de 1,5 degré à l’ échelle mondiale n’ est bon pour personne , y compris chacun d’ entre nous ici présents et chaque Canadien que nous représentons . 

