E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 | entity: none - E-32 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible . 

NCI002 NCI002 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 20599 | align_1: 2-4 | align_2: 3-8 | entity: NCI002 - NCI002 |    Probably because NCI002 failed to create enough antibodies . ||| Sans doute parce que NCI002 n’ a pas réussi à créer suffisamment d’ anticorps . 

E-79 E-79 | w_freq: 14 - 15 | wiki_freq: 7 - 2 | sentence_idx: 44069 | align_1: 0-0 | align_2: 1-7 | entity: none - E-79 Fiston |    E-79 You 've been paralyzed like that a long time son , " but even now , Lord . " ||| E-79 Fiston , cela fait longtemps que tu es paralysé comme cela , « mais , même maintenant , Seigneur » . 

Mihigo Mihigo | w_freq: 1 - 1 | wiki_freq: 71 - 48 | sentence_idx: 49025 | align_1: 8-15 | align_2: 9-20 | entity: Kizito Mihigo - Monsieur Kizito Mihigo |    We also welcome the release of Mr Kizito Mihigo at the same time with 2138 other prisoners . ||| Nous nous réjouissons également de ce qu’ un autre prisonnier de conscience , Monsieur Kizito Mihigo , ait été libéré en même temps que 2138 autres prisonniers . 

E-48 E-48 | w_freq: 18 - 19 | wiki_freq: 3 - 3 | sentence_idx: 58126 | align_1: 0-0 | align_2: 1-4 | entity: none - E-48 |    E-48 Now , I want to say something to you , you that 's been here all week . ||| E-48 ( 95 ) Maintenant , je veux vous dire quelque chose , vous qui avez été ici toute la semaine . 

NEWater NEWater | w_freq: 1 - 1 | wiki_freq: 75 - 1 | sentence_idx: 80806 | align_1: 6-7 | align_2: 7-14 | entity: none - NEWater |    If Singapore does not have enough NEWater after 2011 , that is Singapore 's own doing , right ? ||| Si Singapour n' a pas assez de NEWater [ Ndt : eau recyclée ] après 2011 , cela ne regarde que Singapour , n' est -ce pas ? 

Cosmogonies Cosmogonies | w_freq: 1 - 1 | wiki_freq: 4 - 14 | sentence_idx: 84519 | align_1: 2-3 | align_2: 3-7 | entity: Cosmogonies " Water " - Cosmogonies |    In all Cosmogonies " Water " plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important . 

Kortenoeven Kortenoeven | w_freq: 1 - 1 | wiki_freq: 14 - 0 | sentence_idx: 91049 | align_1: 0-0 | align_2: 1-5 | entity: Kortenoeven - Kortenoeven |    Kortenoeven furthermore inquired whether the size of the Iranian Embassy in The Hague was proportional to actual relations between Iran and the Netherlands ? ||| Kortenoeven s’ est , de plus , enquis de savoir si la taille de l’ Ambassade iranienne à la Haye était proportionnelle au niveau réel des relations entre l’ Iran et les Pays - Bas ? 

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 97305 | align_1: 0-0 | align_2: 1-4 | entity: none - E-15 |    E-15 But , you know , if I said anything different than what 's in my heart , I 'd be a hypocrite . ||| E-15 ( 12 ) Mais , vous savez , si je disais autre chose que ce qui est dans mon coeur , je serais un hypocrite . 

L-260 E-260 | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 118371 | align_1: 0-0 | align_2: 1-4 | entity: none - E-260 |    L-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir . 

E-126 E-126 | w_freq: 11 - 14 | wiki_freq: 33 - 9 | sentence_idx: 131195 | align_1: 0-0 | align_2: 1-4 | entity: none - E-126 |    E-126 We have had many great battles , spiritual battles . ||| E-126 ( 73 ) Nous avons eu beaucoup de grandes batailles , des batailles spirituelles . 

E-24 E-24 | w_freq: 25 - 22 | wiki_freq: 16 - 2 | sentence_idx: 136294 | align_1: 0-0 | align_2: 1-4 | entity: none - E-24 |    E-24 You see , there 's probably one or two strangers with us this morning . ||| E-24 ( 9 ) Vous voyez , il y a probablement un ou deux étrangers parmi nous , ce matin . 

BULLY-180….what BULLY-180 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 139696 | align_1: 0-0 | align_2: 1-8 | entity: none - BULLY-180 |    BULLY-180….what ’s in a name ? ||| BULLY-180 … .Qu' est -ce qu' il y a dans un nom ? 

IMMAYAH IMMAYAH | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 167250 | align_1: 10-9 | align_2: 11-13 | entity: none - IMMAYAH |    Do you really have the RUACH ha KODESH , your IMMAYAH within ? ||| Avez -vous réellement la RUACH ha KODESH , votre IMMAYAH , à l’ intérieur de vous ? 

