11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | entity: 11.1 Party - none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue . 

Golem golem | w_freq: 2 - 1 | wiki_freq: 1143 - 146 | sentence_idx: 3458 | align_1: 5-5 | align_2: 6-10 | entity: the Magma Golem - none |    Was it because the Magma Golem beat her up ? ||| Est -ce parce que le golem de magma l’ a battue ? 

Kabila Kabila | w_freq: 81 - 80 | wiki_freq: 1596 - 1297 | sentence_idx: 10279 | align_1: 27-27 | align_2: 28-33 | entity: Joseph Kabila - Joseph Kabila |    “ I know that for many of us it 's hard to accept , but I say this with sincerity , I pay tribute to President Joseph Kabila . ||| « Je sais que c’ est difficile pour nombreux d’ entre nous d’ accepter , mais je le dis avec sincérité , je rends hommage à Joseph Kabila , Président de la République . 

E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 | entity: none - E-32 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible . 

NCI002 NCI002 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 20599 | align_1: 2-4 | align_2: 3-8 | entity: NCI002 - NCI002 |    Probably because NCI002 failed to create enough antibodies . ||| Sans doute parce que NCI002 n’ a pas réussi à créer suffisamment d’ anticorps . 

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 25168 | align_1: 8-7 | align_2: 9-11 | entity: Passover - Pâque |    " Let the sons of Israel keep the Passover at its appointed time . ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé . 

Nonviolence Nonviolence | w_freq: 18 - 3 | wiki_freq: 383 - 7 | sentence_idx: 35027 | align_1: 11-12 | align_2: 12-17 | entity: the World March for Peace and Nonviolence - Paix et la Nonviolence |    Ever since the end of the World March for Peace and Nonviolence eight years ago , many questions have been asked about the possibility of doing a Second World March . ||| Depuis la fin de la Marche mondiale pour la Paix et la Nonviolence , il y a huit ans , de nombreuses questions se sont posées sur la possibilité d’ organiser une deuxième Marche mondiale . 

Moriah Morija | w_freq: 6 - 2 | wiki_freq: 946 - 19 | sentence_idx: 36828 | align_1: 6-3 | align_2: 7-12 | entity: Moriah - Morija |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| au pays de Morija , et là offre - le en holocauste , sur une des montagnes que je te dirai . ” { La Genèse 22 : 2 } 

Beings Êtres | w_freq: 70 - 59 | wiki_freq: 777 - 101 | sentence_idx: 40151 | align_1: 20-23 | align_2: 21-28 | entity: none - Êtres nobles |    For the first time since you were permitted to enter limited consciousness , you are to be acknowledged as worthy Beings by your former ' masters . ' ||| Pour la première fois depuis que vous avez eu la permission d’ entrer dans la conscience limitée , vous serez reconnus comme des Êtres nobles , de la part de vos anciens « maîtres » . 

yesterday hier | w_freq: 708 - 859 | wiki_freq: 3562 - 1775 | sentence_idx: 41340 | align_1: 28-26 | align_2: 29-31 | entity: yesterday - none |    This operation was passed onto you by your father , and you will certainly transmit it to your son ; what is the difference between the champagnes of yesterday and the ones of today and tomorrow ? ||| Cette exploitation vous a été transmise par votre père , vous la transmettrez certainement à votre fils , quelle est la différence entre le champagne d' hier , celui d' aujourd'hui et celui de demain ? 

E-79 E-79 | w_freq: 14 - 15 | wiki_freq: 7 - 2 | sentence_idx: 44069 | align_1: 0-0 | align_2: 1-7 | entity: none - E-79 Fiston |    E-79 You 've been paralyzed like that a long time son , " but even now , Lord . " ||| E-79 Fiston , cela fait longtemps que tu es paralysé comme cela , « mais , même maintenant , Seigneur » . 

Trish Trish | w_freq: 7 - 7 | wiki_freq: 2366 - 536 | sentence_idx: 44257 | align_1: 4-5 | align_2: 5-9 | entity: none - Trish |    Success Stories : Why Trish Sold Everything She Owned to Travel ||| Histoires de réussite : Pourquoi Trish a -t -elle vendu tout ce qu' elle possédait pour voyager ? 

Yentob Yentob | w_freq: 1 - 1 | wiki_freq: 173 - 10 | sentence_idx: 47951 | align_1: 1-1 | align_2: 2-6 | entity: Yentob - Alan Yentob |    Did Yentob ever feel his salary — over £ 300,000 a year as creative director and documentary-maker — was excessive ? ||| Alan Yentob n’ a -t -il jamais pensé que son salaire – plus de 300   000   livres par an comme directeur créatif et documentariste – était excessif   ? 

Mihigo Mihigo | w_freq: 1 - 1 | wiki_freq: 71 - 48 | sentence_idx: 49025 | align_1: 8-15 | align_2: 9-20 | entity: Kizito Mihigo - Monsieur Kizito Mihigo |    We also welcome the release of Mr Kizito Mihigo at the same time with 2138 other prisoners . ||| Nous nous réjouissons également de ce qu’ un autre prisonnier de conscience , Monsieur Kizito Mihigo , ait été libéré en même temps que 2138 autres prisonniers . 

