11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.1 Party-none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue .

Golem golem | w_freq: 2 - 1 | wiki_freq: 1143 - 146 | sentence_idx: 3458 | align_1: 5-5 | align_2: 6-10 | ner_entity: the Magma Golem-none |    Was it because the Magma Golem beat her up ? ||| Est -ce parce que le golem de magma l’ a battue ?

Kabila Kabila | w_freq: 81 - 80 | wiki_freq: 1596 - 1297 | sentence_idx: 10279 | align_1: 27-27 | align_2: 28-33 | ner_entity: Joseph Kabila-Joseph Kabila |    “ I know that for many of us it 's hard to accept , but I say this with sincerity , I pay tribute to President Joseph Kabila . ||| « Je sais que c’ est difficile pour nombreux d’ entre nous d’ accepter , mais je le dis avec sincérité , je rends hommage à Joseph Kabila , Président de la République .

E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-32 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible .

Ridley Ridley | w_freq: 5 - 5 | wiki_freq: 8080 - 1649 | sentence_idx: 16270 | align_1: 1-1 | align_2: 2-6 | ner_entity: Ridley-Ridley |    “ Ridley first called me in mid-July of ( 2010 ) , ” he remembers . ||| « Ridley m’ a appelé la première fois à la mi-juillet ( 2010 ) » , se souvient -il .

NCI002 NCI002 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 20599 | align_1: 2-4 | align_2: 3-8 | ner_entity: NCI002-NCI002 |    Probably because NCI002 failed to create enough antibodies . ||| Sans doute parce que NCI002 n’ a pas réussi à créer suffisamment d’ anticorps .

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 25168 | align_1: 8-7 | align_2: 9-11 | ner_entity: Passover-Pâque |    " Let the sons of Israel keep the Passover at its appointed time . ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé .

Nonviolence Nonviolence | w_freq: 18 - 3 | wiki_freq: 383 - 7 | sentence_idx: 35027 | align_1: 11-12 | align_2: 12-17 | ner_entity: the World March for Peace and Nonviolence-Paix et la Nonviolence |    Ever since the end of the World March for Peace and Nonviolence eight years ago , many questions have been asked about the possibility of doing a Second World March . ||| Depuis la fin de la Marche mondiale pour la Paix et la Nonviolence , il y a huit ans , de nombreuses questions se sont posées sur la possibilité d’ organiser une deuxième Marche mondiale .

Moriah Morija | w_freq: 6 - 2 | wiki_freq: 946 - 19 | sentence_idx: 36828 | align_1: 6-3 | align_2: 7-12 | ner_entity: Moriah-Morija |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| au pays de Morija , et là offre - le en holocauste , sur une des montagnes que je te dirai . ” { La Genèse 22 : 2 }

