E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-32 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible .

NCI002 NCI002 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 20599 | align_1: 2-4 | align_2: 3-8 | ner_entity: NCI002-NCI002 |    Probably because NCI002 failed to create enough antibodies . ||| Sans doute parce que NCI002 n’ a pas réussi à créer suffisamment d’ anticorps .

Nonviolence Nonviolence | w_freq: 18 - 3 | wiki_freq: 383 - 7 | sentence_idx: 35027 | align_1: 11-12 | align_2: 12-17 | ner_entity: the World March for Peace and Nonviolence-Paix et la Nonviolence |    Ever since the end of the World March for Peace and Nonviolence eight years ago , many questions have been asked about the possibility of doing a Second World March . ||| Depuis la fin de la Marche mondiale pour la Paix et la Nonviolence , il y a huit ans , de nombreuses questions se sont posées sur la possibilité d’ organiser une deuxième Marche mondiale .

Moriah Morija | w_freq: 6 - 2 | wiki_freq: 946 - 19 | sentence_idx: 36828 | align_1: 6-3 | align_2: 7-12 | ner_entity: Moriah-Morija |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| au pays de Morija , et là offre - le en holocauste , sur une des montagnes que je te dirai . ” { La Genèse 22 : 2 }

Beings Êtres | w_freq: 70 - 59 | wiki_freq: 777 - 101 | sentence_idx: 40151 | align_1: 20-23 | align_2: 21-28 | ner_entity: none-Êtres nobles |    For the first time since you were permitted to enter limited consciousness , you are to be acknowledged as worthy Beings by your former ' masters . ' ||| Pour la première fois depuis que vous avez eu la permission d’ entrer dans la conscience limitée , vous serez reconnus comme des Êtres nobles , de la part de vos anciens « maîtres » .

E-79 E-79 | w_freq: 14 - 15 | wiki_freq: 7 - 2 | sentence_idx: 44069 | align_1: 0-0 | align_2: 1-7 | ner_entity: none-E-79 Fiston |    E-79 You 've been paralyzed like that a long time son , " but even now , Lord . " ||| E-79 Fiston , cela fait longtemps que tu es paralysé comme cela , « mais , même maintenant , Seigneur » .

Yentob Yentob | w_freq: 1 - 1 | wiki_freq: 173 - 10 | sentence_idx: 47951 | align_1: 1-1 | align_2: 2-6 | ner_entity: Yentob-Alan Yentob |    Did Yentob ever feel his salary — over £ 300,000 a year as creative director and documentary-maker — was excessive ? ||| Alan Yentob n’ a -t -il jamais pensé que son salaire – plus de 300   000   livres par an comme directeur créatif et documentariste – était excessif   ?

