Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 

Limbs Limbs | w_freq: 1 - 1 | wiki_freq: 487 - 37 | sentence_idx: 15336 | align_1: 10-11 | align_2: 11-15 | entity: Life Without Limbs - Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe - 800,000 people in the streets of Kyiv Ukraine ! ||| “ Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine ! 

S-228 S-228 | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 30159 | align_1: 1-4 | align_2: 2-9 | entity: Bill S-228 - S-228 |    Bill S-228 will die if not passed by end of session ||| Le projet de loi S-228 mourra s’ il n’ est pas adopté avant la fin de la session 

E-36 E-36 | w_freq: 20 - 21 | wiki_freq: 2 - 2 | sentence_idx: 32486 | align_1: 0-0 | align_2: 1-4 | entity: E-36 - none |    E-36 Many things , if we had time to go into what He done in the natural seed , how they did that through Isaac 's seed . ||| E-36 ( 94 ) Beaucoup de choses , si nous avions le temps d’ aborder ce qu’ Il a accompli à travers la semence naturelle , comment ils ont fait cela au travers de la semence d’ Isaac . 

Jordanians Jordaniens | w_freq: 19 - 18 | wiki_freq: 653 - 155 | sentence_idx: 42759 | align_1: 14-14 | align_2: 15-19 | entity: Jordanians - Jordaniens |    Behind all of these demands and debate , lies a big question : are Jordanians ruling Jordan ? ||| Derrière toutes ces revendications et débats , se cache une grande question : les Jordaniens sont -ils ceux qui dirigent la Jordanie ? 

Medjugorje Medjugorje | w_freq: 43 - 43 | wiki_freq: 433 - 61 | sentence_idx: 63227 | align_1: 8-13 | align_2: 9-20 | entity: Medjugorje - Medjugorje |    He told me while the bus was entering Medjugorje something happened with him . ||| Il m' a dit qu' au moment même où le bus entrait à Medjugorje , il s' est passé quelque chose en lui . 

Macina Macina | w_freq: 2 - 2 | wiki_freq: 143 - 347 | sentence_idx: 69101 | align_1: 7-5 | align_2: 8-9 | entity: Macina - Macina |    As a result , the people of Macina testified that their animals began to cross the river , which had not been possible for three years . ||| Aussi , les populations de Macina ont - elles témoigné que leurs animaux ont commencé à traverser le fleuve , ce qui n’ était pas possible depuis trois ans . 

N145 N145 | w_freq: 1 - 1 | wiki_freq: 22 - 30 | sentence_idx: 70249 | align_1: 15-12 | align_2: 16-17 | entity: N145 - N145 |    Therefore , the French themselves often prefer to get to Andorra via Spain on the N145 . ||| Ainsi , les Français mêmes préfèrent souvent arriver en Andorre par la N145 à travers l’ Espagne . 

Hermans Hermans | w_freq: 1 - 1 | wiki_freq: 645 - 274 | sentence_idx: 71968 | align_1: 13-15 | align_2: 14-19 | entity: Hermans - Hermans |    Birds fly there only three times a year ; they are called “ Hermans ” and resemble our bullfinches . ||| Les oiseaux n’ y volent que trois fois par an ; On les appelle " Hermans [ Germains ] " et ils ressemblent à nos bouvreuils . 

10/2011 10/2011 | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 77306 | align_1: 13-16 | align_2: 14-20 | entity: 10/2011 - none |    Even before the European rules such as regulation EC 1935/2004 and regulation EU 10/2011 came into force , the FDA regulation already existed in the United States of America . ||| Même avant que les règles européennes , comme le règlement CE 1935/2004 et le règlement UE 10/2011 , ne soient entrées en vigueur , le règlement FDA existait déjà aux États-Unis . 

Friedensgebete Friedensgebete | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 79492 | align_1: 2-2 | align_2: 3-9 | entity: Friedensgebete - Friedensgebete |    But the Friedensgebete continued to grow and by the spring , the authorities saw the prayer meetings as a threat . ||| Mais la Friedensgebete ( prière pour la paix ) continua de croître et , au printemps , les autorités considéraient les réunions de prière comme une menace . 

E-260 E-260 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 81314 | align_1: 0-0 | align_2: 1-4 | entity: none - E-260 |    E-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir . 

Protectors Protecteurs | w_freq: 8 - 7 | wiki_freq: 654 - 78 | sentence_idx: 93526 | align_1: 13-16 | align_2: 14-22 | entity: none - Protecteurs de l’ Eau |    And , as Morton County has made clear , so long as Water Protectors pray and demonstrate , it will continue to perpetrate violence on this community . ||| Et , comme le Comté de Morton l’ a clairement fait savoir , tant que les Protecteurs de l’ Eau continueront à prier et manifester , ils continueront à employer la violence contre la communauté . 

Epics Epics | w_freq: 5 - 6 | wiki_freq: 440 - 9 | sentence_idx: 94220 | align_1: 3-5 | align_2: 4-9 | entity: none - Epics |    In XP , Epics are vulgarly “ Big user-stories ” and nothing more . ||| Dans l’ XP , les Epics ( Epopées ) sont vulgairement des “ Big user - stories ” et rien de plus . 

E-62 E-62 | w_freq: 27 - 28 | wiki_freq: 2 - 1 | sentence_idx: 95264 | align_1: 0-0 | align_2: 1-4 | entity: none - E-62 |    E-62 Now , another great seed was planted . ||| E-62 ( 100 ) Maintenant , une autre grande Semence fut plantée . 

Fora Fora | w_freq: 3 - 4 | wiki_freq: 845 - 322 | sentence_idx: 99942 | align_1: 40-42 | align_2: 41-50 | entity: Juiz de Fora - Holy House of Juiz de Fora |    “ First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)]. 

Gavi Gavi | w_freq: 13 - 12 | wiki_freq: 335 - 165 | sentence_idx: 102095 | align_1: 0-0 | align_2: 1-6 | entity: Gavi - Gavi |    Gavi only contributed 50 % of the cost of the vaccine during the first year of introduction . ||| Gavi n’ a contribué qu’ à hauteur de 50 % du coût du vaccin au cours de la première année d’ introduction . 

Torso Torso | w_freq: 1 - 1 | wiki_freq: 570 - 91 | sentence_idx: 108485 | align_1: 7-8 | align_2: 8-12 | entity: the Turning Torso - Turning Torso |    But what is special about the Turning Torso is not so much its height as its strange architecture … The tower turns on itself at 90 degrees ! ||| Mais ce qui est particulier avec la Turning Torso , ce n’ est pas tant sa hauteur que son architecture étrange … La tour tourne sur elle-même à 90 degrés ! 

M102 M102 | w_freq: 1 - 1 | wiki_freq: 129 - 58 | sentence_idx: 109260 | align_1: 12-13 | align_2: 13-19 | entity: none - M102 |    It appears not necessarily obvious that this is the same object as M102 described above . ||| il n' est pas forcément évident que ceci soit le même objet que M102 , à partir de la description ci - dessus . 

Moriah Moriah | w_freq: 11 - 2 | wiki_freq: 946 - 111 | sentence_idx: 118301 | align_1: 6-4 | align_2: 7-9 | entity: Moriah - pays Moriah |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays Moriah et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

59:16 59:16 | w_freq: 3 - 3 | wiki_freq: 8 - 0 | sentence_idx: 135813 | align_1: 0-0 | align_2: 1-4 | entity: 59:16 - none |    59:16 Like the devil , when he says to the human being , ' Disbelieve . ' ||| 59:16 : ils sont semblables au Diable quand il dit à l' homme : ‹Sois incrédule›. 

Margolis Margolis | w_freq: 4 - 4 | wiki_freq: 994 - 102 | sentence_idx: 138914 | align_1: 5-7 | align_2: 6-11 | entity: Margolis - Margolis |    I therefore also agree with Margolis that the Iranian oil industry can not be protected from a determined US / Israeli attack . ||| Je suis donc également d’ accord avec Margolis lorsqu’ il dit que l’ industrie pétrolière iranienne ne peut pas être protégée contre une attaque israélo - américaine déterminée . 

E-15 E-15 | w_freq: 15 - 19 | wiki_freq: 34 - 6 | sentence_idx: 144371 | align_1: 0-0 | align_2: 1-4 | entity: none - E-15 |    E-15 Brother Oral 's starting some kind of a Bible school out there now , I believe , or something . ||| E-15 ( 14 ) Frère Oral ouvre une sorte d' école biblique là maintenant , je pense , ou quelque chose comme cela . 

WASHINGTON WASHINGTON | w_freq: 6 - 6 | wiki_freq: 52 - 2 | sentence_idx: 152615 | align_1: 0-0 | align_2: 1-4 | entity: WASHINGTON - WASHINGTON |    WASHINGTON -- Americans are living longer than ever , but not as long as people in 41 other countries . ||| WASHINGTON ( AP ) -- Les Américains vivent plus longtemps que jamais , mais pas aussi longtemps que les habitants de 41 autres pays . 

Precaution Précaution | w_freq: 3 - 2 | wiki_freq: 114 - 74 | sentence_idx: 163391 | align_1: 5-5 | align_2: 6-10 | entity: Chebsko – Environmental Precaution - Précaution |    The ‘ Chebsko – Environmental Precaution ’ project includes three separate improvement works . ||| Le projet « Chebsko – Précaution en matière d’ environnement » regroupe trois travaux d’ amélioration distincts . 

