Directive directive | w_freq: 748 - 961 | wiki_freq: 8800 - 10212 | sentence_idx: 2541 | align_1: 17-21 | align_2: 18-28 | entity: Article 11 of the Copyright Directive - none |    Furthermore , we highlight the possibility of the EU legislation and notably Article 11 of the Copyright Directive to draw from the previous experience of the very similar national legislation in Germany , which failed to give satisfactory results . ||| En outre , nous soulignons le risque que la législation de l’ UE , et notamment l’ article 11 de la directive sur le droit d’ auteur , puisse s’ inspirer de l’ expérience antérieure de la législation nationale très similaire en Allemagne , qui n’ a pas donné des résultats satisfaisants . 

Palestinians Palestiniens | w_freq: 1293 - 1302 | wiki_freq: 12372 - 2644 | sentence_idx: 2569 | align_1: 4-9 | align_2: 5-13 | entity: Palestinians - Palestiniens |    Peace between Israelis and Palestinians does not need more plans or ‎conferences such as the one to be held in Paris on Jan. 15 . ||| Pour faire la paix entre les Israéliens et les Palestiniens , il n’ est pas besoin de faire plus de plans ou d’ autres conférences comme celle qui doit se tenir à Paris le 15 janvier . 

Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 

Duma Douma | w_freq: 13 - 24 | wiki_freq: 8652 - 1858 | sentence_idx: 7123 | align_1: 1-0 | align_2: 2-6 | entity: Duma - Douma |    And Duma is delighted that the EU is rethinking its stance vis-à-vis Turkey : ||| Douma , de son côté , se réjouit que l' UE ait révisé sa position concernant la Turquie : 

Chicks poussins | w_freq: 2 - 7 | wiki_freq: 2988 - 1250 | sentence_idx: 7525 | align_1: 10-13 | align_2: 11-18 | entity: ' The Downtown Chicks … And Jim - none |    " We now refer to ourselves as ' The Downtown Chicks … And Jim . ' " ||| " Nous nous référons maintenant à nous - mêmes comme étant ' les poussins du centre - ville … et Jim . ' " 

Symposium Symposium | w_freq: 43 - 34 | wiki_freq: 6486 - 720 | sentence_idx: 7531 | align_1: 1-1 | align_2: 2-5 | entity: Symposium - Symposium |    The Symposium also stressed that the representatives of minorities in parliament must act and be considered as the representatives of the entire nation . ||| Le Symposium a , par ailleurs , souligné que les représentants des minorités au Parlement doivent agir et être considérés comme des représentants de la nation tout entière . 

Napoli Napoli | w_freq: 15 - 8 | wiki_freq: 6566 - 1383 | sentence_idx: 11552 | align_1: 3-3 | align_2: 4-7 | entity: Napoli - Napoli |    They say that Napoli has the best pizza in the world mainly because of their water and their temperature . ||| Ils disent que Napoli ( Naples ) a la meilleure pizza au monde principalement à cause de leur eau et de leur température . 

Limbs Limbs | w_freq: 1 - 1 | wiki_freq: 487 - 37 | sentence_idx: 15336 | align_1: 10-11 | align_2: 11-15 | entity: Life Without Limbs - Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe - 800,000 people in the streets of Kyiv Ukraine ! ||| “ Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine ! 

Yesterday Hier | w_freq: 193 - 191 | wiki_freq: 4941 - 457 | sentence_idx: 20854 | align_1: 0-0 | align_2: 1-6 | entity: Yesterday - none |    Yesterday Defense Secretary Mattis called for a ceasefire in Yemen : ||| Hier , le secrétaire à la Défense , Mattis , a appelé à un cessez-le-feu au Yémen : 

S-228 S-228 | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 30159 | align_1: 1-4 | align_2: 2-9 | entity: Bill S-228 - S-228 |    Bill S-228 will die if not passed by end of session ||| Le projet de loi S-228 mourra s’ il n’ est pas adopté avant la fin de la session 

E-36 E-36 | w_freq: 20 - 21 | wiki_freq: 2 - 2 | sentence_idx: 32486 | align_1: 0-0 | align_2: 1-4 | entity: E-36 - none |    E-36 Many things , if we had time to go into what He done in the natural seed , how they did that through Isaac 's seed . ||| E-36 ( 94 ) Beaucoup de choses , si nous avions le temps d’ aborder ce qu’ Il a accompli à travers la semence naturelle , comment ils ont fait cela au travers de la semence d’ Isaac . 

Gazan Gaza | w_freq: 10 - 951 | wiki_freq: 553 - 4952 | sentence_idx: 33356 | align_1: 15-17 | align_2: 16-21 | entity: Gazan - Gaza |    They are testing their weapons on us and on our children , ” said a Gazan cancer patient . ||| Elles testent leurs armes sur nous et sur nos enfants » , a déclaré un patient de Gaza atteint d’ un cancer . 

biennial biannuel | w_freq: 10 - 2 | wiki_freq: 6515 - 60 | sentence_idx: 34891 | align_1: 11-18 | align_2: 12-24 | entity: biennial - none |    On this basis the Commission intends to produce an annual or biennial EU crime report in the future . ||| Sur cette base , la Commission a l’ intention de publier à l’ avenir un rapport annuel ou biannuel sur la criminalité dans l’ UE . 

Syrians Syriens | w_freq: 191 - 191 | wiki_freq: 3109 - 940 | sentence_idx: 40202 | align_1: 12-14 | align_2: 13-19 | entity: Syrians - Syriens |    “ There will also be an integrated military command so that the Syrians themselves can secure the liberation of their territory in a coherent way . ||| Il y aura également un commandement militaire intégré de façon à ce que les Syriens puissent , eux - mêmes , assurer la libération de leur territoire de manière cohérente . 

Jordanians Jordaniens | w_freq: 19 - 18 | wiki_freq: 653 - 155 | sentence_idx: 42759 | align_1: 14-14 | align_2: 15-19 | entity: Jordanians - Jordaniens |    Behind all of these demands and debate , lies a big question : are Jordanians ruling Jordan ? ||| Derrière toutes ces revendications et débats , se cache une grande question : les Jordaniens sont -ils ceux qui dirigent la Jordanie ? 

