Internas Internas | w_freq: 1 - 1 | wiki_freq: 90 - 5 | sentence_idx: 224 | align_1: 13-14 | align_2: 14-19 |    Secondly , we have greatly improved controls , and the Servicio de Rentas Internas has also improved a lot in terms of human resources . ||| Deuxièmement , nous avons beaucoup amélioré les contrôles , et le Servicio de Rentas Internas ( SRI ) s’ est aussi beaucoup amélioré en termes de ressources humaines . 

yourself toi | w_freq: 3645 - 1697 | wiki_freq: 9426 - 6935 | sentence_idx: 554 | align_1: 11-17 | align_2: 12-22 |    Do no depend on others ' ideas or concepts because inside yourself is the Wisdom . ||| Ne dépends pas d’ idées ou de concepts d’ autrui , parce qu’ à l’ intérieur de toi - même , se trouve la Sagesse . 

orgasm orgasme | w_freq: 165 - 167 | wiki_freq: 2072 - 693 | sentence_idx: 1490 | align_1: 2-2 | align_2: 3-6 |    This multi orgasm is a succession of orgasms in one SAME report . ||| Ce multi orgasme -là , c’ est une succession d’ orgasmes lors d’ un MÊME rapport . 

right-leaning disséquée | w_freq: 1 - 1 | wiki_freq: 496 - 41 | sentence_idx: 1949 | align_1: 4-6 | align_2: 5-11 |    One of them was right-leaning , ||| L' une d' entre-elles a été disséquée ( à droite ) . 

DMC DMC | w_freq: 6 - 6 | wiki_freq: 1622 - 501 | sentence_idx: 2562 | align_1: 2-2 | align_2: 3-7 |    But Run DMC singlehandedly brought that shoe back ” . ||| Mais Run DMC a , à lui seul , ramené cette chaussure " " . 

yuan yuans | w_freq: 72 - 49 | wiki_freq: 6168 - 809 | sentence_idx: 4109 | align_1: 2-2 | align_2: 3-6 |    Twenty thousand yuan was no small amount in 1994 . ||| Vingt mille yuans , ce n’ était pas une petite somme en 1994 . 

E-80 E-80 | w_freq: 15 - 17 | wiki_freq: 10 - 5 | sentence_idx: 6589 | align_1: 0-0 | align_2: 1-4 |    E-80 But Jesus corrected His own mother . ||| E-80 ( 43 ) Mais Jésus a corrigé Sa propre mère . 

payoffs paiement | w_freq: 4 - 1030 | wiki_freq: 977 - 12762 | sentence_idx: 7029 | align_1: 21-21 | align_2: 22-26 |    It is really a question about which demand we consider to be a transitional demand : the three year moratorium of payoffs which SYRIZA proposes or the cancellation of the debt advanced buy ANTARSYA ? ||| Il y a réellement une question : quelle demande considérons -nous comme vraiment transitoire ? le moratoire de trois ans de paiement de la dette , que propose Syriza , ou celle de l’ annulation de la dette avancée par Antarsya ? 

box-sizing sizing | w_freq: 1 - 2 | wiki_freq: 2 - 2 | sentence_idx: 7328 | align_1: 6-8 | align_2: 7-14 |    This CSS rule below will apply box-sizing for all elements . ||| Cette règle CSS ci-dessous s' appliquera box - sizing de la box - sizing pour tous les éléments . 

box-sizing box | w_freq: 1 - 72 | wiki_freq: 2 - 9629 | sentence_idx: 7328 | align_1: 6-6 | align_2: 7-14 |    This CSS rule below will apply box-sizing for all elements . ||| Cette règle CSS ci-dessous s' appliquera box - sizing de la box - sizing pour tous les éléments . 

Gonzales Gonzales | w_freq: 29 - 28 | wiki_freq: 7599 - 1083 | sentence_idx: 7349 | align_1: 0-0 | align_2: 1-5 |    Gonzales later told me that this person was not showing the proper respect to his hosts by doing so . ||| Gonzales m’ a dit plus tard que cette personne n’ avait pas manifesté le respect approprié à ses hôtes en faisant cela . 

thou tu | w_freq: 101 - 6458 | wiki_freq: 3794 - 11825 | sentence_idx: 9503 | align_1: 10-10 | align_2: 11-16 |    To the Jews I have done no injury , as thou very well knowest . ||| Je n’ ai fait aucun tort aux Juifs , comme tu [ su ] le sais fort bien . 

cocktail cocktail | w_freq: 103 - 100 | wiki_freq: 6555 - 1883 | sentence_idx: 9773 | align_1: 13-12 | align_2: 14-17 |    Naturally , there can not be a question how to make an oxygen cocktail at home . ||| Naturellement , il n’ est pas question de savoir comment préparer un cocktail à base d’ oxygène à la maison . 

enflaming enflamme | w_freq: 1 - 7 | wiki_freq: 0 - 792 | sentence_idx: 10315 | align_1: 13-12 | align_2: 14-17 |    Why the power and beauty of the Mass of the Ages is not enflaming hearts everywhere ? ||| Pourquoi la puissance et la beauté de la Messe des Âges n' enflamme -t -elle pas les cœurs partout ? 

Maybe Peut | w_freq: 952 - 2054 | wiki_freq: 6736 - 3705 | sentence_idx: 10637 | align_1: 0-0 | align_2: 1-4 |    Maybe you need a knowledge base , maybe you need a better F.A.Q. on your website ... ||| Peut - être avez -vous besoin d' une knowledge base , ou d' une meilleure F.A.Q. sur votre site ... 

proves prouve | w_freq: 352 - 361 | wiki_freq: 13923 - 5512 | sentence_idx: 10961 | align_1: 4-6 | align_2: 5-10 |    D.11.2 But surely Chile proves that “ economic freedom ” creates political freedom ? ||| D.11.2 – Mais le chili ne prouve -t -il pas que la « liberté économique » créé la liberté politique ? 

37:25 37:25 | w_freq: 1 - 1 | wiki_freq: 7 - 3 | sentence_idx: 11140 | align_1: 0-0 | align_2: 1-9 |    37:25 What aileth you that ye help not one another ? ||| 37:25 ( Et on leur demandera ) : « Pourquoi ne vous portez -vous pas secours les uns les autres ? » 

recycle recycler | w_freq: 84 - 77 | wiki_freq: 1896 - 659 | sentence_idx: 13159 | align_1: 21-24 | align_2: 22-29 |    The priest offers some simple suggestions : " Every citizen should re-use everything that can be re-used and learn how to recycle everyday materials . ||| Le prêtre offre un certain nombre de suggestions simples : « Chaque citoyen devrait réutiliser tout ce qui pourrait l’ être et apprendre à recycler les matériaux d’ usage quotidien . 

hopefully espère | w_freq: 201 - 1800 | wiki_freq: 3850 - 7846 | sentence_idx: 13476 | align_1: 6-9 | align_2: 7-14 |    “ So the title ( and hopefully salary increase ) , become a formality . ” ||| Alors l' intitulé du poste ( et on l' espère , l' augmentation du salaire ) , deviennent une formalité " . 

Directive directive | w_freq: 746 - 964 | wiki_freq: 8800 - 10212 | sentence_idx: 14529 | align_1: 13-19 | align_2: 14-24 |    For the further implementation of these two freedoms , expectations concerning the Services Directive adopted in 2006 are high , as it is of crucial importance for the completion of the internal market . ||| Pour la poursuite de la mise en œuvre de ces deux libertés , les attentes par rapport à la directive « Services » , adoptée en 2006 , sont grandes , étant donné qu' elle revêt une importance considérable pour l' achèvement du marché intérieur . 

tire pneu | w_freq: 41 - 34 | wiki_freq: 11122 - 1565 | sentence_idx: 14668 | align_1: 21-23 | align_2: 22-27 |    Then , thanks to a code called DOT ( Department of Transportation ) , we can know where and when the tire was built . ||| Après , grâce à un code qu’ on appelle DOT ( Department Of Transportation ) , on peut savoir où et quand le pneu a -t -il été construit . 

331There 331 | w_freq: 1 - 8 | wiki_freq: 0 - 1046 | sentence_idx: 15124 | align_1: 0-0 | align_2: 1-5 |    331There is no conflict , for my will is Yours . ||| 331 – Il n’ y a pas de conflit , car ma volonté est la Tienne . 

expires expiration | w_freq: 51 - 125 | wiki_freq: 2493 - 2303 | sentence_idx: 15659 | align_1: 8-8 | align_2: 9-12 |    retain the record for one year after it expires or is revoked . " ||| conserve le document pendant un an suivant l’ expiration de l’ autorisation ou sa révocation ; » 

