Internas Internas | w_freq: 1 - 1 | wiki_freq: 90 - 5 | sentence_idx: 224 | align_1: 13-14 | align_2: 14-19 | ner_entity: the Servicio de Rentas Internas-Servicio de Rentas Internas |    Secondly , we have greatly improved controls , and the Servicio de Rentas Internas has also improved a lot in terms of human resources . ||| Deuxièmement , nous avons beaucoup amélioré les contrôles , et le Servicio de Rentas Internas ( SRI ) s’ est aussi beaucoup amélioré en termes de ressources humaines .

DMC DMC | w_freq: 6 - 6 | wiki_freq: 1622 - 501 | sentence_idx: 2562 | align_1: 2-2 | align_2: 3-7 | ner_entity: Run DMC-Run DMC |    But Run DMC singlehandedly brought that shoe back ” . ||| Mais Run DMC a , à lui seul , ramené cette chaussure " " .

yuan yuans | w_freq: 72 - 49 | wiki_freq: 6168 - 809 | sentence_idx: 4109 | align_1: 2-2 | align_2: 3-6 | ner_entity: Twenty thousand yuan-Vingt mille yuans |    Twenty thousand yuan was no small amount in 1994 . ||| Vingt mille yuans , ce n’ était pas une petite somme en 1994 .

Gonzales Gonzales | w_freq: 29 - 28 | wiki_freq: 7599 - 1083 | sentence_idx: 7349 | align_1: 0-0 | align_2: 1-5 | ner_entity: Gonzales-Gonzales |    Gonzales later told me that this person was not showing the proper respect to his hosts by doing so . ||| Gonzales m’ a dit plus tard que cette personne n’ avait pas manifesté le respect approprié à ses hôtes en faisant cela .

37:25 37:25 | w_freq: 1 - 1 | wiki_freq: 7 - 3 | sentence_idx: 11140 | align_1: 0-0 | align_2: 1-9 | ner_entity: 37:25-none |    37:25 What aileth you that ye help not one another ? ||| 37:25 ( Et on leur demandera ) : « Pourquoi ne vous portez -vous pas secours les uns les autres ? »

Directive directive | w_freq: 746 - 964 | wiki_freq: 8800 - 10212 | sentence_idx: 14529 | align_1: 13-19 | align_2: 14-24 | ner_entity: the Services Directive-none |    For the further implementation of these two freedoms , expectations concerning the Services Directive adopted in 2006 are high , as it is of crucial importance for the completion of the internal market . ||| Pour la poursuite de la mise en œuvre de ces deux libertés , les attentes par rapport à la directive « Services » , adoptée en 2006 , sont grandes , étant donné qu' elle revêt une importance considérable pour l' achèvement du marché intérieur .

