DMC DMC | w_freq: 6 - 6 | wiki_freq: 1622 - 501 | sentence_idx: 2562 | align_1: 2-2 | align_2: 3-7 | entity: Run DMC - Run DMC |    But Run DMC singlehandedly brought that shoe back ” . ||| Mais Run DMC a , à lui seul , ramené cette chaussure " " . 

Karana Karana | w_freq: 5 - 2 | wiki_freq: 266 - 27 | sentence_idx: 16592 | align_1: 10-9 | align_2: 11-14 | entity: Karana - Karana |    The question asked here is , “ What challenges did Karana face while alone in the wilderness ? ” ||| La question posée ici est : « Quels défis Karana a -t -elle fait face tout seul dans le désert ? 

Nato Otan | w_freq: 32 - 103 | wiki_freq: 489 - 431 | sentence_idx: 22522 | align_1: 14-16 | align_2: 15-20 | entity: Nato - Otan |    At the same time we are aware that accession to the European Union and Nato do not exclusively involve advantages . ||| Nous sommes en même temps conscients que l’ adhésion à l’ Union européenne et à l’ Otan , ce ne sont pas uniquement des avantages . 

IFEA IFEA | w_freq: 1 - 1 | wiki_freq: 24 - 55 | sentence_idx: 26003 | align_1: 16-19 | align_2: 17-23 | entity: IFEA - IFEA |    Inaccuracies and technical errors of the so-called “ experts ” prove that no specialist of the IFEA really addressed the issue . ||| Les imprécisions et les erreurs techniques des soi - disant « experts » prouvent qu’ aucun spécialiste de l’ IFEA ne s’ est réellement penché sur le dossier . 

KIK KiK | w_freq: 1 - 1 | wiki_freq: 81 - 2 | sentence_idx: 35763 | align_1: 15-20 | align_2: 16-24 | entity: KIK - KiK |    We can not build a sustainable supply chain in the garment industry if companies like KIK do not commit . ||| Nous ne pouvons pas construire une chaîne d’ approvisionnement durable dans l’ industrie de la confection si des entreprises comme KiK ne s’ y engagent pas . 

An-148 An-148 | w_freq: 1 - 1 | wiki_freq: 75 - 12 | sentence_idx: 63147 | align_1: 5-6 | align_2: 6-10 | entity: An-148 - An-148 |    It is worth noting that An-148 is not a modification of An-74 , but an entirely new passenger aircraft . ||| Il convient de noter que le An-148 - ce n' est pas une modification de l' An-74 , et un avion de passagers complètement nouveau . 

Limbs Limbs | w_freq: 2 - 2 | wiki_freq: 487 - 37 | sentence_idx: 91271 | align_1: 10-11 | align_2: 11-15 | entity: Life Without Limbs - Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe - 800,000 people in the streets of Kyiv Ukraine ! ||| « Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine ! 

Dürer Dürer | w_freq: 3 - 3 | wiki_freq: 2336 - 1704 | sentence_idx: 95947 | align_1: 2-1 | align_2: 3-6 | entity: Dürer - Dürer |    Why did Dürer not finish the rest of the work ? ||| Pourquoi Dürer n’ a -t -il pas achevé le reste de l’ œuvre ? 

PWA PWA | w_freq: 11 - 12 | wiki_freq: 926 - 77 | sentence_idx: 98660 | align_1: 6-6 | align_2: 7-13 | entity: PWA - PWA |    Support the Palestinian Water Authority ( PWA ) on institutional and governance issues ; ||| soutenir la Palestinian Water Authority ( PWA , Autorité palestinienne de l’ eau ) sur les enjeux institutionnels et de gouvernance ; 

Achor Acor | w_freq: 3 - 3 | wiki_freq: 96 - 5 | sentence_idx: 99547 | align_1: 12-15 | align_2: 13-19 | entity: Achor - Acor |    Therefore the name of that place has been called the valley of Achor to this day . " ||| C’ est pourquoi on a appelé le nom de ce lieu - làla vallée d’ Acor * , jusqu’ à ce jour . 

Sanur Sanur | w_freq: 2 - 2 | wiki_freq: 219 - 26 | sentence_idx: 140627 | align_1: 6-7 | align_2: 7-12 | entity: Sanur - Sanur |    Rumah Aspirasi created his own in Sanur ten years ago out of concern for the environment . ||| Rumah Aspirasi a créé la sienne à Sanur , il y a dix ans par souci pour l’ environnement . 

UNHCR HCR | w_freq: 142 - 132 | wiki_freq: 2768 - 575 | sentence_idx: 153845 | align_1: 1-7 | align_2: 2-13 | entity: UNHCR - HCR |    Read UNHCR ’s latest report on refugee education , Left Behind : Refugee Education in Crisis . ||| Pour lire le tout dernier rapport du HCR ( en anglais ) sur l’ éducation des réfugiés , Left Behind : Refugee Education in Crisis . 

Rhee Rhee | w_freq: 2 - 2 | wiki_freq: 1941 - 349 | sentence_idx: 171504 | align_1: 17-23 | align_2: 18-27 | entity: Jhoon Rhee - Jhoon Rhee |    Ironically , few people — in America or his native South Korea — know much about Jhoon Rhee other than the aforementioned points . ||| Ironiquement , peu de gens – en Amérique ou en Corée du Sud , son pays natal – en savent beaucoup sur Jhoon Rhee , à l’ exception des points susmentionnés . 

Pentecostals pentecôtistes | w_freq: 15 - 24 | wiki_freq: 1058 - 382 | sentence_idx: 196290 | align_1: 12-26 | align_2: 13-30 | entity: Pentecostals - none |    E-60 You Methodists need it ; you Baptists need it ; you Pentecostals need it ; all of us need it . ||| E-60 Vous , les méthodistes , vous avez besoin de cela ; vous , les baptistes , vous avez besoin de cela ; vous , les pentecôtistes , vous avez besoin de cela ; nous avons tous besoin de cela . 

ICOR ICOR | w_freq: 7 - 7 | wiki_freq: 65 - 38 | sentence_idx: 202402 | align_1: 15-16 | align_2: 16-21 | entity: ICOR - ICOR |    That is why spreading the truth about the EU is a worldwide important task of ICOR . ||| Pour cette raison , diffuser la vérité sur l’ UE est une tâche importante de l’ ICOR à l’ échelle mondiale . 

Fuad Fuad | w_freq: 4 - 2 | wiki_freq: 1823 - 162 | sentence_idx: 230834 | align_1: 5-5 | align_2: 6-9 | entity: Fuad - Fuad |    In many conversations with him Fuad expressed his concern and commitment to the future of the country which he so loved . ” ||| « Dans plusieurs conversations avec Fuad , il a exprimé ses préoccupations et son engagement envers le futur de ce pays qu’ il aimait tant . » 

BIEN BIEN | w_freq: 1 - 7 | wiki_freq: 44 - 61 | sentence_idx: 233608 | align_1: 9-12 | align_2: 10-22 | entity: BIEN - BIEN |    That is what also Basic Income Earth Network ( BIEN ) Finland would like to see . ||| C’ est aussi ce que souhaiterait le Basic Income Earth Network ( BIEN , le Réseau mondial pour le revenu de base ) en Finlande . 

Magnitsky Magnitsky | w_freq: 17 - 7 | wiki_freq: 598 - 17 | sentence_idx: 246008 | align_1: 0-0 | align_2: 1-4 | entity: Magnitsky - Magnitsky |    Magnitsky mentioned in in testimony only in his October 2008 interrogation . ||| Magnitsky ne l’ a mentionné dans son témoignage que lors de son interrogatoire d’ octobre 2008 . 

AfD AfD | w_freq: 15 - 15 | wiki_freq: 1198 - 357 | sentence_idx: 246494 | align_1: 13-14 | align_2: 14-18 | entity: AfD - AfD |    Insecurity caused by the ongoing conflict in Afghanistan has been well managed by AfD , but it remains an ongoing threat to all development projects in the country . ||| L’ insécurité causée par le conflit actuel en Afghanistan a été bien gérée par AfD pour l’ instant , mais reste une menace constante à tous les projets de développement du pays . 

Rogovin Rogovin | w_freq: 4 - 4 | wiki_freq: 112 - 9 | sentence_idx: 262151 | align_1: 2-1 | align_2: 3-5 | entity: Rogovin - Rogovin |    How did Rogovin come to write Was There an Alternative ? ||| Comment Rogovin en est -il venu à écrire « Was There an Alternative ? » 

