WMO: ‘ Even if WMO agrees , I will still not pass on the data . ||| " Même si l' OMM est d' accord , je vais toujours pas passer sur les données .

WMO: This measurement principle is based on the “ Guide to Meteorological Instruments No 8 , WMO ” . ||| Ce principe de mesure est basé sur le « Guide des instruments météorologiques N ° 8 , WMO » .

WMO: However , the World Meteorological Organization ( WMO ) continues to use Celsius for some messages . ||| L’ Organisation mondiale de la météorologie ( OMM ) continue cependant à utiliser le Celsius pour certains messages .

Prius: But the Tesla driver gets all that and much more : the envy of the Prius drivers ! ||| Mais le conducteur de Tesla obtient tout cela et bien plus encore : la jalousie des conducteurs de Prius !

Prius: Prius has always been an ecological car , right from the start . ||| La Prius a toujours été une voiture écologique , dès le début .

Prius: Driving a Toyota Prius to fight global warming . ||| Conduire une Toyota Prius pour combattre le réchauffement climatique .

Prius: The Prius c is surprisingly spacious for a subcompact . ||| La Prius c est étonnamment spacieuse pour une sous-compacte .

Prius: We are confident that the Prius Plug is again ready to meet this challenge Ecological this year . " ||| Nous sommes convaincus que la Prius branchable est de nouveau prête à relever ce défi écologique cette année . »

Prius: How would you like to pay $ 150,000 for a Toyota Prius ? ||| Comment voulez -vous payer $ 150,000 pour une Toyota Prius ?

Prius: The Prius v was a particularly special grand prize because it represents the future of environmentally-friendly vehicles . ” ||| La Prius v est un grand prix bien spécial parce qu’ elle représente l’ avenir des véhicules écologiques . »

Prius: The years previous to the Inception of Creativity are known as Prius Creativitat , or “ Before Creativity . ” ||| Les années précédant la création de la créativité sont connues sous le nom de Prius Creativitat , ou « avant la créativité » .

Prius: " Some people say hybrid vehicles such as the Prius are only a bridge to the future . ||| “ Certaines personnes disent que les voitures hybrides comme la Prius ne sont qu’ un pont vers le futur .

Prius: Example of innovative material integration in the Prius II . ||| Exemple d' intégration de matériaux innovants dans la Prius II .

Prius: The redesigned and more efficient fourth   generation   Prius was released for retail customers in Japan in December 2015 . ||| La Prius quatrième génération redessinée et plus efficace a été libérée pour les clients de détail au Japon en décembre 2015 .

Bacalhau: Bacalhau is the number one fish of the country , it is cooked in a thousand ways and it is interesting to discover the creativity with which it prepares it . ||| Le bacalhau ( Morue en français ) est LE poisson numéro 1 du pays , on le cuisine de mille façons et il est intéressant de découvrir la créativité avec laquelle ils le préparent .

WINS: Less known that Bled , this region of Slovenia WINS to be a little more . ||| Moins connue que Bled , cette région de Slovénie gagne à l’ être un peu plus .

WINS: Do we have a marketing plan for win.win and/or TWINS ? ||| Avons -nous un plan marketing pour win.win et / ou TWINS ?

WINS: 10 Reasons Why Old School Love WINS ( And You 're Losing ) ||| 10 Raisons pour lesquelles l' amour de la vieille école gagne ( et vous perdez )

Dhu’l-Qarnain: And they ask you questions about Dhu’l-Qarnain . ||| Ils t’ interrogent au sujet de Dhou al - Qarnaïn ( l’ homme aux deux cornes ) .

PWA: Lastly , LPWAN protocols are simplified . ||| Enfin , les protocoles LPWAN sont simplifiés .

PWA: I am very happy , because it seems that the Aloha Classic IWT and PWA is confirmed also for next year ; so there will be fun and we 'll meet again in 12 months ! ||| Je suis très heureux , car il semble que le Aloha Classic IWT et le PWA soient confirmés également pour l’ année prochaine ; alors on s' amusera et on se reverra dans 12 mois !

PWA: Any website can be a PWA - here 's how to do it . ||| Tout site internet peut être une PWA -- voici comment faire .

PWA: I ’m a web developer who wants PWA support everywhere—so I want Apple supporting it . ||| Je suis un développeur web qui veut le support PWA partout — donc je veux qu' Apple le supporte .

PWA: The PWA ’s potential is starting to be developed with this first stage . ||| Le potentiel de la PWA commence à être exploité avec cette première étape .

PWA: It was also in 1995 that the Palestinian Water Authority ( PWA ) was founded . ||| C’ est également en 1995 que la Palestinian Water Authority ( PWA ) a été fondée .

PWA: Alex went even further and defined some of the technical aspects that make a ' PWA ' a PWA . ||| Alex est même allé plus loin et a défini certains des aspects techniques qui font une « PWA » une PWA .

PWA: I like the principle platform API - service worker - that enables the PWA model to work . ||| J’ aime la plate - forme de principe API - service worker - qui permet au modèle PWA de fonctionner .

Hermans: Hence , along with literary texts , ' rewritings ' are also produced under these constraints ( Hermans 1999 : 132 ) . ||| Ainsi , avec les textes littéraires , les « réécritures » sont également produites sous ces contraintes ( Hermans 1999:132 ) .

BIEN: DEMAIN CE SERA BIEN directed by Pauline Gay ||| Demain , ça sera bien de Pauline Gay

BIEN: FABIEN : I would add that our days at the World Championship Days were full . ||| FABIEN : J’ ajoute que nos journées de championnat du monde étaient bien remplies .

BIEN: DEMAIN CE SERA BIEN directed by Pauline Gay ||| Demain , ce sera bien Pauline Gay

BIEN: FABIEN : There are two important people , with whom I work in total confidence and have a access carte blanche . ||| FABIEN : Il s’ agit de deux personnes importantes pour moi avec qui je travaille dans la confiance totale et qui ont un accès carte blanche .

UNHCR: " UNHCR considers the current situation in Central America to be a protection crisis . ||| « Le HCR considère la situation actuelle en Amérique centrale comme une crise de protection internationale .

UNHCR: Will UNHCR fall back on platitudes rather than standards ? ||| Est -ce que le HCR reviendra aux platitudes plutôt qu’ aux standards ?

UNHCR: Pilot projects were implemented in 2003 by UNHCR and the UN Development Programme ( UNDP ) . ||| Des projets pilotes ont été mis en œuvre dans 2003 par le HCR et le Programme des Nations Unies pour le développement ( PNUD ) .

UNHCR: Reluctantly abandoning those hopes , he registered with UNHCR as a refugee in Syria that year . ||| En abandonnant à contrecœur cet espoir , il s' est enregistré auprès du HCR en tant que réfugié en Syrie cette année -là .

UNHCR: Audience members later told UNHCR resettlement experts that they now felt more sympathy for refugees . ||| Des spectateurs ont indiqué plus tard à des experts du HCR en réinstallation qu' ils ressentaient désormais davantage de compassion envers les réfugiés .

UNHCR: It is unlikely that all of the new arrivals will register with UNHCR immediately . ||| Il est peu probable que tous les nouveaux arrivants vont s’ inscrire immédiatement auprès du HCR .

UNHCR: It is unlikely that all of the new arrivals will register with UNHCR immediately . ||| Il est peu probable que tous les nouveaux arrivants vont s' inscrire immédiatement auprès du HCR .

UNHCR: It will would take up four different crises in which the UNHCR has operated : ||| Il prendra en charge quatre crises différentes au sein desquelles le HCR a opéré :

UNHCR: " Many detainees prayed for days to be part of UNHCR evacuations . " ||| « De nombreux détenus ont prié pendant des jours pour faire partie des évacuations du HCR . »

UNHCR: SHEKHADI , Iraq , August 6 ( UNHCR ) - It 's impossible to know how many people are now staying in this tiny mountain village in northern Iraq . ||| SHEKHADI , Iraq , 6 août ( HCR ) - Il est impossible de savoir combien de personnes se trouvent actuellement dans ce minuscule village de montagne situé dans le nord de l' Iraq .

UNHCR: The registration enabled us to meet all the refugees in the camp and to explain how UNHCR works in Tunisia . ||| L' enregistrement nous a permis de rencontrer tous les réfugiés du camp et de leur expliquer comment le HCR travaille en Tunisie .

UNHCR: 10 UNHCR 's problem , it was also a problem of the Republic of Croatia . ||| 11 problème du HCR , c' était un problème aussi pour la République de Croatie .

UNHCR: One of the most urgent problems faced by UNHCR continues to be the decreasing resettlement opportunities for African refugees once they have terminated their studies or training . ||| Un des problèmes les plus urgents qui se pose au HCR reste celui de l' amenuisement des possibilités de réinstallation pour les réfugiés africains une fois qu' ils ont achevé leurs études ou leur formation .

UNHCR: " But at least I feel save now under UNHCR protection with the agreement of Thailand authorities . ||| « Mais au moins , je me sens maintenant en sécurité sous la protection du HCR avec l' accord des autorités thaïlandaises .

UNHCR: And that has never felt more important to me than when covering the refugee crisis for UNHCR . ||| Et cela ne m’ est jamais apparu plus important que lorsque j’ ai couvert la crise des réfugiés pour le HCR .

UNHCR: The police , the Greek government and the UNHCR have not had any positive reactions . ||| La police , le gouvernement grec et le HCR n’ ont eu aucune réaction positive .

UNHCR: Approximately 660,000 of them are registered as “ asylum seekers ” by the UNHCR . ||| Environ 660 000 d’ entre eux sont enregistrés comme « demandeurs d’ asile » par le UNHCR .

UNHCR: “ More recently , together with UNHCR , we created the Olympic Refuge Foundation . ||| Plus récemment , de concert avec le HCR , nous avons créé l' Olympic Refuge Foundation .

UNHCR: Moreover , there are still hundreds of thousands of people in Libya facing exploitation and abuse who have not been identified by UNHCR . ||| En outre , il y a encore des centaines de milliers de personnes en Libye , confrontées à l’ exploitation et à l’ abus qui n’ ont pas été identifiées par le HCR .

UNHCR: We were contacted by the UNHCR ( United Nations High Commissioner for Refugees ) with the request to provide internet access to refugee camps to be established in Greece to connect more than 400,000 refugees . ” ||| Nous avons été contactés par l' UNHCR ( le Haut Commissariat des Nations unies pour les réfugiés ) qui nous a demandé de fournir l' accès à l' internet dans les camps de réfugiés qui seront établis en Grèce en vue de connecter plus de 400   000 réfugiés . »

UNHCR: Inside Afghanistan , the lack of funding is affecting UNHCR projects in 60 locations . ||| En Afghanistan , le manque de financement affecte les projets du HCR dans 60 localités .

UNHCR: The UNHCR observers explained the development of the definition of " refugees " in UNHCR , as well as in other , regional contexts . ||| Les observateurs du HCNUR ont fourni des explications sur l' évolution de la définition des « réfugiés » au HCNUR , ainsi que dans d' autres contextes régionaux .

UNHCR: UNHCR and its partners , including the central government , are very concerned by this data . ||| Le HCR et ses partenaires , y compris le gouvernement central , sont vivement préoccupés par ces statistiques .

UNHCR: What does the UNHCR tell us about refugees and asylum seekers in 2014 ? ||| Qu’ est -ce que le rapport du HCR nous dit au sujet des réfugiés et demandeurs d’ asile en 2014 ?

UNHCR: Marianne is grateful for the assistance provided by UNHCR , but she misses her village . ||| Marianne est reconnaissante pour l' assistance fournie par le HCR , mais son village lui manque .

UNHCR: After two months , his rescuer advised him to register with the United Nations Refugee Agency ( UNHCR ) and apply for asylum . ||| Au bout de deux mois , son sauveteur lui a conseillé de s' enregistrer auprès de l' Agence des Nations Unies pour les réfugiés ( HCR ) et de demander l' asile .

UNHCR: ( c)Continue and strengthen its cooperation with UNHCR . ||| c)De poursuivre et de renforcer sa coopération avec le HCR .

UNHCR: On July 4 , the UNHCR finally evacuated the remaining detainees to Tripoli . ||| Le 4 juillet , le HCR a enfin évacué les détenus restants vers Tripoli .

UNHCR: UNHCR staff are also providing information to refugees . ||| Le personnel du HCR fournit également des informations aux réfugiés .

UNHCR: She says : " The first thing I 'll do is pay off our debts and then we 'll use this money to buy food . " © UNHCR / Caroline Gluck ||| Elle dit : « La première chose que je vais faire , c' est rembourser nos dettes et ensuite nous utiliserons cet argent pour acheter de la nourriture » . © HCR / Caroline Gluck

UNHCR: When a crisis occurs , you will be one of the first people to know what is happening on the ground , how UNHCR offers humanitarian aid and how you can help save lives . ||| Lorsqu’ une crise survient , vous serez une des premières personnes à savoir ce qui se passe sur le terrain , comment le HCR offre de l’ aide humanitaire et comment vous pouvez aider à sauver des vies .

UNHCR: • In the morning , students will meet with refugees and the UNHCR team . ||| • Le matin , les élèves rencontreront des réfugiés et les équipes du HCR .

UNHCR: On November 24 , UNHCR received the news everyone had been waiting for . ||| Le HCR a reçu le 24 novembre la nouvelle que tout le monde attendait .

