EFG EFG | w_freq: 6 - 3 | wiki_freq: 314 - 9 | sentence_idx: 105 | align_1: 4-0 | align_2: 5-4 | entity: EFG International - EFG 国际 （ EFG International |    Founded in 1995 , EFG International is a subsidiary of EFG Bank European Financial Group . ||| EFG 国际 （ EFG International ） 成立 于 1995年 ， 是 EFG Bank European Financial 

Israelites 以色列人 | w_freq: 980 - 1628 | wiki_freq: 6428 - 1452 | sentence_idx: 463 | align_1: 14-10 | align_2: 15-17 | entity: Israelites - 以色列人 |    That he would accomplish the task and fulfill what he had destined for the Israelites . ||| 又 要 看守 会幕 的 器具 ， 并 守所 吩咐 以色列人 的 ， 办理 帐幕 的 事 。 

Israelites 以色列人 | w_freq: 980 - 1628 | wiki_freq: 6428 - 1452 | sentence_idx: 507 | align_1: 14-11 | align_2: 15-18 | entity: Israelites - 以色列人 |    That he would accomplish the task and fulfill what he had destined for the Israelites . ||| 「 又 要 看守 会幕 的 器具 ， 并 守所 吩咐 以色列人 的 ， 办理 帐幕 的 事 。 

Israelites 以色列人 | w_freq: 980 - 1628 | wiki_freq: 6428 - 1452 | sentence_idx: 537 | align_1: 14-10 | align_2: 15-17 | entity: Israelites - 以色列人 |    That he would accomplish the task and fulfill what he had destined for the Israelites . ||| 又 要 看守 会幕 的 器具 ， 并 守所 吩咐 以色列人 的 ， 办理 帐幕 的 事 。 

Generosity ill-Allah | w_freq: 3 - 3 | wiki_freq: 148 - 0 | sentence_idx: 603 | align_1: 4-2 | align_2: 5-10 | entity: Generosity - none |    This is from the Generosity of Allah ( SWT ) , Al Kareem . ||| La ilaaha ill-Allah （ 除 安拉外绝 无 应 受 崇拜 的 主 ） 

Israelites 以色列人 | w_freq: 980 - 1628 | wiki_freq: 6428 - 1452 | sentence_idx: 653 | align_1: 14-10 | align_2: 15-17 | entity: Israelites - 以色列人 |    That he would accomplish the task and fulfill what he had destined for the Israelites . ||| 又 要 看守 会幕 的 器具 ， 并 守所 吩咐 以色列人 的 ， 办理 帐幕 的 事 。 

EGF 雪峰 | w_freq: 195 - 4 | wiki_freq: 539 - 235 | sentence_idx: 778 | align_1: 0-1 | align_2: 1-41 | entity: EGF - 雪峰 |    EGF was so helpful in facilitating the whole process . ||| 5. 雪峰 文集 —— 警世 篇 ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ 你们 还 傻乎乎 的 。 

Amaziah 撒王 | w_freq: 1 - 1 | wiki_freq: 138 - 11 | sentence_idx: 891 | align_1: 6-2 | align_2: 7-10 | entity: Amaziah - 撒王 |    In other words , so far Amaziah did what was right in God ’s eyes . ||| 因此 当亚 撒王 一 兴起 时 ， 他 决定 要 做 上帝 眼中 看 为 对 的 事 。 

Amaziah 当亚 | w_freq: 1 - 4 | wiki_freq: 138 - 16 | sentence_idx: 891 | align_1: 6-1 | align_2: 7-10 | entity: Amaziah - none |    In other words , so far Amaziah did what was right in God ’s eyes . ||| 因此 当亚 撒王 一 兴起 时 ， 他 决定 要 做 上帝 眼中 看 为 对 的 事 。 

wotever 沃特弗 | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 1084 | align_1: 12-15 | align_2: 13-19 | entity: none - 沃特弗 |    But he never said it was a angel ’s , Sairey , wotever he might have thought . ” ||| 但是 他 从来 没有 说 过 它 是 天使   ， 萨雷  ， 沃特弗   ， 他 可能 会 想到 的    。 

Allah 吧 | w_freq: 2831 - 5223 | wiki_freq: 12189 - 8593 | sentence_idx: 1325 | align_1: 4-5 | align_2: 5-25 | entity: Allah - none |    Third : Did not Allah ( SWT ) reveal Ayat Al Tat-heer , and all of its verbs are in the present tense , which indicates continuation and perpetuality [ Yudh-hib ( يُذهب , keep away ) & ||| ） （ 对 ） （ 吧 ） （ ？ ） （ 整 ） （ 幅 ） （ 图 ） （ 大 ） （ 致 ） （ 上 ） （ 是 ） （ 一 ） （ 个 ） （ 圆 ） （ 形 ） （ ， ） （ 圈 ） （ 内 ） （ 绘 ） （ 着 ） （ 各 ） （ 种 ） （ 各 ） （ 样 ） （ 奇 ） （ 异 ） （ 又 ） （ 神 ） （ 秘 ） （ 的 ） （ 图 ） （ 案 ） （ ， ） （ 或 ） （ 者 ） （ 说 ） （ 是 ） （ 文 ） （ 字 ） （ ？ ） （ 因 ） （ 为 ） （ 他 ） （ 是 ） （ 停 ） （ 留 ） （ 在 ） （ 幼 ） （ 年 ） （ 期 ） （ 的 ） （ 吉 ） （ 尔 ） （ 伽 ） （ 美 ） （ 什 ） （ ， ） （ 能 ） （ 够 ） （ 看 ） （ 到 ） （ 未 ） （ 来 ） （ 的 ） （ 事 ） （ ， ） （ 却 ） （ 注 ） （ 定 ） （ 无 ） （ 法 ） （ 经 ） （ 历 ） （ 。 

Mariam 为尔撒·伊本·麦尔彦 | w_freq: 38 - 4 | wiki_freq: 3033 - 1 | sentence_idx: 1755 | align_1: 8-10 | align_2: 9-15 | entity: Mariam - none |    So in Quran the name " O , Mariam " was recorded . ||| 在 《 古兰经 》 里 ， 尔撒 常常 被 描述 为尔撒·伊本·麦尔彦 （ 即 “ 麦尔彦之子尔撒 ” ） 。 

Almighty 伟大 | w_freq: 150 - 4275 | wiki_freq: 2790 - 9239 | sentence_idx: 3295 | align_1: 9-6 | align_2: 10-14 | entity: Almighty - none |    Covenant reminds us of the Israelite Covenant with the Almighty . ||| 让 我们 为 以色列 复国 这个 伟大 的 事业 而 奋斗 吧 ！ 」 。 

Maryam 伊玛尼 | w_freq: 231 - 3 | wiki_freq: 2582 - 10 | sentence_idx: 4220 | align_1: 4-10 | align_2: 5-16 | entity: Maryam - 伊玛尼 |    Allah just says ‘ Maryam ’ in the Quran . ||| 同样 ， 真主 在 《 古兰经 》 中 把 “ 伊玛尼 ” 比喻 为 “ 灵魂 ” 。 

unrecognizable 菩萨摩 | w_freq: 6 - 150 | wiki_freq: 878 - 2 | sentence_idx: 4425 | align_1: 9-6 | align_2: 10-30 | entity: none - 菩萨摩 诃萨 |    “ And quiet , ” she heard from the unrecognizable female ghost , who grabbed her wrists with a firm grip . ||| “ 庆喜 当 知 ， 是 菩萨摩 诃萨 自修 布施 波罗蜜多 乃至 般 若 波罗蜜多 ， 亦 教 他 修 布施 波罗蜜多 乃至 般 若 波罗蜜多 ； 自住 内空 乃至 无性 自 性空 ， 亦 教 他 住 内空 乃至 无性 自 性空 ； 自住 真 如 乃至 不思议界 ， 亦 教 他 住真 如 乃至 不思议界 ； 自住苦 、 集 、 灭 、 道 圣谛 ， 亦 教 他 住苦 、 集 、 灭 、 道 圣谛 ； 自修 四 念 住 乃至 八圣道支 ， 亦 教 他 修 四 念 住 乃至 八圣道支 ； 自修 四 静虑 、 四无量 、 四无色定 ， 亦 教 他 修 四 静虑 、 四无量 、 四无色定 ； 自 修空 、 无相 、 无愿 解脱 门 ， 亦 教 他 修空 、 无相 、 无愿解 脱门 ； 自修 八 解脱 乃至 十 遍 处 ， 亦 教 他 修八 解脱 乃至 十遍处 ； 自修 极喜 地 乃至 法云 地 ， 亦 教 他 修极 喜 地 乃至 法云 地 ； 自修 一切 陀罗尼门 、 三摩地门 ， 亦 教 他 修 一切 陀罗尼门 、 三摩地门 ； 自修 五 眼 、 六 神通 ， 亦 教 他 修 五 眼 、 六 神通 ； 自修 如来 十力 乃至 十八 佛 不 共法 ， 亦 教 他 修如 来 十力 乃至 十八 佛 不 共法 ； 自修 三十二相 、 八十 随 好 ， 亦 教 他 修 三十二相 、 八十 随 好 ； 自修 无 忘 失法 、 恒住 舍性 ， 亦 教 他 修 无 忘 失法 、 恒住 舍性 ； 自修 一切 智 、 道 相智 、 一切 相智 ， 亦 教 他 修 一切 智 、 道 相智 、 一切 相智 ； 自修 菩萨 摩诃 萨行 ， 亦 教 他 修 菩萨 摩诃 萨行 ； 自修无上 正 等 菩提 ， 亦 教 他 修 无上 正 等 菩提 ； 自修 一切 智智 ， 亦 教 他 修 一切 智智 。 

Ailes 汀道尔 | w_freq: 16 - 5 | wiki_freq: 665 - 0 | sentence_idx: 6358 | align_1: 0-1 | align_2: 1-6 | entity: Ailes - 汀道尔 |    Ailes denied any wrongdoing . ||| 而 汀道尔 本人 ， 则 一概 否认 所有 的 指控 。 

Israelites 后裔 | w_freq: 980 - 518 | wiki_freq: 6428 - 8445 | sentence_idx: 8010 | align_1: 6-4 | align_2: 7-9 | entity: Israelites - none |    Allah made a covenant with the Israelites and raised among them twelve chieftains . ||| 真主 与 以色列 的 后裔 确 已 缔约 ， 并 从 他们 中 派出 十二 个 首领 。 

Israelites 众子 | w_freq: 980 - 22 | wiki_freq: 6428 - 79 | sentence_idx: 8803 | align_1: 7-8 | align_2: 8-13 | entity: Israelites - none |    He gave himself up for those stiff-necked Israelites ! ||| 亚干 犯罪 ， 是 不忠 的 「 以色列 众子 」 恶行 的 一部分 。 

paradise 忧 | w_freq: 227 - 72 | wiki_freq: 5515 - 534 | sentence_idx: 10285 | align_1: 5-5 | align_2: 6-13 | entity: none - 夏 忧 依 |    Serpents on their way to paradise - ||| ” 司徒翼 拉 着 夏 忧 依 的 手 ， 认真 的 说道 。 

Kev Kev | w_freq: 13 - 9 | wiki_freq: 921 - 13 | sentence_idx: 11715 | align_1: 4-3 | align_2: 5-8 | entity: Kev - none |    “ Without people like Kev you do not have a club . ||| “ 没有 像 Kev 这样 的 人 ， 您 就 没有 俱乐部 。 

Taco 资本家 | w_freq: 10 - 205 | wiki_freq: 2464 - 1029 | sentence_idx: 13215 | align_1: 8-15 | align_2: 9-24 | entity: Taco Bell - none |    ( I think the last time I had Taco Bell I was in college ! ! ||| linoox on 2016 年 10 月 11 日 at 上午 11:27 said : 你 以为 资本家 这么 容易 赚钱 的 吗 ， 你 的 产品 质量 不 过关 价格 高 就 没有 人 要 你 的 ， 现在 做生意 竞争 太 激烈 了 ， 稍微 不慎 就 被 消费者 抛弃 ， 没有 买 你 的 产品 就 得 破产 ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！ 

LIE 迁怒 | w_freq: 54 - 2 | wiki_freq: 129 - 173 | sentence_idx: 13517 | align_1: 2-4 | align_2: 3-10 | entity: LIE LIE LIE - none |    He would LIE LIE LIE and DENY DENY DENY . ||| 并非 行为 上 的 迁怒 ， 而是 一 种 为 否认 而 否认 的 主观 情绪 。 

EGF MAMA | w_freq: 195 - 3 | wiki_freq: 539 - 381 | sentence_idx: 13988 | align_1: 4-41 | align_2: 5-52 | entity: EGF - none |    The aim of the EGF is to help workers who are victims of the relocation of businesses , and it is crucial in facilitating access to new employment in the future . ||| ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ 参加 活动 ， 上传 你 的 照片 请 至 LOVE PHOTO MAMA 脸 书 [ LOVE PHOTO MAMA 联展 ] 主题 三 ： 天使 的 大笑 以 拍摄 小孩 的 大笑 ， 狂笑 ， 歇斯底里 的 笑 为主 期限 : 11/1-11/30 　 张数 ： 无限 欢迎 大家 一起 来 分享 哦 ！ ！ ﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ 

EGF PHOTO | w_freq: 195 - 2 | wiki_freq: 539 - 30 | sentence_idx: 13988 | align_1: 4-40 | align_2: 5-52 | entity: EGF - none |    The aim of the EGF is to help workers who are victims of the relocation of businesses , and it is crucial in facilitating access to new employment in the future . ||| ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ 参加 活动 ， 上传 你 的 照片 请 至 LOVE PHOTO MAMA 脸 书 [ LOVE PHOTO MAMA 联展 ] 主题 三 ： 天使 的 大笑 以 拍摄 小孩 的 大笑 ， 狂笑 ， 歇斯底里 的 笑 为主 期限 : 11/1-11/30 　 张数 ： 无限 欢迎 大家 一起 来 分享 哦 ！ ！ ﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ ﹣﹣ 

Daizui 苏 | w_freq: 1 - 84 | wiki_freq: 1 - 11455 | sentence_idx: 15070 | align_1: 7-17 | align_2: 8-22 | entity: Daizui - none |    This is nearly the same question as Daizui was asked , you know.3 “ When the-- this world [ is ] devoured by karmic fire , where does it go [ laughs ] ? ||| 3分 快 3 最 新 平台 , （ 眼 ） （ 下 ） （ 的 ） （ 苏 ） （ 沫 ） （ 看 ） （ 上 ） （ 去 ） （ 就 ） （ 像 ） （ 是 ） （ 落 ） （ 难 ） （ 的 ） （ 小 ） （ 公 ） （ 主 ） （ ， ） （ 一 ） （ 双 ） （ 灵 ） （ 性 ） （ 水 ） （ 汪 ） （ 汪 ） （ 的 ） （ 眼 ） （ 睛 ） （ ， ） （ 笑 ） （ 起 ） （ 来 ） （ 仿 ） （ 佛 ） （ 她 ） （ 就 ） （ 是 ） （ 整 ） （ 个 ） （ 春 ） （ 天 ） （ ， ） （ 田 ） （ 恬 ） （ 简 ） （ 直 ） （ 恨 ） （ 不 ） （ 得 ） （ 现 ） （ 在 ） （ 就 ） （ 淘 ） （ 个 ） （ 小 ） （ 皇 ） （ 冠 ） （ 来 ） （ ， ） （ 歪 ） （ 歪 ） （ 扭 ） （ 扭 ） （ 给 ） （ 她 ） （ 带 ） （ 在 ） （ 头 ） （ 上 ） （ ， ） （ 这 ） （ 样 ） （ 子 ） （ 一 ） （ 出 ） （ 去 ） （ 还 ） （ 不 ） （ 将 ） （ 所 ） （ 有 ） （ 人 ） （ 秒 ） （ 杀 ） （ 林 ） （ 婧 ） （ 差 ） （ 点 ） （ 没 ） （ 被 ） （ 她 ） （ 气 ） （ 死 ） （ ， ） （ 一 ） （ 把 ） （ 抽 ） （ 过 ） （ 她 ） （ 的 ） （ 手 ） （ 机 ） （ ， ） （ 你 ） （ 还 ） （ 有 ） （ 没 ） （ 有 ） （ 点 ） （ 出 ） （ 息 ） （ ， ） （ 恋 ） （ 爱 ） （ 还 ） （ 想 ） （ 不 ） （ 想 ） （ 谈 ） （ ， ） （ 小 ） （ 朋 ） （ 友 ） （ 还 ） （ 想 ） （ 不 ） （ 想 ） （ 追 ） （ 我 ） （ 告 ） （ 诉 ） （ 你 ） （ ， ） （ 就 ） （ 你 ） （ 那 ） （ 点 ） （ 存 ） （ 款 ） （ 七 ） （ 位 ） （ 数 ） （ ， ） （ 都 ） （ 没 ） （ 法 ） （ 跟 ） （ 人 ） （ 家 ） 

Ephraim 弄 | w_freq: 5 - 493 | wiki_freq: 5160 - 3087 | sentence_idx: 15230 | align_1: 54-200 | align_2: 55-207 | entity: Ephraim - none |    So that He might make known the riches of His glory on the vessels of mercy , which He had prepared beforehand for glory , even us whom He called , not of the Jews ( House of Judah ) only , but also of the Gentiles / nations ( House of Israel / Ephraim ) ? ||| ） （ 众 ） （ 人 ） （ 蓦 ） （ 然 ） （ 笑 ） （ 翻 ） （ 在 ） （ 桌 ） （ 子 ） （ 底 ） （ 下 ） （ ， ） （ 小 ） （ 小 ） （ 搬 ） （ 起 ） （ 石 ） （ 头 ） （ 砸 ） （ 自 ） （ 己 ） （ 的 ） （ 脚 ） （ ， ） （ 她 ） （ 以 ） （ 为 ） （ 众 ） （ 人 ） （ 都 ） （ 不 ） （ 希 ） （ 望 ） （ 她 ） （ 嫁 ） （ 给 ） （ 叶 ） （ 真 ） （ ， ） （ 却 ） （ 没 ） （ 想 ） （ 到 ） （ 萱 ） （ 萱 ） （ 虽 ） （ 然 ） （ 五 ） （ 谷 ） （ 不 ） （ 分 ） （ ， ） （ 却 ） （ 永 ） （ 远 ） （ 向 ） （ 着 ） （ 爸 ） （ 爸 ） （ ， ） （ 这 ） （ 是 ） （ 永 ） （ 远 ） （ 不 ） （ 会 ） （ 弄 ） （ 错 ） （ 的 ） （ 。 

Allah 真主 | w_freq: 2831 - 4182 | wiki_freq: 12189 - 1526 | sentence_idx: 15636 | align_1: 13-11 | align_2: 14-18 | entity: Allah - none |    And [ yet ] the foolish among us used to utter falsehoods against Allah . ||| 我们 中 的 庸愚 ， 常 以 悖谬 的 事 诬蔑 真主 ， ( Chinese : Ma Jian ) 

