EFG EFG | w_freq: 6 - 3 | wiki_freq: 314 - 9 | sentence_idx: 105 | align_1: 4-0 | align_2: 5-4 | entity: EFG International - EFG 国际 （ EFG International |    Founded in 1995 , EFG International is a subsidiary of EFG Bank European Financial Group . ||| EFG 国际 （ EFG International ） 成立 于 1995年 ， 是 EFG Bank European Financial 

Generosity ill-Allah | w_freq: 3 - 3 | wiki_freq: 148 - 0 | sentence_idx: 603 | align_1: 4-2 | align_2: 5-10 | entity: Generosity - none |    This is from the Generosity of Allah ( SWT ) , Al Kareem . ||| La ilaaha ill-Allah （ 除 安拉外绝 无 应 受 崇拜 的 主 ） 

EGF 雪峰 | w_freq: 195 - 4 | wiki_freq: 539 - 235 | sentence_idx: 778 | align_1: 0-1 | align_2: 1-41 | entity: EGF - 雪峰 |    EGF was so helpful in facilitating the whole process . ||| 5. 雪峰 文集 —— 警世 篇 ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ ¯¯ 你们 还 傻乎乎 的 。 

Amaziah 撒王 | w_freq: 1 - 1 | wiki_freq: 138 - 11 | sentence_idx: 891 | align_1: 6-2 | align_2: 7-10 | entity: Amaziah - 撒王 |    In other words , so far Amaziah did what was right in God ’s eyes . ||| 因此 当亚 撒王 一 兴起 时 ， 他 决定 要 做 上帝 眼中 看 为 对 的 事 。 

Amaziah 当亚 | w_freq: 1 - 4 | wiki_freq: 138 - 16 | sentence_idx: 891 | align_1: 6-1 | align_2: 7-10 | entity: Amaziah - none |    In other words , so far Amaziah did what was right in God ’s eyes . ||| 因此 当亚 撒王 一 兴起 时 ， 他 决定 要 做 上帝 眼中 看 为 对 的 事 。 

Ailes 汀道尔 | w_freq: 16 - 5 | wiki_freq: 665 - 0 | sentence_idx: 6358 | align_1: 0-1 | align_2: 1-6 | entity: Ailes - 汀道尔 |    Ailes denied any wrongdoing . ||| 而 汀道尔 本人 ， 则 一概 否认 所有 的 指控 。 
