snakes 葡萄 | w_freq: 97 - 67 | wiki_freq: 14790 - 3794 | sentence_idx: 47 | align_1: 11-10 | align_2: 12-18 |    of which healed the Israelites who had been bitten by venomous snakes ; ||| ( 因为 以色列人 从 那里 砍 来 的 那 挂 葡萄 ， 所以 那 地方 叫做 以实 各谷 。 

referee(s ４． | w_freq: 1 - 6 | wiki_freq: 6 - 0 | sentence_idx: 126 | align_1: 11-13 | align_2: 12-18 |    A : Yes if you have already gained permission from your referee(s ) to do so . ||| ＜ ／ｐ ＞ ＜ ｐ ＞＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿ 　 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿ ＜ ／ｐ ＞ ＜ ｐ ＞ ４． （ ２０１４年 福建省 莆田市 ） 名著 阅读 。 

anyway 怎样 | w_freq: 572 - 1939 | wiki_freq: 12262 - 2950 | sentence_idx: 635 | align_1: 12-10 | align_2: 13-19 |    And I ca n’t have what I want … I fear it anyway . ||| 我 不 能 得到 我 想 要 的 …… 不管 怎样    ， 我 害怕   。 

Eat 饭 | w_freq: 174 - 179 | wiki_freq: 7141 - 2152 | sentence_idx: 1142 | align_1: 0-0 | align_2: 1-4 |    Eat it , and you will not feel so hungry . ” ||| 饭 ， 有 了 它 ， 你 就 不用 饿 肚子 了 呗 ！ ” 

Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。 

p1p1 p | w_freq: 1 - 176 | wiki_freq: 0 - 4854 | sentence_idx: 2280 | align_1: 9-6 | align_2: 10-11 |    For example , if you are interested in the p1p1 interface : ||| 例如 ： 若 您 对 「 p 1 p 1 」 介面 有 兴趣 ： 

