Parkinson 帕金森 | w_freq: 78 - 28 | wiki_freq: 13003 - 163 | sentence_idx: 26335 | align_1: 0-0 | align_2: 1-14 | entity: Parkinson - 帕金森 |    Parkinson ’s Law , and Other Studies in Administration ||| 帕金森 法则 ： 管理课 上 教 不 到 的 人性 工作 学 Parkinson ’ s Law and Other Studies in Administration 

Israelites 以色列人 | w_freq: 374 - 796 | wiki_freq: 6428 - 1452 | sentence_idx: 30046 | align_1: 1-2 | align_2: 2-9 | entity: Israelites - 以色列人 |    The Israelites enter the promised land . ||| 旧约 的 以色列人 ， 承受 应许 之 地 ， 进入 迦南 地 。 

Israelites 以色列人 | w_freq: 374 - 796 | wiki_freq: 6428 - 1452 | sentence_idx: 36592 | align_1: 12-6 | align_2: 13-10 | entity: Israelites - 以色列人 |    God had appointed judgement for the idolatry of Canaan , and the Israelites were his appointed instruments for carrying out that judgement . ||| 神以 绝对 的 主权 拣选 了 以色列人 ， 称 他们 为 自己 的 子民 ， 幷 与 他们 立约 。 

Benin 贝宁 | w_freq: 23 - 22 | wiki_freq: 12116 - 1090 | sentence_idx: 38743 | align_1: 6-5 | align_2: 7-10 | entity: Benin - 贝宁 |    France is beginning with objects from Benin because , to date , it is the only country from which France has received a formal request . ||| 法国 首先 从 那些 来自 贝宁 的 文物 着手 ， 因为 到 目前 为止 贝宁 是 法国 收到 正式 请求 的 唯一 国家 。 

Aalto 阿尔托 | w_freq: 4 - 2 | wiki_freq: 2134 - 159 | sentence_idx: 74439 | align_1: 1-1 | align_2: 2-6 | entity: Aalto - 阿尔托 |    At Aalto we make two wines : ||| 在 阿尔托 （ AALTO ） ， 我们 酿造 两 种 葡萄酒 ： 

Israelites 以色列人 | w_freq: 374 - 796 | wiki_freq: 6428 - 1452 | sentence_idx: 184333 | align_1: 4-0 | align_2: 5-5 | entity: Israelites - 以色列人 |    This is what the Israelites were commanded as they anticipate entering the promised land . ||| 以色列人 在 旧约 时代 ， 得到 无条件 的 应许 ( 约 ) ， 这些 应许 都 要 在 千禧年 国度 中 实现 。 

