Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 

UITP UITP | w_freq: 1 - 1 | wiki_freq: 48 - 14 | sentence_idx: 8322 | align_1: 0-0 | align_2: 1-7 | entity: UITP - none |    UITP is the only worldwide network to bring together all public transport stakeholders and all sustainable transport modes . ||| UITP 具有 悠久 的 历史 ， 它 是 唯一 一个 将 所有 公共 交通 利益 相关者 和 所有 可 持续 交通 运输 模式 结合 在 一起 的 全球 网络 。 

Trufflehunter 建辉 | w_freq: 4 - 1 | wiki_freq: 6 - 33 | sentence_idx: 14894 | align_1: 8-10 | align_2: 9-20 | entity: Trufflehunter - 曹 建辉 |    " Come on , then , " snarled Trufflehunter , but he was immediately interrupted . ||| “ 你 快 过来 ， 良辰 火锅店 ， ” 曹 建辉 说 完 这话 后 ， 发出 一 声 尖叫 ， 然后 通话 就 断 了 。 

Birkmayer Birkmayer | w_freq: 4 - 4 | wiki_freq: 6 - 0 | sentence_idx: 18381 | align_1: 3-3 | align_2: 4-7 | entity: Birkmayer - none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Dr . Birkmayer 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。 

Mohenjo-Daro Mohenjo-Daro | w_freq: 1 - 1 | wiki_freq: 61 - 1 | sentence_idx: 22339 | align_1: 4-7 | align_2: 5-12 | entity: Mohenjo-Daro - Mohenjo-Daro |    Do you believe that Mohenjo-Daro was destroyed by nuclear weapons thousands of years ago ? ||| 你 相 不 相信 摩亨 卓达罗 ( Mohenjo-Daro ) 这个 古 城市 是 在 好几千年 以前 被 核子 武器 毁灭 的 ？ 

Coffi Coffi | w_freq: 1 - 1 | wiki_freq: 42 - 1 | sentence_idx: 34628 | align_1: 24-24 | align_2: 25-30 | entity: Hoffi Coffi - none |    I had my exams coming up so I had to go and study but stayed pretty close to my home and places like Hoffi Coffi as there were more students there and we were sure he was n’t a student . ||| 我 的 考试 即将 开始   ， 所以 我 不得不 去 学习   ， 但 离 我家 很 近 ， 像 Hoffi Coffi 这样 的 地方  ， 因为 那里 有 更 多 的 学生  ， 我们 确信 他 不是 学生   。 

