Thessalonians 撒罗尼迦 | w_freq: 8 - 6 | wiki_freq: 563 - 92 | sentence_idx: 38 | align_1: 1-2 | align_2: 2-6 |    2 Thessalonians 2 tells us more about this end-time False Prophet . ||| 《 帖 撒罗尼迦 后 书 》 2 里 告诉 我们 更 多 关于 这 终期 的 “ 假 先知 ” 的 事 。 

Thessalonians 帖 | w_freq: 8 - 18 | wiki_freq: 563 - 1653 | sentence_idx: 38 | align_1: 1-1 | align_2: 2-6 |    2 Thessalonians 2 tells us more about this end-time False Prophet . ||| 《 帖 撒罗尼迦 后 书 》 2 里 告诉 我们 更 多 关于 这 终期 的 “ 假 先知 ” 的 事 。 

Prophet 先知 | w_freq: 265 - 571 | wiki_freq: 9638 - 2516 | sentence_idx: 38 | align_1: 10-18 | align_2: 11-22 |    2 Thessalonians 2 tells us more about this end-time False Prophet . ||| 《 帖 撒罗尼迦 后 书 》 2 里 告诉 我们 更 多 关于 这 终期 的 “ 假 先知 ” 的 事 。 

gentlemen gentlemen | w_freq: 207 - 2 | wiki_freq: 7173 - 6 | sentence_idx: 123 | align_1: 16-14 | align_2: 17-25 |    Ms America : Well , I can say that Male Organs in our country are like gentlemen . ||| Ms America : Well , I can say that male organs in Americaare like gentlemen . 美国 小姐 ： 美国 的 男性 器官 像 绅士 。 

IQCP CP | w_freq: 1 - 32 | wiki_freq: 0 - 554 | sentence_idx: 440 | align_1: 0-1 | align_2: 1-6 |    IQCP can be applied to all nonwaived testing performed , including existing and new test systems . ||| IQ CP 是 自愿 的 ， 可以 应用 于 所有 非 豁免 的 检测 ， 包括 现有 的 和 新 的 检测 系统 。 

IQCP IQ | w_freq: 1 - 70 | wiki_freq: 0 - 276 | sentence_idx: 440 | align_1: 0-0 | align_2: 1-6 |    IQCP can be applied to all nonwaived testing performed , including existing and new test systems . ||| IQ CP 是 自愿 的 ， 可以 应用 于 所有 非 豁免 的 检测 ， 包括 现有 的 和 新 的 检测 系统 。 

Qur’an 中经 | w_freq: 183 - 2 | wiki_freq: 541 - 89 | sentence_idx: 863 | align_1: 1-1 | align_2: 2-9 |    The Qur’an is the heart and soul of Islam . ||| 《 中经 》 也 就是 《 心经 》 ， 是 领导者 的 《 心经 》 。 

infringement 侵权 | w_freq: 79 - 100 | wiki_freq: 11830 - 1562 | sentence_idx: 1604 | align_1: 4-5 | align_2: 5-10 |    Scientific American threatened copyright infringement and made him take the pages down . ||| 科学 美国 人 威胁 版权 侵权    ， 并 让 他 把 书页 取 下来    。 

hesitation 虚妄 | w_freq: 92 - 226 | wiki_freq: 3485 - 81 | sentence_idx: 2086 | align_1: 7-6 | align_2: 8-11 |    He sees through every lie , every hesitation ! ||| 可见凡 所有 相 ， 皆 是 虚妄 ， 故 不可 执著 。 

Algorithms Algorithms | w_freq: 15 - 11 | wiki_freq: 1791 - 33 | sentence_idx: 2226 | align_1: 2-3 | align_2: 3-8 |    Introduction to Algorithms combines rigor and single scale . ||| 《 Introduction to Algorithms 》 独特 地 结合 了 严谨性 和 全面性 。 

changers 催化剂 | w_freq: 3 - 161 | wiki_freq: 439 - 2607 | sentence_idx: 3268 | align_1: 12-12 | align_2: 13-17 |    We could use more Elon Musks in other industries as catalyst game changers — could that be you in your industry ? ||| 我们 可以 在 其他 行业 使用 更 多 的 Elon Musks 作为 催化剂 ， 改变 游戏 规则 —— 这是 你 所在 行业 吗 ？ 

