Jurij Jurijus | w_freq: 1 - 2 | wiki_freq: 607 - 1 | sentence_idx: 1040 | align_1: 1-1 | align_2: 2-6 | entity: Jurij Veklenko - none |    Lithuania Jurij Veklenko " Run with the Lions " English 11 93 ||| 立陶宛 Jurijus （ 英语 ： Jurijus Veklenko ） " Run with the Lions （ 英语 ： Run with the Lions ） " 英语 11 93 

Qur’an 拜火教 | w_freq: 172 - 1 | wiki_freq: 541 - 69 | sentence_idx: 1202 | align_1: 1-0 | align_2: 2-7 | entity: Qur’an - none |    The Qur’an points out that immorality is the handiwork of Satan himself : ||| 拜火教 在 他们 的 圣书 中 ， 说明 同性恋者 是 魔鬼 的 奉献者 ： 

STANAG STANAG | w_freq: 1 - 2 | wiki_freq: 577 - 62 | sentence_idx: 1959 | align_1: 19-20 | align_2: 20-26 | entity: STANAG 3838 - none |    It now is widely used by all branches of the U.S. military and has been adopted by NATO as STANAG 3838 AVS . ||| 它 现在 在 美军 所有 军种 广泛 使用 ， 北大西洋 公约 组织 （ NATO ） 亦 已 将 之 作为 STANAG （ 英语 ： STANAG ） 3838 AVS 采用 。 

FAADE token | w_freq: 1 - 11 | wiki_freq: 0 - 61 | sentence_idx: 3148 | align_1: 3-5 | align_2: 4-10 | entity: FAADE - none |    So , [ FAADE ] will surface that . ||| by this [ that ] token 照 这个 [ 那个 ] 看来 。 

SIEGEL 西格尔 | w_freq: 2 - 7 | wiki_freq: 1 - 166 | sentence_idx: 5629 | align_1: 1-0 | align_2: 2-5 | entity: none - 西格尔 ( Katy Siegel |    KATY SIEGEL : Let ’s begin with your move to New York from Chicago . ||| 西格尔 ( Katy Siegel ) ： 让 我们 从 你 由 芝加哥 搬到 纽约 谈起 吧 。 

SpeechActivity SpeechActivity | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 9138 | align_1: 14-10 | align_2: 15-15 | entity: SpeechActivity - none |    If you 've tweaked parameters for that , you can also update them in SpeechActivity to get the same results as in your server testing . ||| 如果 您 已经 调整 了 参数 ， 也 可以 在 SpeechActivity 中 进行 更新 ， 以 获得 与 服务器 测试 中 的 结果 相同 的 结果 。 

IFGP GP | w_freq: 2 - 23 | wiki_freq: 0 - 302 | sentence_idx: 9219 | align_1: 2-3 | align_2: 3-8 | entity: IFGP - IF GP |    Today , IFGP continues to provide instruction to local Swiss private bankers . ||| 目前 ， IF GP 由 GBS 所有 ， 继续 向 当地 瑞士 私人 银行家 提供 课程 。 

IFGP IF | w_freq: 2 - 38 | wiki_freq: 0 - 527 | sentence_idx: 9219 | align_1: 2-2 | align_2: 3-8 | entity: IFGP - IF GP |    Today , IFGP continues to provide instruction to local Swiss private bankers . ||| 目前 ， IF GP 由 GBS 所有 ， 继续 向 当地 瑞士 私人 银行家 提供 课程 。 

Fossati Fossati | w_freq: 2 - 2 | wiki_freq: 365 - 4 | sentence_idx: 9335 | align_1: 1-1 | align_2: 2-6 | entity: Mariana Fossati - Mariana Fossati |    Mariana Fossati is the Director at Artica , a cultural center , and she wanted to publish a book but had no budget to do so . ||| Mariana Fossati （ 玛丽安娜 福萨蒂 ） 是 一个 文化 中心 Artica 的 主任 ， 她 想要 出版 一 本书 但是 苦于 没有 预算 。 

