Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 

Jurij Jurijus | w_freq: 1 - 2 | wiki_freq: 607 - 1 | sentence_idx: 1040 | align_1: 1-1 | align_2: 2-6 | entity: Jurij Veklenko - none |    Lithuania Jurij Veklenko " Run with the Lions " English 11 93 ||| 立陶宛 Jurijus （ 英语 ： Jurijus Veklenko ） " Run with the Lions （ 英语 ： Run with the Lions ） " 英语 11 93 

Qur’an 拜火教 | w_freq: 172 - 1 | wiki_freq: 541 - 69 | sentence_idx: 1202 | align_1: 1-0 | align_2: 2-7 | entity: Qur’an - none |    The Qur’an points out that immorality is the handiwork of Satan himself : ||| 拜火教 在 他们 的 圣书 中 ， 说明 同性恋者 是 魔鬼 的 奉献者 ： 

STANAG STANAG | w_freq: 1 - 2 | wiki_freq: 577 - 62 | sentence_idx: 1959 | align_1: 19-20 | align_2: 20-26 | entity: STANAG 3838 - none |    It now is widely used by all branches of the U.S. military and has been adopted by NATO as STANAG 3838 AVS . ||| 它 现在 在 美军 所有 军种 广泛 使用 ， 北大西洋 公约 组织 （ NATO ） 亦 已 将 之 作为 STANAG （ 英语 ： STANAG ） 3838 AVS 采用 。 

FAADE token | w_freq: 1 - 11 | wiki_freq: 0 - 61 | sentence_idx: 3148 | align_1: 3-5 | align_2: 4-10 | entity: FAADE - none |    So , [ FAADE ] will surface that . ||| by this [ that ] token 照 这个 [ 那个 ] 看来 。 

Instruments 仪器 | w_freq: 61 - 442 | wiki_freq: 9027 - 7211 | sentence_idx: 6378 | align_1: 8-8 | align_2: 9-12 | entity: Instruments - none |    If you have ever looked for a Texas Instruments device , you have likely seen the tool shown in Figure 1 . ||| 如果 你 曾经 寻找 过 一 款 德州 仪器 ( TI ) 器件 ， 那么 你 就 很 有 可能 看到 过 图1 中 显示 的 工具 。 

